id,name,zip,state
2,12 de Agosto,B2701XAA,Buenos Aires
4,16 de Julio,B7313XAA,Buenos Aires
9,4 de Noviembre,B2705XAB,Buenos Aires
14,Abel,B6450XAA,Buenos Aires
15,Abra de Hinojo,B8170XAA,Buenos Aires
17,Aceilan,B7003XAB,Buenos Aires
19,Achupallas,B6627XAD,Buenos Aires
20,Adela,B7136XAA,Buenos Aires
21,Adela Corti,B8000XBC,Buenos Aires
22,Adela Saenz,B8129XAA,Buenos Aires
23,Adolfo Alsina,B6430XAA,Buenos Aires
27,Agote,B6600XAA,Buenos Aires
28,Aguara,B8105XAE,Buenos Aires
29,Aguas Corrientes,B2701XAB,Buenos Aires
30,Aguas Verdes,B7112XAC,Buenos Aires
31,Aguirrezabala,B2915XAB,Buenos Aires
35,Alagon,B6463XAA,Buenos Aires
36,Alamos,B6437XAE,Buenos Aires
37,Alastuey,B6703XAB,Buenos Aires
38,Albariño,B6405XAA,Buenos Aires
40,Aldea San Andres,B8126XAA,Buenos Aires
41,Aldecon,B7406XAG,Buenos Aires
43,Alegre,B1987XAA,Buenos Aires
46,Alfa,B6437XAF,Buenos Aires
47,Alfalad,B6555XAA,Buenos Aires
48,Alferez San Martin,B8117XAA,Buenos Aires
49,Alfredo Demarchi,B6533XAA,Buenos Aires
50,Algarrobo,B8132XAB,Buenos Aires
51,Almacen Castro,B2751XAA,Buenos Aires
52,Almacen el Cruce,B2751XAF,Buenos Aires
53,Almacen el Descanso,B2752XAB,Buenos Aires
54,Almacen la Colina,B2740XAA,Buenos Aires
55,Almacen Piatti,B2711XAB,Buenos Aires
56,Almirante Irizar,B1629XAA,Buenos Aires
57,Almirante Solier,B8109XAE,Buenos Aires
59,Alta Vista,B8170XAB,Buenos Aires
60,Altamira,B6601XAB,Buenos Aires
61,Altamirano,B1986XAA,Buenos Aires
63,Alto Verde,B2801XAC,Buenos Aires
64,Altona,B7303XAD,Buenos Aires
66,Alvarez Jonte,B1921XAH,Buenos Aires
67,Alvaro Barros,B7403XAB,Buenos Aires
68,Alzaga,B7021XAA,Buenos Aires
69,Amalia,B6516XAA,Buenos Aires
70,Ambrosio P Lezica,B8508XAC,Buenos Aires
73,Anasagasti,B6607XAA,Buenos Aires
74,Ancon,B6451XAE,Buenos Aires
75,Andant,B6555XAB,Buenos Aires
76,Anderson,B6621XAA,Buenos Aires
77,Andres Vaccarezza,B6634XAB,Buenos Aires
78,Aneque Grande,B7011XAA,Buenos Aires
80,Antonio de los Heros,B7305XAA,Buenos Aires
83,Arano,B6443XAA,Buenos Aires
84,Araujo,B6643XAA,Buenos Aires
86,Arbuco,B1915XAA,Buenos Aires
88,Arevalo,B7243XAD,Buenos Aires
89,Argerich,B8134XAE,Buenos Aires
90,Ariel,B7301XAB,Buenos Aires
91,Arquedas,B8164XAA,Buenos Aires
94,Arroyo Aguas Blancas,B8174XAA,Buenos Aires
95,Arroyo Aguila Negra,B2800XAF,Buenos Aires
96,Arroyo Aleli,B2805XAM,Buenos Aires
97,Arroyo Botija Falsa,B2800XAG,Buenos Aires
98,Arroyo Burgos,B2935XAC,Buenos Aires
99,Arroyo Canelon,B1625XAA,Buenos Aires
100,Arroyo Carabelitas,B2805XAN,Buenos Aires
101,Arroyo Chico,B7011XAB,Buenos Aires
103,Arroyo de la Cruz,B2812XAD,Buenos Aires
104,Arroyo de Luna,B2752XAC,Buenos Aires
105,Arroyo del Pescado,B1923XAB,Buenos Aires
107,Arroyo el Ahogado,B2805XAA,Buenos Aires
108,Arroyo el Chingolo,B6437XAG,Buenos Aires
109,Arroyo Grande,B7174XAA,Buenos Aires
110,Arroyo la Maza,B1923XAC,Buenos Aires
111,Arroyo las Cruces,B2805XAB,Buenos Aires
112,Arroyo las Rosas,B1625XAB,Buenos Aires
113,Arroyo los Huesos,B7301XAA,Buenos Aires
114,Arroyo los Tigres,B2805XAD,Buenos Aires
115,Arroyo Ñacurutu,B2800XAH,Buenos Aires
116,Arroyo Ñacurutu Chico,B2805XAE,Buenos Aires
117,Arroyo Negro,B2800XAC,Buenos Aires
118,Arroyo Pareja,B8111XAB,Buenos Aires
119,Arroyo Pesqueria,B2805XAF,Buenos Aires
120,Arroyo Tajiber,B2805XAG,Buenos Aires
121,Arroyo Venado,B6437XAH,Buenos Aires
122,Arroyo Zanjon,B2805XAH,Buenos Aires
124,Arturo Vatteone,B6433XAA,Buenos Aires
125,Asamblea,B6640XAC,Buenos Aires
127,Asturias,B6469XAA,Buenos Aires
128,Atahualpa,B6471XAA,Buenos Aires
130,Atucha,B2800XAD,Buenos Aires
132,Avestruz,B8183XAD,Buenos Aires
141,Bacacay,B6516XAB,Buenos Aires
142,Badano,B6403XAC,Buenos Aires
144,Bahia San Blas,B8506XAC,Buenos Aires
150,Balneario Chapalco,B8132XAC,Buenos Aires
155,Balneario los Angeles,B7641XAB,Buenos Aires
158,Balneario Oceano,B7511XAB,Buenos Aires
159,Balneario Orense,B7511XAC,Buenos Aires
161,Balneario Parada,B8109XAB,Buenos Aires
163,Balneario San Antonio,B8132XAD,Buenos Aires
165,Balneario Sauce Grande,B8153XAB,Buenos Aires
166,Balsa,B6070XAC,Buenos Aires
171,Barrientos,B7247XAA,Buenos Aires
172,Barrio 1 de Mayo,B1814XAD,Buenos Aires
174,Barrio Carosio,B6000XAA,Buenos Aires
177,Barrio el Porteño,B1915XAB,Buenos Aires
178,Barrio Emir Ramon Juarez,B7600XAD,Buenos Aires
179,Barrio Garin Norte,B1623XAB,Buenos Aires
180,Barrio Gastronomico,B7600XAE,Buenos Aires
181,Barrio General San Martin,B6000XAL,Buenos Aires
182,Barrio Indio Trompa,B6400XAA,Buenos Aires
183,Barrio Julio de Vedia,B6500XAB,Buenos Aires
184,Barrio la Dolly,B1980XAG,Buenos Aires
185,Barrio la Luisa,B7400XAB,Buenos Aires
186,Barrio las Mandarinas,B1980XAH,Buenos Aires
187,Barrio Obrero,B6450XAB,Buenos Aires
188,Barrio Oeste,B7607XAC,Buenos Aires
189,Barrio Parque Bristol,B7607XAD,Buenos Aires
190,Barrio Parque Lambare,B1623XAC,Buenos Aires
