id,name,zip,state
2021,Achalco,K4235XAV,Catamarca
2022,Acheral,K5260XAL,Catamarca
2023,Aconquija,K4740XAF,Catamarca
2024,Acostilla,K4701XAZ,Catamarca
2025,Adolfo E Carranza,K5263XAA,Catamarca
2026,Agua Amarilla la Hoyada,K4139XBI,Catamarca
2027,Agua Amarilla Pta de Balasto,K4139XBJ,Catamarca
2028,Agua Colorada,K4707XAU,Catamarca
2029,Agua de Dionisio,K4750XCM,Catamarca
2030,Agua de las Palomas,K4741XAA,Catamarca
2031,Agua del Campo,K4750XAK,Catamarca
2032,Agua del Simbol,K4701XBA,Catamarca
2033,Agua Escondida,K5260XAM,Catamarca
2034,Agua Grande,K5340XAO,Catamarca
2035,Agua los Matos,K4701XBB,Catamarca
2036,Agua Salada,K4740XAC,Catamarca
2037,Agua Verde,K4740XAE,Catamarca
2038,Aguada,K5340XAP,Catamarca
2039,Aguadita,K4705XAI,Catamarca
2040,Aguas Calientes,K4750XCN,Catamarca
2041,Albigasta,K4235XCA,Catamarca
2042,Algarrobal,K4740XAB,Catamarca
2044,Almigaucho,K4723XAH,Catamarca
2045,Alta Gracia,K4723XAI,Catamarca
2046,Alto Bello,K5260XCP,Catamarca
2047,Alto de la Junta,K4740XAV,Catamarca
2048,Alto del Rosario,K4701XBC,Catamarca
2049,Alto el Bolson,K4751XAF,Catamarca
2050,Amadores,K4718XAK,Catamarca
2051,Amana,K4701XBD,Catamarca
2052,Amanao,K4740XAX,Catamarca
2053,Amancala,K4723XAJ,Catamarca
2054,Ambato,K4715XAF,Catamarca
2055,Ampajango,K4139XBK,Catamarca
2056,Ampolla,K4723XBB,Catamarca
2057,Ampujaco,K4750XCO,Catamarca
2058,Ancasti,K4701XBE,Catamarca
2059,Ancastillo,K4231XAD,Catamarca
2060,Anchoca,K5340XAQ,Catamarca
2062,Andalhuala,K4139XAZ,Catamarca
2063,Andalucia,K5340XDB,Catamarca
2064,Angelina,K5260XCQ,Catamarca
2065,Angostura,K4750XAL,Catamarca
2066,Anillaco,K5340XDC,Catamarca
2067,Anjuli,K4231XAE,Catamarca
2068,Anquincila,K4701XAB,Catamarca
2069,Antapoca,K4707XAV,Catamarca
2070,Antinaco,K5341XAB,Catamarca
2072,Apocango,K5340XAR,Catamarca
2073,Apoyaco,K5315XAL,Catamarca
2074,Arima,K4740XAD,Catamarca
2075,Asampay,K4750XBR,Catamarca
2076,Aserradero el Pilcio,K4740XAY,Catamarca
2077,Ayapaso,K4235XAW,Catamarca
2078,Balcosna,K4718XAL,Catamarca
2079,Balcosna de Afuera,K4718XAM,Catamarca
2080,Balde,K5260XBA,Catamarca
2082,Balde Nuevo,K4728XAO,Catamarca
2083,Balsa,K4705XAA,Catamarca
2084,Balungasta,K5340XAS,Catamarca
2085,Bañado de Divisadero,K5260XCR,Catamarca
2087,Banda,K4139XBA,Catamarca
2088,Banda de Lucero,K5340XDD,Catamarca
2089,Banda Varela,K4700XAK,Catamarca
2090,Baños Termales,K5340XDE,Catamarca
2091,Barranca Larga,K4750XBS,Catamarca
2092,Barranquitas,K4235XAX,Catamarca
2093,Barro Negro,K4718XAA,Catamarca
2094,Bastidor,K4718XAB,Catamarca
2095,Baviano,K5260XCS,Catamarca
2096,Bebida,K4235XAY,Catamarca
2098,Bella Vista,K4235XAZ,Catamarca
2099,Biscotal,K4715XAB,Catamarca
2100,Brea,K4701XAC,Catamarca
2101,Brea Chimpana,K4230XAA,Catamarca
2102,Buen Retiro,K5260XAN,Catamarca
2103,Buena Vista,K4728XAP,Catamarca
2104,Buey Muerto,K4139XAF,Catamarca
2105,Caballa,K5260XDM,Catamarca
2106,Cabrera,K4701XAD,Catamarca
2107,Cachi,K4723XBC,Catamarca
2108,Cachijan,K4750XBT,Catamarca
2109,Cachuan,K4750XBJ,Catamarca
2110,Calacio,K4701XAE,Catamarca
2111,Calera,K4701XAF,Catamarca
2112,Calera la Norma,K5315XAM,Catamarca
2113,Campitos,K4139XBB,Catamarca
2114,Campo Bello,K5260XAO,Catamarca
2115,Campo Blanco,K5260XAP,Catamarca
2116,Cañada,K5260XDN,Catamarca
2117,Cañada de Ipizca,K4701XAG,Catamarca
2118,Cañada de Paez,K4701XAH,Catamarca
2119,Cañada Larga,K4701XAI,Catamarca
2120,Candelaria,K5260XDO,Catamarca
2121,Cantera Rota,K5340XAT,Catamarca
2122,Capayan,K4728XAB,Catamarca
2123,Carapunco,K4740XBA,Catamarca
2124,Caridad,K4723XAG,Catamarca
2125,Carrizal,K5340XBN,Catamarca
2126,Carrizal de Abajo,K4750XBV,Catamarca
2127,Carrizal de la Costa,K4750XBW,Catamarca
2128,Casa Armada,K4701XBF,Catamarca
2129,Casa de Alto,K5340XAU,Catamarca
2130,Casa de la Cumbre,K4701XBG,Catamarca
2131,Casa de Piedra,K4139XBD,Catamarca
2132,Casa Grande,K5340XAV,Catamarca
2133,Casa Vieja,K4701XBH,Catamarca
2134,Casa Viejas,K4715XAG,Catamarca
2135,Caspinchango,K4139XBC,Catamarca
2136,Castañar,K5340XAW,Catamarca
2137,Catita,K5260XAQ,Catamarca
2138,Cerdas,K5340XAX,Catamarca
2139,Cerrillada,K5260XDP,Catamarca
2140,Cerrillos,K4139XBE,Catamarca
2141,Cerro Colorado,K4139XAG,Catamarca
2142,Cerro Negro,K5340XBO,Catamarca
2143,Cerviño,K4718XAN,Catamarca
2144,Chacabuco,K4700XAL,Catamarca
2145,Chacritas,K4701XBI,Catamarca
2146,Chafiñan,K4139XBF,Catamarca
2147,Chamorro,K4715XAH,Catamarca
2148,Chañar Laguna,K4235XBA,Catamarca
2149,Chañar Punco,K4139XAA,Catamarca
2150,Chañarcito,K4707XAQ,Catamarca
2151,Chañaritos,K5260XDQ,Catamarca
2152,Chañaryaco,K4740XBC,Catamarca
2153,Chanero,K5340XAY,Catamarca
2155,Chavarria,K4715XAI,Catamarca
2156,Chavero,K5340XCG,Catamarca
2157,Chichagasta,K5260XDR,Catamarca
2158,Chiflon,K4718XAC,Catamarca
2159,Chilca,K4740XAH,Catamarca
2160,Chiquerito,K4750XAN,Catamarca
2161,Choya,K4741XAB,Catamarca
2162,Chuchucaruana,K4715XBI,Catamarca
2163,Chucolay,K4750XAA,Catamarca
2165,Cienaga,K4139XAH,Catamarca
2166,Cienaguita,K5340XBP,Catamarca
2167,Collagasta,K4707XAC,Catamarca
2169,Colonia Nueva Coneta,K4724XAA,Catamarca
2170,Colpes,K5319XAA,Catamarca
2171,Concepcion,K4728XBD,Catamarca
2172,Condor Huasi,K4740XAI,Catamarca
