id,name,zip,state
3531,28 de Julio,U9107XAD,Chubut
3532,Aguada de las Tejas,U9121XBM,Chubut
3533,Aguada del Pito,U9121XBF,Chubut
3534,Aldea Apeleg,U9033XAA,Chubut
3535,Aldea Beleiro,U9037XAA,Chubut
3536,Aldea Escolar,U9203XAA,Chubut
3537,Alto de las Plumas,U9101XAB,Chubut
3538,Alto Rio Mayo,U9037XAB,Chubut
3539,Alto Rio Pico,U9225XAF,Chubut
3541,Angostura,U9105XAH,Chubut
3542,Angostura Segunda,U9105XAI,Chubut
3543,Arenoso,U9225XAG,Chubut
3544,Arroyo Chalia,U9035XAA,Chubut
3546,Arroyo Gato,U9033XAB,Chubut
3559,Bajo del Gualicho,U9121XAV,Chubut
3562,Barrio Astra,U9003XAD,Chubut
3564,Betesta,U9105XAJ,Chubut
3567,Boca Zanja Sud,U9107XAF,Chubut
3576,Cachel,U9201XAB,Chubut
3577,Cajon de Ginebra Chico,U9201XBD,Chubut
3578,Cajon de Ginebra Grande,U9201XBC,Chubut
3582,Campamento Villegas,U9107XAA,Chubut
3583,Cañada Bagual,U9207XAH,Chubut
3587,Cañadon Carril,U9020XAK,Chubut
3592,Cañadon la Madera,U9220XAF,Chubut
3594,Cañadon Lopez,U9009XAB,Chubut
3598,Carrenleufu,U9201XAG,Chubut
3601,Cerro Centinela,U9203XAC,Chubut
3603,Cerro Fofocahuel,U9213XAA,Chubut
3608,Cerro Radal,U8430XAA,Chubut
3609,Cerro Santa Ana,U9100XAD,Chubut
3611,Chacay Oeste,U9121XBR,Chubut
3617,Colelache,U9121XBJ,Chubut
3621,Colonia Epulef,U9201XAI,Chubut
3626,Costa Chubut,U9210XAA,Chubut
3627,Costa del Lepa,U9201XBF,Chubut
3628,Costa Rio Chico,U9020XAN,Chubut
3634,Ebenecer,U9107XAB,Chubut
3636,El Argentino,U9105XAA,Chubut
3637,El Boquete,U9210XAG,Chubut
3638,El Cajon,U9217XAB,Chubut
3639,El Calafate,U9201XAZ,Chubut
3640,El Canquel,U9207XAA,Chubut
3642,El Chalet,U9207XAK,Chubut
3643,El Cherque,U9223XAC,Chubut
3644,El Coihue,U9211XAB,Chubut
3645,El Coite,U9033XAH,Chubut
3647,El Cronometro,U9201XAJ,Chubut
3648,El Cuche,U9201XAQ,Chubut
3649,El Desempeño,U9120XAA,Chubut
3650,El Escorial,U9121XAZ,Chubut
3651,El Hoyo,U9211XAA,Chubut
3652,El Jaguel,U9111XAD,Chubut
3653,El Kaquel,U9201XAR,Chubut
3655,El Mirador,U9201XAA,Chubut
3656,El Mirasol,U9101XAD,Chubut
3657,El Molle,U9220XAA,Chubut
3658,El Pajarito,U9201XBA,Chubut
3659,El Pastizal,U9121XAD,Chubut
3660,El Piquillin,U9121XAE,Chubut
3661,El Portezuelo,U9201XAE,Chubut
3662,El Porvenir,U9033XAI,Chubut
3663,El Poyo,U9201XAS,Chubut
3664,El Quilimuay,U9121XAF,Chubut
3665,El Ruano,U9121XAG,Chubut
3666,El Salitral,U9121XAH,Chubut
3667,El Shaman,U9223XAA,Chubut
3668,El Sombrero,U9207XAB,Chubut
3670,El Triana,U9037XAC,Chubut
3671,El Tropezon,U9220XAB,Chubut
3672,El Turbio,U9210XAH,Chubut
3673,Empalme a Astra,U9003XAC,Chubut
3674,Empalme Puerto Lobos,U8532XAA,Chubut
3675,Enrique Hermitte,U9020XAA,Chubut
3676,Epuyen,U9211XAC,Chubut
3678,Estancia el Moro,U9121XBW,Chubut
3679,Estancia la Mimosa,U9201XAT,Chubut
3680,Estancia Nueva Lubecka,U9227XAA,Chubut
3681,Estancia Pampa Chica,U9201XAU,Chubut
3683,Fithen Verin,U9210XAD,Chubut
3684,Fitirhuin,U9210XAE,Chubut
3685,Florentino Ameghino,U9100XAB,Chubut
3686,Fofo Cahuel,U9213XAB,Chubut
3687,Frontera de Rio Pico,U9225XAH,Chubut
3688,Futaleufu,U9203XAH,Chubut
