id,name,zip,state
3857,9 de Julio,X5272XAB,Córdoba
3858,Abburra,X5220XAT,Córdoba
3859,Achiras,X5875XAC,Córdoba
3860,Acollarado,X5216XAE,Córdoba
3861,Acostilla,X5871XAD,Córdoba
3863,Agua de Crespin,X5285XAD,Córdoba
3864,Agua de las Piedras,X5221XAT,Córdoba
3865,Agua de Oro,X5248XAB,Córdoba
3866,Agua de Tala,X5155XAL,Córdoba
3867,Agua del Tala,X5243XAA,Córdoba
3868,Agua Hedionda,X5216XAF,Córdoba
3869,Agua Pintada,X5212XAO,Córdoba
3870,Aguada del Monte,X5209XAY,Córdoba
3871,Aguadita,X5209XAZ,Córdoba
3872,Aguas de Ramon,X5284XBB,Córdoba
3873,Aguasacha,X5221XAF,Córdoba
3877,Algarrobal,X5885XAB,Córdoba
3878,Algarrobo,X5221XAM,Córdoba
3881,Alpa Corral,X5801XAJ,Córdoba
3882,Alpapuca,X5813XAE,Córdoba
3884,Altautina,X5871XAQ,Córdoba
3885,Alto Alegre,X5121XAB,Córdoba
3886,Alto Castro,X5182XAD,Córdoba
3887,Alto de Castillo,X5145XAK,Córdoba
3888,Alto de Fierro,X5119XAG,Córdoba
3889,Alto de Flores,X5203XAB,Córdoba
3890,Alto de las Mulas,X5875XAD,Córdoba
3891,Alto de los Quebrachos,X5281XAY,Córdoba
3892,Alto de San Pedro,X5174XAB,Córdoba
3893,Alto del Durazno,X5119XAI,Córdoba
3894,Alto del Tala,X5295XAA,Córdoba
3895,Alto Grande,X5893XAC,Córdoba
3896,Alto Resbaloso,X5885XAO,Córdoba
3897,Alto Verde,X5205XAA,Córdoba
3899,Amboy,X5199XAK,Córdoba
3900,Ambul,X5299XAN,Córdoba
3901,Ana Zumaran,X5905XAA,Córdoba
3902,Angostura,X5155XAM,Córdoba
3903,Animi,X5107XAG,Córdoba
3905,Antonio Catalano,X6271XAC,Córdoba
3906,Arbol Blanco,X5216XAG,Córdoba
3907,Arbol Chato,X2432XAE,Córdoba
3908,Arboles Blancos,X5873XAC,Córdoba
3909,Arcoyo,X5297XAO,Córdoba
3911,Aromito,X2341XAA,Córdoba
3913,Arroyo,X5297XAI,Córdoba
3916,Arroyo de Alvarez,X2434XAB,Córdoba
3917,Arroyo del Pino,X5901XAD,Córdoba
3918,Arroyo la Higuera,X5889XAG,Córdoba
3919,Arroyo los Patos,X5889XAH,Córdoba
3920,Arroyo San Antonio,X5859XAG,Córdoba
3921,Arroyo Santa Catalina,X5825XAA,Córdoba
3922,Arroyo Santana,X5819XAG,Córdoba
3923,Arroyo Seco,X5196XAE,Córdoba
3924,Arroyo Toledo,X5819XAH,Córdoba
3925,Arsenal Jose Maria Rojas,X5825XAB,Córdoba
3926,Ascochinga,X5117XAA,Córdoba
3927,Assunta,X2671XAC,Córdoba
3928,Atahona,X5225XAB,Córdoba
3929,Athos Pampa,X5194XAD,Córdoba
3930,Atumi Pampa,X5196XAF,Córdoba
3933,Avellaneda,X5212XAP,Córdoba
3938,Bajada Nueva,X5813XAA,Córdoba
3939,Bajo Chico,X5189XAM,Córdoba
3940,Bajo Chico Bajo Grande,X5101XAB,Córdoba
3941,Bajo de Fernandez,X5101XAN,Córdoba
3942,Bajo de Gomez,X5961XAB,Córdoba
3943,Bajo de Olmos,X5221XAN,Córdoba
3944,Bajo del Burro,X2662XAC,Córdoba
3945,Bajo del Carmen,X5189XAF,Córdoba
3946,Bajo el Molino,X5887XAA,Córdoba
3947,Bajo Galindez,X5961XAE,Córdoba
3948,Bajo Grande,X5101XBA,Córdoba
3949,Bajo Hondo,X5231XAA,Córdoba
3950,Bajo Lindo,X5270XAI,Córdoba
3951,Balbuena,X5248XAC,Córdoba
3952,Balde de la Mora,X5871XAL,Córdoba
3953,Balde de la Orilla,X5871XAC,Córdoba
3954,Balde Lindo,X5871XAR,Córdoba
3958,Balneario Guglieri,X5137XAV,Córdoba
3959,Banda de Varela,X5875XAA,Córdoba
3960,Barranca Yaco,X5212XAQ,Córdoba
3961,Barreto,X2671XAD,Córdoba
3962,Barrial,X5281XAS,Córdoba
3963,Barrialitos,X5284XAX,Córdoba
3964,Barrio Belgrano,X2550XAB,Córdoba
3965,Barrio Dean Funes,X5123XAL,Córdoba
3966,Barrio del Libertador,X5850XAA,Córdoba
3967,Barrio la Feria,X5870XAB,Córdoba
3968,Barrio la Fortuna,X2594XAC,Córdoba
3969,Barrio Loza,X5111XAA,Córdoba
3970,Barrio Muller,X5143XAC,Córdoba
3971,Batan,X5155XAN,Córdoba
3972,Belen,X5220XAH,Córdoba
3974,Bella Vista,X5284XAY,Córdoba
3978,Beuce,X5244XAN,Córdoba
3980,Blas de Rosales,X5125XAA,Córdoba
3981,Boca del Rio,X5885XAN,Córdoba
3982,Bordo de los Espinosa,X5209XAM,Córdoba
3983,Bosque Alegre,X5186XAA,Córdoba
3986,Buen Retiro,X5155XAK,Córdoba
3987,Buena Vista,X5295XAF,Córdoba
3988,Buey Muerto,X5131XAW,Córdoba
3990,Burmeister,X6225XAA,Córdoba
4021,Cabeza de Buey,X5229XAK,Córdoba
4022,Cabindo,X5221XAU,Córdoba
4023,Cachi Yaco,X5209XAN,Córdoba
4024,Cachiyullo,X5284XAL,Córdoba
4025,Cajon del Rio,X5184XAI,Córdoba
4026,Calabalumba,X5282XAL,Córdoba
4027,Calasuya,X5201XAU,Córdoba
4030,Calera Central,X5151XAH,Córdoba
4031,Calmayo,X5191XAC,Córdoba
4032,Camarones,X5205XAB,Córdoba
4035,Camino a Punta del Agua,X5101XBB,Córdoba
4036,Camoati,X5231XAB,Córdoba
4037,Campamento Minnetti,X5149XAB,Córdoba
4038,Campo Alegre,X5221XAV,Córdoba
4039,Campo Alvarez,X5229XAD,Córdoba
4040,Campo Ambroggio,X5915XAA,Córdoba
4041,Campo Bandillo,X5943XAA,Córdoba
4042,Campo Beiro,X2421XAG,Córdoba
4043,Campo Boero,X2426XAB,Córdoba
4044,Campo Bourdichon,X5149XAD,Córdoba
4045,Campo Calvo,X2423XAE,Córdoba
4046,Campo Coyunda,X5139XAG,Córdoba
4047,Campo de la Torre,X5801XAK,Córdoba
4048,Campo de las Piedras,X5236XAA,Córdoba
4049,Campo General Paz,X2555XAB,Córdoba
4050,Campo Grande,X5231XAC,Córdoba
4051,Campo la Luisa,X2423XAD,Córdoba
4052,Campo la Piedra,X5221XBF,Córdoba
4053,Campo Ramallo,X5225XAJ,Córdoba
4054,Campo Rossiano,X5987XAD,Córdoba
4055,Campo San Antonio,X5821XAF,Córdoba
4056,Campo San Juan,X6271XAB,Córdoba
4057,Campo Sol de Mayo,X2679XAA,Córdoba
4059,Candelaria,X5287XAD,Córdoba
4060,Candelaria Sud,X5221XBI,Córdoba
4061,Candonga,X5111XAD,Córdoba
4062,Cantera los Vieras,X5212XAR,Córdoba
4063,Canteras Alta Gracia,X5186XAE,Córdoba
4064,Canteras el Manzano,X5107XAE,Córdoba
4065,Canteras el Sauce,X5107XAD,Córdoba
4066,Canteras Iguazu,X5285XAK,Córdoba
4067,Canteras Kilometro 428,X5200XAF,Córdoba
4068,Canteras la Calera,X5151XAF,Córdoba
4069,Canteras los Morales,X5238XAB,Córdoba
4070,Canteras Quilpo,X5281XAN,Córdoba
4072,Capilla de Cosme,X5101XAY,Córdoba
4073,Capilla de Dolores,X5125XAN,Córdoba
4075,Capilla de Romero,X5873XAB,Córdoba
4076,Capilla de San Antonio,X2559XAB,Córdoba
4077,Capilla de Siton,X5231XAN,Córdoba
4078,Capilla de Tegua,X5813XAF,Córdoba
4079,Capilla del Carmen,X5963XAB,Córdoba
4081,Capilla la Esperanza,X5129XAJ,Córdoba
4082,Capilla San Antonio,X2432XAD,Córdoba
4083,Capilla San Antonio de Yucat,X5936XAA,Córdoba
4084,Capilla Santa Rosa,X2415XAB,Córdoba
4085,Carahuasi,X5196XAG,Córdoba
4086,Carlomagno,X5925XAC,Córdoba
4088,Carnero Yaco,X5246XAB,Córdoba
4089,Caroya,X5223XAA,Córdoba
4091,Carrizal,X5285XAL,Córdoba
4092,Cartaberol,X5871XBD,Córdoba
4093,Casa Bamba,X5151XAC,Córdoba
4094,Casa Blanca,X5295XAB,Córdoba
4095,Casa de Piedra,X5891XAE,Córdoba
