id,name,zip,state
7758,19 de Marzo,P3630XCX,Formosa
7759,9 de Julio,P3643XAA,Formosa
7760,Agente Argentino Alegre,P3634XCN,Formosa
7761,Agente Felipe Santiago Ibañez,P3624XAB,Formosa
7762,Agua Verde,P3636XAK,Formosa
7763,Aguas Negras,P3615XAA,Formosa
7764,Alfonsina Storni,P3634XBM,Formosa
7765,Alolague,P3626XAG,Formosa
7766,Alto Alegre,P3620XAH,Formosa
7767,Andres Flores,P3620XAD,Formosa
7768,Angostura,P3611XAX,Formosa
7769,Apayerey,P3615XAI,Formosa
7770,Arbol Solo,P3628XAB,Formosa
7771,Ayudante Paredes,P3611XAD,Formosa
7772,Bahia Negra,P3600XBA,Formosa
7773,Bajo Hondo,P3630XAI,Formosa
7774,Bajo Verde,P3634XBL,Formosa
7775,Ballon,P3634XCM,Formosa
7776,Banco Payagua,P3601XAF,Formosa
7777,Barrio San Jose Obrero,P3606XBS,Formosa
7778,Barrio San Martin,P3610XAH,Formosa
7779,Barrio Sud America,P3610XAD,Formosa
7780,Bartolome de las Casas,P3622XAB,Formosa
7781,Bella Vista,P3615XAJ,Formosa
7782,Boca del Riacho de Pilaga,P3600XAJ,Formosa
7783,Bocarin,P3611XAV,Formosa
7784,Bolsa de Palomo,P3636XAP,Formosa
7785,Brigadier General Pueyrredon,P3610XAE,Formosa
7786,Bruchard,P3622XAC,Formosa
7787,Buen Lugar,P3636XAI,Formosa
7789,Caballo Muerto,P3636XAJ,Formosa
7790,Cabo 1Ro Casimiro Benitez,P3626XAU,Formosa
7791,Cabo Adriano Ayala,P3519XAA,Formosa
7792,Cabo Noroña,P3606XBI,Formosa
7793,Cabo Primero Chavez,P3630XAE,Formosa
7794,Campo Alegre,P3630XAV,Formosa
7795,Campo Azcurra,P3624XAL,Formosa
7796,Campo del Cielo,P3624XAM,Formosa
7797,Campo el Suri,P3634XAV,Formosa
7798,Campo Goreta,P3601XAG,Formosa
7799,Campo Grande,P3636XAQ,Formosa
7800,Campo Oswald,P3608XAB,Formosa
7801,Campo Redondo,P3630XBG,Formosa
7802,Campo Rigonato,P3606XBK,Formosa
