id,name,zip,state
8280,23 de Agosto,Y4503XAC,Jujuy
8282,Abra de Peñas,Y4650XAB,Jujuy
8283,Abra de Pives,Y4618XAD,Jujuy
8284,Abra del Trigo,Y4501XAH,Jujuy
8285,Abra Mayo,Y4622XAJ,Jujuy
8287,Abralaite,Y4632XAA,Jujuy
8288,Achacamayoc,Y4618XAE,Jujuy
8289,Agua Bendita,Y4618XAF,Jujuy
8290,Agua Caliente de la Puna,Y4641XAI,Jujuy
8291,Agua Chica,Y4640XBC,Jujuy
8292,Agua de Castilla,Y4640XAT,Jujuy
8293,Agua Negra,Y4512XCK,Jujuy
8294,Agua Palomar,Y4618XAG,Jujuy
8295,Aguas Blancas,Y4501XAI,Jujuy
8296,Aguas Calientes,Y4518XAB,Jujuy
8297,Alegria,Y4506XAA,Jujuy
8298,Alfarcito,Y4624XAF,Jujuy
8299,Algarrobal,Y4600XBH,Jujuy
8300,Alisos  de Abajo,Y4603XAJ,Jujuy
8301,Alisos de Arriba,Y4603XAL,Jujuy
8302,Alto Calilegua,Y4512XCC,Jujuy
8303,Alto Comedero,Y4600XAA,Jujuy
8304,Alto de Casa,Y4618XBT,Jujuy
8305,Alto de Lozano,Y4618XBU,Jujuy
8306,Alto de Mojon,Y4618XBV,Jujuy
8307,Alto del Angosto,Y4618XBW,Jujuy
8308,Alto del Saladillo,Y4522XAN,Jujuy
8309,Alto Huancar,Y4618XBX,Jujuy
8310,Alto Minero,Y4618XBY,Jujuy
8311,Alto Potrerillo,Y4618XBZ,Jujuy
8312,Alto Quemado,Y4618XCA,Jujuy
8313,Alto Quirquincho,Y4618XCB,Jujuy
8314,Alto Verde,Y4606XAB,Jujuy
8315,Amancayoc,Y4513XAP,Jujuy
8316,Amarguras,Y4513XAQ,Jujuy
8317,Angosto del Perchel,Y4626XAG,Jujuy
8318,Animas,Y4512XCL,Jujuy
8319,Antiguo,Y4631XAS,Jujuy
8320,Antiguyos,Y4643XAG,Jujuy
8321,Antumpa,Y4632XAC,Jujuy
8322,Aparejo,Y4512XCM,Jujuy
8323,Aparzo,Y4630XAD,Jujuy
8324,Arbolito Nuevo,Y4641XAJ,Jujuy
8325,Arenal Barroso,Y4506XAK,Jujuy
8326,Arrayanal,Y4503XAH,Jujuy
8327,Arroyo Colorado,Y4500XAL,Jujuy
8328,Arroyo del Medio,Y4501XAJ,Jujuy
8329,Atalaya,Y4600XBI,Jujuy
8330,Azul Pampa,Y4631XAE,Jujuy
8331,Bajada Alta,Y4506XAB,Jujuy
8332,Baliazo,Y4631XAF,Jujuy
8333,Balliazo,Y4630XAA,Jujuy
8334,Barcena,Y4616XAF,Jujuy
8335,Barrancas,Y4641XAK,Jujuy
8336,Barrio 9 de Julio,Y4600XAT,Jujuy
8337,Barrio Alberdi,Y4600XAK,Jujuy
8338,Barrio Alto la Loma,Y4600XAW,Jujuy
8339,Barrio Alto la Viña,Y4600XAU,Jujuy
8340,Barrio Bajo la Viña,Y4600XAV,Jujuy
8341,Barrio Chijra,Y4600XAE,Jujuy
8342,Barrio Cuyaya,Y4600XAM,Jujuy
8343,Barrio la Providencia,Y4500XAD,Jujuy
8344,Barrio la Union,Y4648XAB,Jujuy
8345,Barrio Lujan,Y4600XAB,Jujuy
8346,Barrio Parque 19 de Abril,Y4600XAD,Jujuy
8347,Barrio Santa Rita,Y4600XAC,Jujuy
8349,Barro Negro,Y4522XAH,Jujuy
8350,Bateas,Y4512XCN,Jujuy
8351,Bella Vista,Y4622XAG,Jujuy
8352,Boleteria,Y4618XAH,Jujuy
8353,Bomba,Y4616XAG,Jujuy
8354,Bordo la Isla,Y4608XAD,Jujuy
8355,Cabreria,Y4653XAF,Jujuy
8356,Cachi Punco,Y4501XBG,Jujuy
8357,Cachihuaico,Y4622XAH,Jujuy
8358,Cacho,Y4513XAA,Jujuy
8359,Cadilla,Y4608XAV,Jujuy
8361,Cajas,Y4651XAI,Jujuy
8362,Calahoyo,Y4655XAA,Jujuy
8363,Calete,Y4630XAB,Jujuy
8365,Campo Bajo,Y4512XAC,Jujuy
8366,Campo Colorado,Y4512XAD,Jujuy
8367,Campo la Tuna,Y4608XAA,Jujuy
8368,Campo Oculto,Y4618XAI,Jujuy
8369,Cañas,Y4624XAE,Jujuy
8370,Canchahuasi,Y4618XAJ,Jujuy
8371,Canchuela,Y4655XAB,Jujuy
8372,Candelaria,Y4512XAE,Jujuy
8373,Cangrejillos,Y4644XAT,Jujuy
8374,Cangrejos,Y4644XAU,Jujuy
8375,Capachacra,Y4618XAK,Jujuy
8376,Capla,Y4626XAA,Jujuy
8377,Caracara,Y4644XAV,Jujuy
8378,Carahuasi,Y4643XAB,Jujuy
8379,Carahunco,Y4612XAR,Jujuy
8380,Carayoc,Y4651XAA,Jujuy
8381,Carcel,Y4618XAL,Jujuy
8382,Casa Colorada,Y4643XAA,Jujuy
8383,Casa Grande,Y4634XAB,Jujuy
8384,Casa Negra,Y4618XAM,Jujuy
8385,Casa Vieja,Y4618XAN,Jujuy
8386,Casabindo,Y4641XAA,Jujuy
8387,Casayock,Y4632XAD,Jujuy
8388,Casilla,Y4632XAE,Jujuy
8389,Casillas,Y4632XAK,Jujuy
8390,Casira,Y4653XAG,Jujuy
8391,Caspala,Y4631XAK,Jujuy
8392,Casti,Y4650XAE,Jujuy
8393,Catamontaña,Y4603XAA,Jujuy
8394,Catari,Y4640XAA,Jujuy
8395,Catua,Y4413XAA,Jujuy
8396,Cauchari,Y4641XAT,Jujuy
8397,Ceibal,Y4603XAK,Jujuy
8398,Centro Forestal,Y4612XAS,Jujuy
8399,Cerrillos,Y4653XAQ,Jujuy
8400,Cerrito,Y4653XAH,Jujuy
8401,Cerro Agua Caliente,Y4641XBD,Jujuy
8402,Cerro Chico,Y4640XAL,Jujuy
8403,Cerro Negro,Y4605XAA,Jujuy
8404,Cerro Redondo,Y4643XAH,Jujuy
8405,Cerros Zapla,Y4612XAT,Jujuy
8406,Cevilar,Y4512XAF,Jujuy
8407,Chalican,Y4504XAC,Jujuy
8408,Chamical,Y4608XAB,Jujuy
8409,Chañar Solo,Y4516XAA,Jujuy
8410,Chañaral,Y4516XAB,Jujuy
8411,Chañarcito,Y4618XAO,Jujuy
8412,Chañi,Y4616XAA,Jujuy
8413,Chañi Chico,Y4618XAP,Jujuy
8414,Chaupi Rodero,Y4632XAF,Jujuy
8415,Chilcar,Y4618XAQ,Jujuy
8416,Chilcayoc,Y4616XAH,Jujuy
8417,Chocoite,Y4644XAW,Jujuy
8418,Chorcan,Y4631XAA,Jujuy
8419,Chorojra,Y4640XAB,Jujuy
8420,Chorrillo,Y4618XAR,Jujuy
8421,Chorrillos,Y4626XAH,Jujuy
8422,Chorro,Y4513XAB,Jujuy
8423,Chucalezna,Y4626XAB,Jujuy
8424,Chucupal,Y4603XAD,Jujuy
8425,Chulin o Inca Nueva,Y4640XAU,Jujuy
8426,Chuquina,Y4600XAF,Jujuy
8427,Cianzo,Y4631XAB,Jujuy
8428,Cienaga,Y4512XAG,Jujuy
8429,Cienaga Grande,Y4643XBE,Jujuy
8430,Cienego Grande,Y4643XAC,Jujuy
8432,Cincel,Y4643XAI,Jujuy
8433,Cochagate,Y4640XAV,Jujuy
8434,Cochinoca,Y4641XAB,Jujuy
8435,Coctaca,Y4631XAC,Jujuy
8436,Coiruro,Y4618XCC,Jujuy
8437,Colonia 8 de Septiembre,Y4512XAA,Jujuy
8438,Colonia los Lapachos,Y4606XAA,Jujuy
8439,Colorados,Y4618XAA,Jujuy
8440,Condor,Y4618XCD,Jujuy
8441,Coranzuli,Y4643XBF,Jujuy
8442,Coraya,Y4630XAC,Jujuy
8443,Coronel Arias,Y4608XAC,Jujuy
8444,Corral Blanco,Y4655XAC,Jujuy
8445,Corral de Piedras,Y4601XAA,Jujuy
8446,Corralito,Y4650XAJ,Jujuy
8447,Cortaderas,Y4618XCE,Jujuy
8448,Costillar,Y4618XCF,Jujuy
8449,Coyaguaima,Y4643XAD,Jujuy
8450,Cruz Nido,Y4618XCG,Jujuy
8451,Cusi Cusi,Y4643XAL,Jujuy
8452,Doglonzo,Y4631XAD,Jujuy
8453,Don Jorge,Y4512XAI,Jujuy
8454,Doncellas,Y4641XAC,Jujuy
8455,Duraznal,Y4512XAJ,Jujuy
8456,El Acheral,Y4500XAE,Jujuy
8457,El Aguilar,Y4634XAC,Jujuy
8458,El Aibal,Y4512XBH,Jujuy
8459,El Algarrobal,Y4612XAU,Jujuy
8460,El Amancay,Y4600XAY,Jujuy
8461,El Angosto,Y4655XAP,Jujuy
8462,El Arenal,Y4500XAM,Jujuy
8463,El Bananal,Y4512XBI,Jujuy
8464,El Brete,Y4612XAV,Jujuy
8465,El Cabral,Y4608XAM,Jujuy
8466,El Cadillal,Y4608XAF,Jujuy
8467,El Callejon,Y4622XAI,Jujuy
8468,El Cardonal,Y4506XAC,Jujuy
8470,El Caulario,Y4512XBJ,Jujuy
8471,El Chaguaral,Y4500XAO,Jujuy
8472,El Colorado,Y4618XCH,Jujuy
8473,El Condor,Y4644XAJ,Jujuy
8474,El Cucho,Y4612XAW,Jujuy
8475,El Durazno,Y4624XAG,Jujuy
8476,El Fuerte,Y4501XAY,Jujuy
8477,El Manantial,Y4512XBK,Jujuy
8478,El Mistol,Y4501XAE,Jujuy
8479,El Molino,Y4618XCI,Jujuy
8480,El Mollar,Y4608XAW,Jujuy
8481,El Monumento,Y4650XAC,Jujuy
8482,El Moreno,Y4618XDC,Jujuy
8483,El Morro,Y4618XCJ,Jujuy
8484,El Naranjo,Y4512XBL,Jujuy
8485,El Ollero,Y4605XAF,Jujuy
8486,El Olvido,Y4501XAF,Jujuy
8487,El Palmar,Y4501XAZ,Jujuy
8488,El Palmar de San Francisco,Y4522XAK,Jujuy
8489,El Perchel,Y4624XAJ,Jujuy
8490,El Piquete,Y4501XBA,Jujuy
8491,El Pongo,Y4608XAG,Jujuy
8492,El Porvenir,Y4641XAU,Jujuy
8493,El Potrero de la Puna,Y4641XAP,Jujuy
8494,El Quemado,Y4504XAG,Jujuy
8495,El Remate,Y4612XAX,Jujuy
8496,El Rio Negro,Y4504XAB,Jujuy
8497,El Saladillo,Y4500XAN,Jujuy
8498,El Sauce,Y4512XAK,Jujuy
8499,El Sunchal,Y4501XAG,Jujuy
8501,El Tipal,Y4501XAQ,Jujuy
8502,El Toba,Y4606XAH,Jujuy
8503,El Toro,Y4643XBC,Jujuy
8504,Encrucijada,Y4618XCK,Jujuy
8505,Ensenada,Y4500XAF,Jujuy
8506,Entre Rios,Y4608XAX,Jujuy
8507,Escaya,Y4644XAX,Jujuy
8508,Esquina,Y4512XAL,Jujuy
8509,Esquina de Huancar,Y4618XCL,Jujuy
8510,Esquina de Quisto,Y4500XAG,Jujuy
8511,Esquina Grande,Y4618XAS,Jujuy
8512,Esquinas Blancas,Y4634XAI,Jujuy
8513,Estacion Perico,Y4608XAH,Jujuy
8514,Estacion Zootecnica,Y4640XAC,Jujuy
8515,Estancia Grande,Y4618XAT,Jujuy
8516,Falda del Quebrachal,Y4512XAM,Jujuy
8517,Falda Mojon,Y4512XAN,Jujuy
8518,Falda Montosa,Y4512XBY,Jujuy
8519,Farillon,Y4643XAJ,Jujuy
8520,Finca Agua Salada,Y4516XAF,Jujuy
