id,name,zip,state
8946,Agua de Torre,L5621XAA,La Pampa
8947,Aguas Buenas,L6228XAB,La Pampa
8948,Agustoni,L6361XAD,La Pampa
8949,Alfredo Peña,L6333XAN,La Pampa
8950,Algarrobo del Aguila,L6323XAY,La Pampa
8954,Anzoategui,L8138XAD,La Pampa
8956,Arbol de la Esperanza,L6323XAQ,La Pampa
8957,Arbol Solo,L6323XAB,La Pampa
8958,Argentina Belvedere,L6367XAA,La Pampa
8959,Arturo Almaraz,L6330XAA,La Pampa
8961,Atreuco,L6305XAA,La Pampa
8962,Azteazu,L6365XAD,La Pampa
8963,Bajo de las Palomas,L6313XAN,La Pampa
8964,Balo los Morros,L8138XAE,La Pampa
8965,Barrancas Coloradas,L8201XBB,La Pampa
8966,Barrio el Molino,L6360XAA,La Pampa
8967,Belgrano,L8201XBH,La Pampa
8968,Bella Vista,L6305XAB,La Pampa
8971,Boeuf,L6380XAD,La Pampa
8972,Boliche la Araña,L6301XAK,La Pampa
8973,Butalo,L6323XAC,La Pampa
8974,Cachirulo,L6303XAA,La Pampa
8975,Caichue,L6321XAA,La Pampa
8976,Caimi,L6361XAA,La Pampa
8977,Calchahue,L6303XAB,La Pampa
8978,Caleu Caleu,L8138XAF,La Pampa
8980,Campo Caretto,L6381XAA,La Pampa
8981,Campo Cicare,L8208XAB,La Pampa
8982,Campo de los Toros,L6311XAB,La Pampa
8983,Campo de Salas,L8208XAG,La Pampa
8984,Campo la Florida,L6311XAJ,La Pampa
8985,Campo Ludueña,L6330XAC,La Pampa
8986,Campo Moises Seccion 1A,L6383XAC,La Pampa
8987,Campo Nicholson,L8208XAD,La Pampa
8988,Campo Pico,L6381XAB,La Pampa
8989,Campo Salusso,L6369XAB,La Pampa
8990,Campo Urdaniz,L6309XAG,La Pampa
8991,Caraman,L6387XAD,La Pampa
8992,Carlos Berg,L6360XAB,La Pampa
8994,Casa de Piedra,L8201XBN,La Pampa
8996,Cayupan,L6330XAD,La Pampa
8998,Cereales,L6301XAA,La Pampa
8999,Cerro Azul,L8201XBC,La Pampa
9000,Cerro Bayo,L8201XBD,La Pampa
9001,Cerro del Aigre,L8201XAA,La Pampa
9002,Cerro la Bota,L8201XBE,La Pampa
9004,Chacra 16,L6380XAF,La Pampa
9005,Chacra la Casilda,L6221XAH,La Pampa
9006,Chacra la Magdalena,L6621XAA,La Pampa
9007,Chacras de Victorica,L6319XAB,La Pampa
9008,Chacu,L6303XAC,La Pampa
9009,Chamaico,L6214XAF,La Pampa
9010,Chanilao,L6201XAA,La Pampa
9011,Chapalco,L6303XAD,La Pampa
9012,Chicalco,L6323XAO,La Pampa
9013,Colonia 17 de Agosto,L8204XAB,La Pampa
9014,Colonia Aguirre,L6301XAB,La Pampa
9015,Colonia Anasagasti,L6309XAB,La Pampa
9017,Colonia Beatriz,L8208XAE,La Pampa
