id,name,zip,state
10043,9 de Julio,M5533XAH,Mendoza
10044,Adrian Maturano,M5590XBF,Mendoza
10046,Agua Amarga,M5563XAD,Mendoza
10047,Agua Botada,M5613XBS,Mendoza
10048,Agua de Cabrera,M5613XBT,Mendoza
10049,Agua de Diaz,M5545XAK,Mendoza
10050,Agua de la Mula,M5600XAB,Mendoza
10051,Agua de los Manantiales,M5549XAD,Mendoza
10052,Agua del Chancho,M5613XBU,Mendoza
10053,Agua del Toro,M5621XAQ,Mendoza
10054,Agua Escondida,M5621XAR,Mendoza
10055,Agua Nueva,M5600XAA,Mendoza
10056,Agua Rica,M5611XAG,Mendoza
10057,Aguada,M5569XAA,Mendoza
10058,Aguada Penepe,M5613XBV,Mendoza
10059,Aguada Perez,M5613XBW,Mendoza
10060,Aguada Puesto la Totora,M5611XAP,Mendoza
10061,Alberto Flores,M5582XBR,Mendoza
10062,Alejandro Perez,M5590XFK,Mendoza
10063,Alfredo Lucero,M5590XFL,Mendoza
10064,Algarrobal Abajo,M5541XAB,Mendoza
10065,Algarrobal Arriba,M5541XAC,Mendoza
10066,Algarrobito,M5537XAI,Mendoza
10067,Algarrobo,M5533XAY,Mendoza
10068,Algarrobo de Sortue,M5600XAS,Mendoza
10069,Algarrobo Grande,M5582XAA,Mendoza
10070,Alpatacal,M5591XAB,Mendoza
10071,Alto Amarillo,M5537XAJ,Mendoza
10072,Alto con Zampa,M5594XDC,Mendoza
10073,Alto de las Arañas,M5519XAD,Mendoza
10074,Alto de los Manantiales,M5549XAE,Mendoza
10075,Alto de los Perros,M5590XFM,Mendoza
10076,Alto de los Sapos,M5590XFN,Mendoza
10077,Alto del Olvido,M5533XAI,Mendoza
10078,Alto del Plomo,M5549XAK,Mendoza
10079,Alto del Salvador,M5570XAA,Mendoza
10080,Alto Grande,M5543XAC,Mendoza
10081,Alto Tres Compadres,M5537XAM,Mendoza
10082,Alto Verde,M5582XBG,Mendoza
10083,Alvarez,M5590XFJ,Mendoza
10084,Alvarez Condarco,M5549XAR,Mendoza
10085,Ana de Donaire,M5590XFO,Mendoza
10086,Anacleta Viuda de Perez,M5590XFP,Mendoza
10087,Anchoris,M5509XAN,Mendoza
10088,Ancon,M5561XAH,Mendoza
10090,Andres Perez,M5590XFQ,Mendoza
10091,Antonio Sosa,M5590XFR,Mendoza
10092,Araganita,M5569XBL,Mendoza
10093,Arancibia,M5594XDD,Mendoza
10094,Aranzabal,M5594XDE,Mendoza
10095,Arboleda,M5561XAG,Mendoza
10096,Arenales,M5539XBI,Mendoza
10097,Aristides Villanueva,M5609XAD,Mendoza
10098,Arroyito,M5537XAA,Mendoza
10099,Arroyo Claro,M5560XAL,Mendoza
10100,Arroyo los Sauces,M5563XAI,Mendoza
10101,Asuncion,M5535XAA,Mendoza
10102,Atuel Sud,M5623XAE,Mendoza
10103,Azcurra,M5582XBL,Mendoza
10104,B de Araya,M5594XDF,Mendoza
10105,B de Quebrado,M5594XDG,Mendoza
10106,B Elena,M5590XFS,Mendoza
10107,Bajada Araujo,M5535XAB,Mendoza
10108,Bajada de la Salada,M5569XBR,Mendoza
10109,Bajada de los Gauchos,M5569XBM,Mendoza
10110,Bajada de los Papagayos,M5569XBN,Mendoza
10111,Bajada de Yaucha,M5569XBO,Mendoza
10112,Bajada del Agua Escondida,M5569XBP,Mendoza
10113,Bajada del Fuerte,M5569XBQ,Mendoza
10114,Bajada del Perro,M5590XBG,Mendoza
10115,Bajada del Sauce,M5569XBS,Mendoza
10116,Bajo del Peludo,M5613XBI,Mendoza
10117,Bajo del Yuyo,M5594XAW,Mendoza
10118,Balde de la Jarilla,M5582XBM,Mendoza
10119,Balde de los Gauchos,M5582XBN,Mendoza
10120,Balde de Piedra,M5596XAD,Mendoza
10121,Balde E Aquera,M5582XAG,Mendoza
10122,Balde el Sosneado,M5611XBM,Mendoza
10123,Balde Jofre,M5582XBO,Mendoza
10124,Balde la Pichana Vieja,M5582XBP,Mendoza
10125,Balde las Carpas,M5582XBQ,Mendoza
10126,Balde las Catitas,M5582XBK,Mendoza
10127,Balde las Lagunitas,M5594XAX,Mendoza
10128,Balde Nuevo,M5594XAY,Mendoza
10129,Balde San Agustin,M5582XAF,Mendoza
10130,Bañado Verde,M5598XAC,Mendoza
10131,Banderita,M5594XAZ,Mendoza
10132,Baños de Azufre,M5611XAH,Mendoza
10133,Baños de Capiz,M5569XCL,Mendoza
10134,Baños la Salada,M5569XCM,Mendoza
10135,Baños Lunlunta,M5507XAF,Mendoza
10137,Bardas Blancas,M5611XBB,Mendoza
10138,Barreal Colorado,M5613XBJ,Mendoza
10139,Barreal de la Mesilla,M5613XBK,Mendoza
10140,Barreal de la Pampa Seca,M5539XBJ,Mendoza
10141,Barreal Jose Luis,M5613XAZ,Mendoza
10142,Barreal Pajaro Muerto,M5539XFD,Mendoza
10143,Barriales los Ranchos,M5613XBL,Mendoza
10144,Barrio Ferri,M5531XAE,Mendoza
10145,Barrio Villa Adela,M5584XAA,Mendoza
10146,Becerra,M5590XBH,Mendoza
10147,Belle Ville,M5594XBA,Mendoza
10148,Beltran,M5613XDD,Mendoza
10150,Blanco Encalada,M5549XAO,Mendoza
10151,Blas Panelo,M5590XBI,Mendoza
10152,Boliche,M5613XBM,Mendoza
10153,Boliche los Barreales,M5611XAT,Mendoza
10154,Borde de la Linea,M5594XBB,Mendoza
10155,Bordo Amarillo de la Cruz Pied,M5569XCN,Mendoza
10156,Bordo el Algarrobo,M5569XCO,Mendoza
10157,Bordo Lechuzo,M5569XCP,Mendoza
10158,Bordos del Plumerillo,M5569XCQ,Mendoza
10160,Boyeros,M5590XBJ,Mendoza
10163,Buena Vista,M5525XAA,Mendoza
10164,Buitrera,M5539XFE,Mendoza
10165,Buta Billon,M5613XBX,Mendoza
10166,C Gonzales Videla,M5590XBK,Mendoza
10167,Ca del Diablo,M5539XFF,Mendoza
10168,Cabeza de Vaca,M5613XEA,Mendoza
10170,Cadetes de Chile,M5590XGG,Mendoza
10171,Cajon de Mayo,M5600XAC,Mendoza
10172,Cajon Grande,M5613XDH,Mendoza
10173,Calle Larga Vieja,M5605XAC,Mendoza
10174,Calle Terrada,M5507XAE,Mendoza
10175,Calmuco,M5611XBC,Mendoza
10176,Camp Vizcacheras Ypf,M5569XCR,Mendoza
10177,Campamento Cacheuta Ypf,M5549XAP,Mendoza
10178,Campamento Carapacho,M5611XBI,Mendoza
10179,Campamento Ranquilco,M5613XDE,Mendoza
