id,name,zip,state
11458,1 de Mayo,N3364XAK,Misiones
11459,17 de Agosto,N3338XAI,Misiones
11460,2 de Abril,N3338XAB,Misiones
11462,22 de Diciembre,N3370XAT,Misiones
11464,3 de Mayo,N3334XAT,Misiones
11465,9 de Julio,N3363XAA,Misiones
11466,9 de Julio Kilometro 20,N3382XAG,Misiones
11467,Acaragua,N3361XAA,Misiones
11468,Adolfo J Pomar,N3337XAA,Misiones
11471,Alta Union,N3364XAL,Misiones
11472,Aparicio Cue,N3322XBN,Misiones
11475,Arrechea,N3355XAA,Misiones
11476,Arroyo,N3300XAH,Misiones
11477,Arroyo del Medio,N3315XAW,Misiones
11478,Arroyo Fedor,N3360XAC,Misiones
11479,Arroyo Isabel,N3315XAX,Misiones
11480,Arroyo Magdalena,N3308XBJ,Misiones
11481,Arroyo Pastora,N3308XBK,Misiones
11482,Arroyo Persiguero,N3355XAB,Misiones
11483,Arroyo Santa Maria,N3355XAC,Misiones
11484,Arroyo Tomas,N3308XBL,Misiones
11485,Arroyo Tunitas,N3350XAR,Misiones
11486,Arroyo Yabebiri,N3322XBO,Misiones
11487,Aserradero Echeverria,N3364XBN,Misiones
11488,Aserradero Piñalito,N3364XBO,Misiones
11490,Bañado Grande,N3308XAK,Misiones
11491,Barra Bonita,N3360XAD,Misiones
11492,Barra Concepcion,N3355XAD,Misiones
11493,Barracon,N3366XAK,Misiones
11494,Barrancon,N3322XAC,Misiones
11495,Bartolito,N3363XAE,Misiones
11496,Bayo Troncho,N3360XAL,Misiones
11497,Belgrano,N3313XAA,Misiones
11499,Bernardino Rivadavia,N3364XAA,Misiones
11502,Bonpland Norte,N3308XAL,Misiones
11503,Brazo del Tacuaruzu,N3308XAM,Misiones
11504,Bretes Martires,N3355XAN,Misiones
11505,Buena Vista,N3357XAB,Misiones
11506,Caa Yari,N3315XBA,Misiones
11507,Caapora,N3308XAN,Misiones
11508,Cabure,N3366XAL,Misiones
11509,Cainguas,N3364XAB,Misiones
11510,Campana,N3364XBV,Misiones
11511,Campiña de Bonpland,N3308XAO,Misiones
11512,Campiña Grande,N3308XAP,Misiones
11513,Campiñas de America,N3366XAH,Misiones
11514,Campo Alegre,N3366XAD,Misiones
11517,Campo Richardson,N3350XAS,Misiones
11518,Campo San Juan,N3313XAC,Misiones
11521,Campos Salles,N3363XAC,Misiones
11524,Capiovisiño,N3334XAA,Misiones
11525,Capitan Antonio Morales,N3364XAU,Misiones
11526,Capivu,N3334XAB,Misiones
11527,Capueron,N3308XAC,Misiones
11529,Carril de Anta,N3337XAJ,Misiones
11530,Carrillo Viejo,N3350XAT,Misiones
11531,Cascuda,N3337XAK,Misiones
11532,Cataratas del Iguazu,N3370XAJ,Misiones
11533,Centinela,N3350XAU,Misiones
11536,Cheroguita,N3350XAV,Misiones
11537,Chirimay,N3350XAC,Misiones
11538,Citrus,N3384XAA,Misiones
11539,Colonia Alberdi,N3315XAB,Misiones
11540,Colonia Alemana,N3308XAD,Misiones
11541,Colonia Alicia,N3363XAF,Misiones
11543,Colonia Aparecida,N3363XBA,Misiones
11544,Colonia Apostoles,N3350XAD,Misiones
11545,Colonia Aristobulo del Valle,N3308XAE,Misiones
11546,Colonia Aurora,N3363XAR,Misiones
11547,Colonia Azara,N3350XAA,Misiones
11548,Colonia Caaguazu,N3315XAC,Misiones
11549,Colonia Capon Bonito,N3355XAO,Misiones
11550,Colonia Chafariz,N3364XAM,Misiones
11551,Colonia Chapa,N3360XAM,Misiones
11552,Colonia Cumanday,N3357XAN,Misiones
11553,Colonia Cunci,N3382XAA,Misiones
11554,Colonia Delicia,N3382XAB,Misiones
11556,Colonia Duran,N3382XAC,Misiones
11557,Colonia el Doradillo,N3363XAS,Misiones
11558,Colonia el Pesado,N3366XAE,Misiones
11559,Colonia el Progreso,N3363XAT,Misiones
11560,Colonia Finlandesa,N3315XAD,Misiones
11561,Colonia Florida,N3384XAV,Misiones
11562,Colonia Fortaleza,N3364XBP,Misiones
11563,Colonia Gramado,N3364XBQ,Misiones
11564,Colonia Guarani,N3308XAF,Misiones
11565,Colonia Japonesa,N3322XAD,Misiones
11566,Colonia Juanita,N3364XBR,Misiones
11567,Colonia la Chillita,N3364XBF,Misiones
11568,Colonia la Gruta,N3364XBG,Misiones
11569,Colonia la Nueva,N3364XCA,Misiones
11570,Colonia la Otilia,N3334XAC,Misiones
11571,Colonia la Polaca,N3364XBH,Misiones
11572,Colonia Leiva,N3322XAE,Misiones
11573,Colonia Manuel Belgrano,N3366XAM,Misiones
11574,Colonia Martir Santa Maria,N3355XAP,Misiones
11575,Colonia Martires,N3308XAG,Misiones
11576,Colonia Mondori,N3364XBI,Misiones
11577,Colonia Ñacangazu,N3322XAF,Misiones
11578,Colonia Oro Verde,N3334XAD,Misiones
11579,Colonia Paduan,N3364XBJ,Misiones
11580,Colonia Palmera,N3364XBK,Misiones
11581,Colonia Polaca,N3315XAE,Misiones
11583,Colonia Primavera,N3364XAN,Misiones
11584,Colonia Profundidad,N3308XAB,Misiones
11585,Colonia Puerto Rosales,N3364XBL,Misiones
11586,Colonia Roca,N3322XAG,Misiones
11587,Colonia Roca Chica,N3322XAH,Misiones
11588,Colonia San Ignacio,N3322XAI,Misiones
11589,Colonia San Javier,N3355XAQ,Misiones
11590,Colonia Santa Maria,N3355XAR,Misiones
11591,Colonia Santa Teresa,N3384XAB,Misiones
11592,Colonia Segui,N3364XAC,Misiones
11593,Colonia Siete Estrellas,N3364XBM,Misiones
11594,Colonia Taranco,N3315XAZ,Misiones
11595,Colonia Tres Marias,N3366XAF,Misiones
11597,Colonia Yabebiri,N3360XAN,Misiones
11598,Colonia Yacutinga,N3322XAY,Misiones
11599,Comandante Andresito,N3364XAV,Misiones
11602,Costa Portera,N3357XAO,Misiones
11603,Cruce Caballero,N3364XBW,Misiones
11604,Cruce Londero,N3364XAO,Misiones
11605,Cuña Piru,N3334XAM,Misiones
11606,Cuña Pora,N3364XBB,Misiones
11607,Damus,N3300XAN,Misiones
11608,Deseado,N3366XAN,Misiones
11609,Desplayada,N3363XAU,Misiones
11610,Destacamento Bosques,N3364XAD,Misiones
11611,Domingo Barthe,N3300XAO,Misiones
11612,Don Horacio,N3300XAI,Misiones
11613,Doña Maria,N3360XAW,Misiones
11614,Doradito,N3337XAD,Misiones
11615,Dos Arroyos,N3315XAF,Misiones
11616,Dos Hermanas,N3366XAJ,Misiones
11617,El 26,N3322XAZ,Misiones
11619,El Chaton,N3315XAG,Misiones
11620,El Destierro,N3322XAX,Misiones
11621,El Lapacho,N3338XAE,Misiones
11622,El Macaco,N3363XAV,Misiones
11623,El Paraiso,N3364XBX,Misiones
11624,El Persiguero,N3355XAS,Misiones
11625,El Porvenir,N3366XAO,Misiones
11626,El Rancho,N3350XAE,Misiones
11627,El Reposo,N3300XAJ,Misiones
11628,El Saltiño,N3363XAW,Misiones
11629,El Saltito,N3363XAX,Misiones
11631,El Socorro,N3364XBC,Misiones
11632,El Tigre,N3364XAE,Misiones
11633,El Triunfo,N3322XBA,Misiones
11634,El Tropezon,N3300XAK,Misiones
11636,Ensanche Este,N3350XAF,Misiones
11637,Ensanche Norte,N3350XAG,Misiones
11639,Estacion Experimental de Loret,N3322XBB,Misiones
11640,Estancia Itaembe,N3300XAL,Misiones
11641,Estancia Santa Rita,N3384XAC,Misiones
11642,Fachinal,N3300XAP,Misiones
11644,Florentino Ameghino,N3360XAO,Misiones
11645,Fracran,N3364XAW,Misiones
11646,Fraga Cue,N3353XAA,Misiones
11647,Frances,N3357XAP,Misiones
11648,Fray Luis Beltran,N3338XAJ,Misiones
11649,Frigo,N3337XAB,Misiones
11650,Fronteras,N3364XAH,Misiones
11653,Garupa Norte,N3300XAQ,Misiones
11654,General Alvear,N3360XAK,Misiones
11655,General Urquiza,N3326XAA,Misiones
11656,Gobernador Lanusse,N3370XAK,Misiones
11657,Gobernador Lopez,N3315XAT,Misiones
11659,Gral Guemes,N3315XAH,Misiones
11660,Guaibichu,N3364XAP,Misiones
11662,Guaraypo,N3384XAO,Misiones
11663,Guayabera,N3360XAE,Misiones
11664,Guerrero,N3357XAK,Misiones
11665,Hekenan,N3322XBC,Misiones
11667,Indumar,N3337XAF,Misiones
11668,Integracion,N3366XAP,Misiones
11669,Invernada Chica,N3357XAQ,Misiones
11670,Invernada de Itacaruare,N3357XAA,Misiones
11671,Invernada Grande,N3357XAR,Misiones
11672,Invernada San Ignacio,N3322XBD,Misiones
11673,Isla Argentina,N3322XAJ,Misiones
11675,Ita Curuzu,N3384XAN,Misiones
11677,Itaembe Mini,N3300XAM,Misiones
11679,Juan Domingo Peron,N3337XAH,Misiones
11680,Kilometro 10,N3382XAH,Misiones
11681,Kilometro 17 Ruta 8,N3364XAG,Misiones
11682,Kilometro 26,N3315XAA,Misiones
11683,Kilometro 286,N3364XBD,Misiones
11684,Kilometro 34,N3384XAD,Misiones
11685,Kilometro 4,N3360XAF,Misiones
11686,Kilometro 538,N3300XAR,Misiones
11687,Kilometro 546,N3300XAS,Misiones
11688,Kilometro 577,N3300XAT,Misiones
11689,Kilometro 595,N3300XAD,Misiones
11690,Kilometro 60,N3384XAE,Misiones
11691,Kilometro 78,N3357XAM,Misiones
11692,Kilometro 8,N3360XAG,Misiones
11693,Km 1230,N3337XAN,Misiones
11694,Km 1246,N3337XAO,Misiones
11695,Km 1247,N3337XAP,Misiones
