id,name,zip,state
12373,6 de Octubre,R8134XAD,Río Negro
12374,Aguada Cecilio,R8534XAF,Río Negro
12375,Aguada de Guerra,R8424XAD,Río Negro
12376,Aguada de los Pajaritos,R8301XAC,Río Negro
12377,Aguada de Piedra,R8422XAC,Río Negro
12378,Aguada del Loro,R8520XAB,Río Negro
12380,Aguara,R8307XAA,Río Negro
12381,Alanitos,R8301XAB,Río Negro
12383,Anecon Chico,R8418XAF,Río Negro
12384,Anecon Grande,R8416XAB,Río Negro
12385,Arroyo Blanco,R8403XAA,Río Negro
12386,Arroyo Chacay,R8401XAE,Río Negro
12387,Arroyo de la Ventana,R8521XAC,Río Negro
12388,Arroyo las Minas,R8415XAL,Río Negro
12389,Arroyo los Berros,R8521XAD,Río Negro
12390,Arroyo Salado,R8532XAA,Río Negro
12391,Arroyo Tembrado,R8521XAB,Río Negro
12392,Arroyo Verde,R8521XAA,Río Negro
12393,Atraico,R8418XAG,Río Negro
12395,Bajo del Gualicho,R8520XAG,Río Negro
12396,Bajo Rico,R8360XAA,Río Negro
12399,Barda Colorada,R8333XAB,Río Negro
12401,Barril Niyeo,R8422XAD,Río Negro
12402,Barrio Laguna,R8520XAA,Río Negro
12403,Barrio Norte,R8328XAA,Río Negro
12405,Benjamin Zorrilla,R8360XAB,Río Negro
12406,Boca de la Travesia,R8505XAD,Río Negro
12407,Caltrauna,R8424XAF,Río Negro
12408,Campana Mahuida,R8532XAB,Río Negro
12409,Cañadon Camallo,R8416XAE,Río Negro
12410,Cañadon Chileno,R8417XBG,Río Negro
12411,Cañadon del Corral,R8412XAF,Río Negro
12412,Canllequin,R8417XAQ,Río Negro
12413,Carhue,R8412XAG,Río Negro
12414,Carri Yegua,R8417XAR,Río Negro
12415,Carrilauquen,R8418XAH,Río Negro
12416,Casa Quemada,R8412XAH,Río Negro
12417,Cascada los Cantaros,R8411XAB,Río Negro
12419,Cerro Abanico,R8424XAE,Río Negro
12420,Cerro Alto,R8403XAE,Río Negro
12421,Cerro Mesa,R8415XAI,Río Negro
12422,Cerro Policia,R8333XAA,Río Negro
12424,Chacalhua Ruca,R8415XAJ,Río Negro
12425,Chacay Huarruca,R8415XAK,Río Negro
12426,Chacras de Allen,R8328XAC,Río Negro
12427,Chaiful,R8418XAI,Río Negro
12428,Chasico,R8417XAA,Río Negro
12429,Chelforo,R8366XAA,Río Negro
12430,Chenqueniyeu,R8412XAC,Río Negro
12431,Chichihuao,R8422XAE,Río Negro
12434,China Muerta,R8505XAB,Río Negro
12435,Chipauquil,R8536XAA,Río Negro
12436,Chocori,R8503XAI,Río Negro
12438,Churquiñeo,R8412XAD,Río Negro
12439,Cinco Chañares,R8520XAH,Río Negro
12442,Clemente Onelli,R8416XAC,Río Negro
12443,Colan Conhue,R8418XAN,Río Negro
12444,Coli Toro,R8418XAJ,Río Negro
12445,Colonia Alte Guerrico,R8307XAB,Río Negro
12446,Colonia el Manzano,R8305XAA,Río Negro
12447,Colonia General Frias,R8501XAD,Río Negro
12448,Colonia Josefa,R8363XAA,Río Negro
12450,Colonia la Luisa,R8503XAJ,Río Negro
12451,Colonia Regina,R8336XAB,Río Negro
12452,Colonia Rusa,R8332XAB,Río Negro
12453,Colonia San Juan,R8503XAK,Río Negro
12455,Comallo Abajo,R8416XAK,Río Negro
12456,Comi Co,R8424XAI,Río Negro
12459,Contralmirante M Guerrico,R8328XAB,Río Negro
12460,Coquelen,R8416XAL,Río Negro
12461,Coronel Eugenio del Busto,R8138XAC,Río Negro
