id,name,zip,state
12706,20 de Febrero,A4425XBN,Salta
12707,Ablome,A4421XAV,Salta
12708,Abra de Araguyoc,A4633XBH,Salta
12709,Abra del Gallo,A4411XAB,Salta
12710,Abra Grande,A4530XBH,Salta
12711,Acambuco,A4568XAA,Salta
12712,Acazoque,A4411XAC,Salta
12713,Acharas,A4434XBP,Salta
12714,Acosta,A4425XAA,Salta
12715,Acoyte,A4651XAA,Salta
12716,Agua Negra,A4415XAS,Salta
12717,Agua Sucia,A4449XAA,Salta
12718,Agua Verde,A4561XAB,Salta
12720,Aguas Blancas,A4531XAB,Salta
12721,Aguas Calientes,A4190XAJ,Salta
12722,Aguas Muertas,A4535XAK,Salta
12723,Alejo de Alberro,A4407XAA,Salta
12724,Alem,A4126XAB,Salta
12725,Alfarcito,A4409XAA,Salta
12726,Algarrobal,A4535XAL,Salta
12727,Algarrobal Viejo,A4446XBC,Salta
12728,Almirante Brown,A4193XBI,Salta
12729,Almona,A4421XCB,Salta
12730,Alto Alegre,A4449XAB,Salta
12731,Alto de la Sierra,A4561XAG,Salta
12732,Alto del Mistol,A4446XBB,Salta
12733,Alto Verde,A4535XAM,Salta
12734,Altos Hornos Guemes,A4432XAU,Salta
12735,Amaicha,A4419XBE,Salta
12736,Amberes,A4561XAH,Salta
12737,Amblayo,A4425XBQ,Salta
12738,Ampascachi,A4421XAW,Salta
12739,Ampata,A4415XBE,Salta
12741,Angel Peredo,A4533XAE,Salta
12742,Angelica,A4533XAF,Salta
12743,Angosto Pescado,A4651XAW,Salta
12744,Angostura,A4560XBE,Salta
12747,Antonio Alice,A4401XAR,Salta
12748,Antonio Quijarro,A4552XAE,Salta
12750,Arbol Solo,A4534XAI,Salta
12751,Arenal,A4560XAK,Salta
12752,Arenales,A4535XAB,Salta
12753,Arita,A4449XAC,Salta
12754,Arjuntas,A4430XBO,Salta
12755,Arrocero Italiano,A4444XAA,Salta
12756,Astillero,A4633XAI,Salta
12757,Atocha,A4401XAG,Salta
12758,Atudillo,A4415XBF,Salta
12759,Bacoya,A4644XAF,Salta
12760,Bajada,A4190XAK,Salta
12761,Bajada Blanca,A4193XAH,Salta
12762,Bajada de Gavi,A4198XAY,Salta
12763,Bajada Grande,A4198XAZ,Salta
12764,Bajo Grande,A4446XAT,Salta
12765,Bajo Grande Desvio Fcgb,A4444XAD,Salta
12766,Balboa,A4193XBO,Salta
12767,Balbuena,A4561XAC,Salta
12768,Balderrama,A4440XAA,Salta
12769,Ballenal,A4405XAA,Salta
12770,Banda Grande,A4419XAR,Salta
12771,Baños Termales,A4190XAT,Salta
12772,Baradero,A4126XAC,Salta
12773,Barbayasco,A4190XAD,Salta
12774,Baritu,A4651XAB,Salta
12775,Barrealito,A4449XAD,Salta
12776,Barrial,A4427XAZ,Salta
12777,Barrio la Loma,A4560XAU,Salta
12778,Barrio Parabolica,A4417XAJ,Salta
12779,Barrio San Antonio,A4560XAF,Salta
12780,Barrio San Cayetano,A4560XBB,Salta
12781,Barro Negro,A4415XBO,Salta
12782,Belgrano,A4400XAG,Salta
12783,Belgrano Fortin 2,A4535XAN,Salta
12784,Bella Vista,A4193XBP,Salta
12785,Betania,A4432XAA,Salta
12786,Bodeguita,A4425XAC,Salta
12787,Brealito,A4419XAZ,Salta
12788,Buen Lugar,A4550XAE,Salta
12789,Buena Fe,A4561XAD,Salta
12790,Buena Vista,A4427XBA,Salta
12791,Burro Yaco,A4419XAS,Salta
12792,Cabeza de Anta,A4193XAI,Salta
12793,Cabeza de Buey,A4434XAS,Salta
12794,Cabra Corral Dique,A4421XAY,Salta
12796,Cachi Adentro,A4417XAD,Salta
12797,Cachiñal,A4409XAN,Salta
12798,Cacho Molino,A4421XAM,Salta
12800,Caipe,A4413XAE,Salta
12801,Caldera,A4401XAS,Salta
12802,Calderilla,A4401XAT,Salta
12803,Calvimonte,A4421XAN,Salta
12804,Camara,A4405XAB,Salta
12805,Caminera San Pedrito,A4563XAB,Salta
12806,Campamento Tablilla,A4563XAC,Salta
12808,Campichuelo,A4552XAI,Salta
12809,Campo Alegre,A4440XAB,Salta
12810,Campo Argentino,A4535XAP,Salta
12811,Campo Azul,A4440XAC,Salta
12812,Campo Caseros,A4400XAR,Salta
12813,Campo Duran,A4566XAD,Salta
12814,Campo Largo,A4554XAO,Salta
12815,Campo Libre,A4554XAK,Salta
12817,Campo Santo,A4432XAB,Salta
12818,Campos de Alemania,A4425XAB,Salta
12819,Cañada de la Junta,A4193XAJ,Salta
12820,Cañadon de las Juntas,A4193XAK,Salta
12821,Cancillar,A4633XAJ,Salta
12822,Cangrejillos,A4415XBX,Salta
12823,Cantera del Sauce,A4432XAC,Salta
12824,Capiazutti,A4560XBD,Salta
12825,Capilla Fuerte,A4651XAY,Salta
