id,name,zip,state
13791,Acerillos,J5467XBE,San Juan
13792,Adan Quiroga,J5409XAH,San Juan
13793,Aeropuerto San Juan,J5417XAA,San Juan
13794,Agua Cercada,J5447XEB,San Juan
13795,Agua de la Zanja,J5467XBF,San Juan
13796,Agua de la Zorra,J5460XAP,San Juan
13797,Agua de los Caballos,J5460XDR,San Juan
13798,Agua Escondida,J5447XAX,San Juan
13799,Agua y Energia,J5405XAJ,San Juan
13800,Aguada de la Peña,J5461XAG,San Juan
13801,Aguaditas,J5461XAA,San Juan
13802,Aguaditas del Rio Jachal,J5461XAH,San Juan
13803,Aguango,J5449XAA,San Juan
13804,Aguas del Pajaro,J5461XAI,San Juan
13805,Albarracin,J5425XAA,San Juan
13807,Algarrobo del Cura,J5460XAQ,San Juan
13808,Algarrobo Grande,J5435XAG,San Juan
13809,Algarrobo Verde,J5443XAA,San Juan
13811,Alto Huaco,J5463XAA,San Juan
13812,Amarfil,J5443XAS,San Juan
13813,Ambas Puntillas,J5442XAA,San Juan
13814,Ampacama,J5444XAB,San Juan
13815,Angaco Norte,J5415XAB,San Juan
13816,Angaco Sud,J5417XAG,San Juan
13818,Apeadero Guanacache,J5431XAG,San Juan
13819,Apeadero las Chimbas,J5413XAD,San Juan
13820,Apeadero Quiroga,J5427XAC,San Juan
13821,Arrequintin,J5467XBG,San Juan
13822,Aschichusca,J5460XAR,San Juan
13824,Aurora,J5409XAP,San Juan
13825,Azucarera de Cuyo,J5435XAH,San Juan
13826,Balde de Leyes,J5446XAE,San Juan
13827,Balde del Lucero,J5446XAD,San Juan
13828,Balde del Norte,J5449XAB,San Juan
13829,Balde del Rosario,J5449XAC,San Juan
13830,Balde Plumerito,J5447XEC,San Juan
13831,Balde San Carlos,J5447XED,San Juan
13832,Baldecito,J5449XAD,San Juan
13833,Baldecito del Morado,J5449XAE,San Juan
13834,Baldes de la Chilca,J5449XAQ,San Juan
13835,Baldes del Sud,J5449XAR,San Juan
13836,Baldes del Tarabay,J5447XDD,San Juan
13837,Baños Centenario,J5467XBC,San Juan
13838,Baños de la Laja,J5419XAD,San Juan
13839,Baños de los Despoblados,J5467XBI,San Juan
13840,Baños de San Crispin,J5467XBH,San Juan
13841,Baños del Cerro,J5431XAL,San Juan
13842,Baños del Salado,J5419XAB,San Juan
13843,Baños Pismanta,J5465XAA,San Juan
13844,Barranca Colorada,J5447XEE,San Juan
13845,Barranca de los Loros,J5460XAL,San Juan
13846,Barrancas Blancas,J5460XAM,San Juan
13848,Barreales,J5405XAK,San Juan
13849,Barrealito,J5447XDE,San Juan
13850,Barrialitos,J5403XAA,San Juan
13851,Barrio Agua y Energia,J5409XAQ,San Juan
13852,Barrio Colon,J5409XAR,San Juan
13853,Barrio el Tontal,J5401XAX,San Juan
13854,Barrio Graffigna,J5409XAO,San Juan
13856,Barrio Santa Barbara,J5427XAG,San Juan
13857,Belgrano,J5439XAE,San Juan
13858,Bella Vista,J5460XDS,San Juan
13859,Bermejo,J5444XAC,San Juan
13861,Bodega Graffigna,J5409XAM,San Juan
13862,Bodega San Antonio,J5431XAM,San Juan
13863,Buena Esperanza,J5467XBZ,San Juan
13864,Cabecera del Barrial,J5403XAC,San Juan
13865,Cabeza del Toro,J5449XAS,San Juan
13866,Cacho Ancho,J5467XBL,San Juan
13867,Cajon de los Tambillos,J5467XBJ,San Juan
13868,Calibar,J5442XAV,San Juan
13870,Calle Aguileras,J5415XAC,San Juan
13871,Calle Larga,J5439XAF,San Juan
13872,Calle Nacional,J5415XAD,San Juan
13873,Callecita,J5438XAD,San Juan
13874,Camp D P V la Cienaga,J5409XAS,San Juan
13875,Campanario Nuevo,J5467XCA,San Juan
13878,Campo del Leoncito,J5405XAL,San Juan
13879,Campo las Liebres,J5460XAK,San Juan
13880,Campo los Pozos,J5460XAN,San Juan
13881,Cañada,J5467XCB,San Juan
13882,Cañada de Laguna,J5447XEF,San Juan
13883,Cañada del Pozo,J5447XEG,San Juan
13886,Carbometal,J5431XAN,San Juan
13888,Carrizalito,J5467XBK,San Juan
13889,Casa de Javier,J5447XEH,San Juan
13890,Casa Vieja,J5460XAO,San Juan
13891,Castaño,J5409XAT,San Juan
13892,Castaño Nuevo,J5403XAD,San Juan
13893,Castaño Viejo,J5405XAM,San Juan
13895,Centro Aviacion Civil San Juan,J5427XAH,San Juan
13896,Cerro  D  L  Bañitos,J5467XCY,San Juan
13897,Cerro Aguaditas,J5401XAI,San Juan
13898,Cerro Aguila,J5401XAJ,San Juan
13899,Cerro Alto del Descubrimiento,J5467XDT,San Juan
13900,Cerro Amarillo,J5467XDU,San Juan
13901,Cerro Asilan,J5447XBF,San Juan
13902,Cerro Aspero,J5460XBY,San Juan
13903,Cerro Bayo,J5405XAN,San Juan
13904,Cerro Blanco,J5401XAK,San Juan
13905,Cerro Bola,J5419XAC,San Juan
13906,Cerro Boleadora,J5467XBR,San Juan
13907,Cerro Bonete,J5405XAP,San Juan
13908,Cerro Bramadero,J5405XAR,San Juan
13909,Cerro Bravo,J5467XBS,San Juan
13910,Cerro Caballo Anca,J5460XEM,San Juan
13911,Cerro Caballo Bayo,J5467XDV,San Juan
13912,Cerro Casa de Piedra,J5401XAL,San Juan
13913,Cerro Chiquero,J5405XAQ,San Juan
13914,Cerro Colorado,J5460XEN,San Juan
13915,Cerro Cortadera,J5467XBT,San Juan
13916,Cerro de Conconta,J5467XCZ,San Juan
13917,Cerro de Dolores,J5467XDA,San Juan
13918,Cerro de la Cuesta del Viento,J5467XDB,San Juan
13919,Cerro de la Sepultura,J5467XDX,San Juan
13920,Cerro de las Vacas,J5405XAT,San Juan
13921,Cerro de los Burros,J5431XAP,San Juan
13922,Cerro de los Caballos,J5460XBZ,San Juan
13923,Cerro de los Pozos,J5405XBH,San Juan
13924,Cerro del Agua de las Vacas,J5467XDD,San Juan
13925,Cerro del Alumbre,J5467XDE,San Juan
13926,Cerro del Cachiyuyal,J5467XDF,San Juan
13927,Cerro del Coquimbito,J5467XCX,San Juan
13928,Cerro del Guanaco,J5467XCO,San Juan
13929,Cerro del Medio,J5431XAQ,San Juan
13930,Cerro del Salado,J5467XCP,San Juan
13931,Cerro del Tome,J5405XAU,San Juan
13932,Cerro Divisadero,J5401XBK,San Juan
13933,Cerro el Bronce,J5467XCQ,San Juan
13934,Cerro el Cepo,J5467XCR,San Juan
13935,Cerro el Durazno,J5460XEO,San Juan
