id,name,zip,state
14613,11 de Mayo,D5701XAM,San Luis
14614,13 de Enero,D5741XAD,San Luis
14615,20 de Febrero,D5730XAO,San Luis
14616,30 de Octubre,D5637XAD,San Luis
14617,6 de Septiembre,D5703XAB,San Luis
14618,9 de Julio,D5757XAC,San Luis
14619,Acasape,D5722XAI,San Luis
14620,Adolfo Rodriguez Saa,D5777XAP,San Luis
14621,Agua Amarga,D5719XBM,San Luis
14622,Agua del Portezuelo,D5730XAH,San Luis
14623,Agua Fria,D5831XAY,San Luis
14624,Agua Hedionda,D5705XAA,San Luis
14625,Agua Linda,D5753XAS,San Luis
14626,Agua Salada,D5751XAC,San Luis
14627,Agua Seballe,D5721XCA,San Luis
14628,Aguada,D5831XAX,San Luis
14629,Aguadita,D5719XAA,San Luis
14630,Aguaditas,D5707XAP,San Luis
14631,Aguas de Piedras,D5721XCB,San Luis
14632,Ahi Veremos,D5703XAT,San Luis
14633,Alanices,D5777XAZ,San Luis
14634,Alazanas,D5719XBN,San Luis
14635,Alegria,D6389XAA,San Luis
14636,Alfaland,D5731XAY,San Luis
14637,Algarrobal,D5705XAB,San Luis
14638,Algarrobitos,D5701XCN,San Luis
14639,Algarrobos Grandes,D5719XBO,San Luis
14640,Alta Gracia,D5703XBD,San Luis
14641,Altillo,D5719XBP,San Luis
14642,Alto,D5703XBE,San Luis
14643,Alto Blanco,D5700XAH,San Luis
14644,Alto de la Leña,D5750XAA,San Luis
14645,Alto del Leon,D5722XAJ,San Luis
14646,Alto del Molle,D5755XAH,San Luis
14647,Alto del Valle,D5755XAI,San Luis
14648,Alto Grande,D5721XAA,San Luis
14649,Alto Lindo,D5883XAC,San Luis
14651,Alto Pelado,D5721XCC,San Luis
14652,Alto Pencoso,D5724XAP,San Luis
14653,Alto Verde,D5741XAQ,San Luis
14654,Ancamilla,D5753XAT,San Luis
14655,Anchorena,D6389XAB,San Luis
14656,Angelita,D5711XBO,San Luis
14657,Antihuasi,D5701XAY,San Luis
14658,Arbol Solo,D5703XBF,San Luis
14659,Arbol Verde,D5715XAA,San Luis
14660,Arboleda,D5750XBL,San Luis
14661,Arboles Blancos,D5771XAM,San Luis
14662,Arenilla,D5701XAZ,San Luis
14664,Arroyo de Vilches,D5771XAN,San Luis
14665,Arroyo la Cal,D5753XAU,San Luis
14666,Avanzada,D5738XAV,San Luis
14667,Aviador Origone,D5741XAN,San Luis
14669,Bajada,D5711XAA,San Luis
14670,Bajada Nueva,D6216XBI,San Luis
14671,Bajo de Conlara,D5753XAV,San Luis
14672,Bajo de la Cruz,D5719XBQ,San Luis
14673,Bajo Grande,D5775XAD,San Luis
14674,Bajo la Laguna,D5753XAW,San Luis
14675,Bajos Hondos,D5741XAO,San Luis
14676,Balcarce,D5883XAD,San Luis
14677,Balda,D5722XAK,San Luis
14678,Balde,D5883XAK,San Luis
14679,Balde Ahumada,D5713XAA,San Luis
14680,Balde de Amira,D5703XAU,San Luis
14681,Balde de Arriba,D5707XAA,San Luis
14682,Balde de Azcurra,D5707XAB,San Luis
14683,Balde de Escudero,D5711XAN,San Luis
14684,Balde de Garcia,D5715XAB,San Luis
14685,Balde de Guardia,D5713XAP,San Luis
14686,Balde de Guiñazu,D5715XAM,San Luis
14687,Balde de la Isla,D5701XBA,San Luis
14688,Balde de la Linea,D5713XAO,San Luis
14689,Balde de Ledesma,D5715XAF,San Luis
14690,Balde de Monte,D5715XAG,San Luis
14691,Balde de Nuevo,D5715XAI,San Luis
14692,Balde de Puertas,D5707XAW,San Luis
14693,Balde de Quines,D5713XAQ,San Luis
14694,Balde de Torres,D5713XAR,San Luis
14695,Balde del Escudero,D5715XAJ,San Luis
14696,Balde del Rosario,D5703XAV,San Luis
14697,Balde el Carril,D5713XAS,San Luis
14698,Balde Hondo,D5705XAQ,San Luis
14699,Balde Retamo,D5711XAR,San Luis
14700,Balde Viejo,D5711XAS,San Luis
14701,Baldecito,D5713XAT,San Luis
14702,Baldecito la Pampa,D5707XAD,San Luis
14703,Bañadito,D5711XBJ,San Luis
14704,Bañadito Viejo,D5709XAG,San Luis
14705,Bañado,D5707XAE,San Luis
14706,Bañado de Cautana,D5711XBK,San Luis
14707,Bañado Lindo,D5705XAD,San Luis
14708,Banda Sud,D5705XAE,San Luis
14709,Baños Zapallar,D5711XAJ,San Luis
14710,Barranca Colorada,D5703XCF,San Luis
14711,Barranquitas,D5771XAO,San Luis
14712,Barriales,D5707XAF,San Luis
14713,Barrio Blanco,D5777XAE,San Luis
14714,Barzola,D5719XAC,San Luis
14715,Batavia,D6279XAX,San Luis
14717,Bebedero,D5724XAQ,San Luis
14718,Bebida,D5719XBA,San Luis
14719,Becerra,D5711XAO,San Luis
14720,Bella Estancia,D5719XBB,San Luis
14721,Bella Vista,D5835XAF,San Luis
14722,Bella Vista Botijas,D5707XAQ,San Luis
14723,Billiken,D6216XBJ,San Luis
14724,Boca de la Quebrada,D6216XAC,San Luis
14725,Boca del Rio,D5831XAL,San Luis
14726,Botijas,D5707XAG,San Luis
14728,Buena Ventura,D5701XBB,San Luis
14729,Buena Vista,D5701XBC,San Luis
14730,Cabeza de Novillo,D5779XAB,San Luis
14731,Cain de los Tigres,D5771XAP,San Luis
14732,Caldenadas,D5738XAM,San Luis
14733,Calera Argentina,D5759XAF,San Luis
14734,Caleras Cañada Grande,D5759XAG,San Luis
14735,Campanario,D5705XAG,San Luis
14736,Campo de San Pedro,D5722XAF,San Luis
14737,Caña Larga,D5721XBU,San Luis
14738,Cañada,D5773XAQ,San Luis
14739,Cañada Angosta,D5703XAC,San Luis
14740,Cañada Blanca,D5753XAX,San Luis
14741,Cañada de Atras,D5771XAC,San Luis
14742,Cañada de la Negra,D5777XAF,San Luis
14743,Cañada de las Lagunas,D5773XAR,San Luis
14744,Cañada de los Tigres,D5771XAQ,San Luis
14745,Cañada de Vilan,D5719XBC,San Luis
14746,Cañada del Pasto,D5750XAQ,San Luis
14747,Cañada del Puestito,D5753XCN,San Luis
14748,Cañada Grande,D5777XAG,San Luis
14749,Cañada Honda,D5701XBD,San Luis
14750,Cañada Honda de Guzman,D5701XBE,San Luis
14751,Cañada la Negra,D5881XAJ,San Luis
14752,Cañada la Tienda,D5753XCO,San Luis
14753,Cañada Quemada,D5753XCP,San Luis
14754,Cañada San Antonio,D5750XBM,San Luis
14755,Cañada Verde,D5777XAQ,San Luis
14756,Cañaditas,D5755XAP,San Luis
14758,Cañitas,D5773XBD,San Luis
14759,Cantantal,D5707XAX,San Luis
14760,Canteras Santa Isabel,D5750XAR,San Luis
