id,name,zip,state
15891,22 de Mayo,S2124XAD,Santa Fé
15892,4 de Febrero,S2732XAA,Santa Fé
15893,Aaron Castellanos,S6106XAE,Santa Fé
15894,Abipones,S3042XAA,Santa Fé
15896,Achaval Rodriguez,S2344XAA,Santa Fé
15897,Adolfo Alsina,S2311XAC,Santa Fé
15898,Aero Club Rosario,S2132XAC,Santa Fé
15899,Aguara Grande,S3071XAA,Santa Fé
15904,Allende,S3550XAE,Santa Fé
15905,Alto Verde,S3001XAM,Santa Fé
15913,Angeloni,S3048XAC,Santa Fé
15914,Antonio Pini,S3061XAI,Santa Fé
15915,Arequito,S2183XAB,Santa Fé
15916,Arijon,S2242XAA,Santa Fé
15920,Aromos,S3036XAB,Santa Fé
15921,Arrascaeta,S3046XAK,Santa Fé
15924,Arroyo del Rey,S3565XAA,Santa Fé
15925,Arroyo Leyes,S3001XAP,Santa Fé
15928,Arsenal de Guerra San Lorenzo,S2156XAB,Santa Fé
15930,Ascochingas,S3014XAG,Santa Fé
15931,Asuncion Maria,S3040XAG,Santa Fé
15934,Aurelia Norte,S2318XAA,Santa Fé
15935,Aurelia Sud,S2318XAB,Santa Fé
15937,Avena,S2449XAA,Santa Fé
15938,Avichuncho,S3040XAC,Santa Fé
15939,Bajo las Tunas,S3017XAA,Santa Fé
15940,Barlett,S2175XAA,Santa Fé
15942,Barranquitas,S3000XAD,Santa Fé
15943,Barrio Belgrano Ortiz,S2440XAA,Santa Fé
15945,Barros Pazos,S3569XAC,Santa Fé
15946,Bauer y Sigel,S2403XAA,Santa Fé
15947,Bealistock,S2326XAE,Santa Fé
15951,Bernard,S2119XAA,Santa Fé
15953,Berretta,S2501XAC,Santa Fé
15955,Boca P 25,S2600XAB,Santa Fé
15957,Borghi,S2156XAC,Santa Fé
15958,Bossi,S2326XAA,Santa Fé
15962,Cabaña el Cisne,S2322XAA,Santa Fé
15963,Cabeza de Chancho,S3061XAC,Santa Fé
15964,Cacique Ariacaiquin,S3041XAB,Santa Fé
15967,Calchines,S3001XAA,Santa Fé
15968,Caminera General Lopez,S2720XAA,Santa Fé
15969,Camino Monte Flores,S2126XAA,Santa Fé
15971,Campo Berraz,S3046XAL,Santa Fé
15972,Campo Botto,S2345XAA,Santa Fé
15973,Campo Brarda,S2248XAB,Santa Fé
15974,Campo Calvo,S2123XAA,Santa Fé
15975,Campo Carignano,S2248XAC,Santa Fé
15976,Campo Castro,S2148XAB,Santa Fé
15977,Campo Charo,S2512XAC,Santa Fé
15978,Campo Clucellas,S2407XAA,Santa Fé
15979,Campo Coubert,S3056XAA,Santa Fé
15980,Campo Crenna,S2185XAA,Santa Fé
15981,Campo Crespo,S3001XAQ,Santa Fé
15982,Campo Daratti,S2307XAA,Santa Fé
15983,Campo del Medio,S3001XAB,Santa Fé
15984,Campo el Araza,S3569XAA,Santa Fé
15985,Campo el Mataco,S2342XAA,Santa Fé
15986,Campo Faggiano,S2440XAB,Santa Fé
15987,Campo Furrer,S3569XAB,Santa Fé
15988,Campo Galloso,S2212XAA,Santa Fé
15989,Campo Garabato,S3572XAA,Santa Fé
15990,Campo Garay,S3066XAB,Santa Fé
15991,Campo Garcia,S2240XAC,Santa Fé
15992,Campo Genero,S2248XAD,Santa Fé
15993,Campo Gimbatti,S2508XAB,Santa Fé
15994,Campo Gimenez,S2253XAA,Santa Fé
15995,Campo Gola,S3516XAA,Santa Fé
15996,Campo Grande,S3575XAF,Santa Fé
15997,Campo Horquesco,S2144XAB,Santa Fé
15998,Campo Huber,S3555XAB,Santa Fé
15999,Campo Iturraspe,S3001XAC,Santa Fé
16000,Campo la Amistad,S2508XAA,Santa Fé
16001,Campo la Paz,S2512XAB,Santa Fé
16002,Campo la Riviere,S2505XAA,Santa Fé
16003,Campo Lehman,S3014XAA,Santa Fé
16004,Campo Magnin,S3011XAC,Santa Fé
16005,Campo Medina,S2142XAA,Santa Fé
16006,Campo Monte la Viruela,S3551XAK,Santa Fé
16007,Campo Moure,S2240XAD,Santa Fé
16008,Campo Nuevo,S2639XAA,Santa Fé
16009,Campo Paletta,S2206XAA,Santa Fé
16010,Campo Pesoa,S2173XAA,Santa Fé
16011,Campo Quiñones,S2258XAB,Santa Fé
16012,Campo Quirno,S2607XAA,Santa Fé
16013,Campo Raffo,S2216XAA,Santa Fé
16014,Campo Ramseyer,S3572XAE,Santa Fé
16015,Campo Redondo,S3581XAF,Santa Fé
16016,Campo Rodriguez,S2255XAA,Santa Fé
16017,Campo Romero,S2407XAB,Santa Fé
16018,Campo Rueda,S2109XAA,Santa Fé
16019,Campo San Jose,S3060XAF,Santa Fé
16020,Campo Santa Isabel,S2505XAB,Santa Fé
16021,Campo Santo Domingo,S3020XAA,Santa Fé
16022,Campo Siete Provincias,S3575XAG,Santa Fé
16023,Campo Torquinston,S2403XAB,Santa Fé
16024,Campo Ubajo,S3560XAF,Santa Fé
16025,Campo Verge,S3516XAC,Santa Fé
16026,Campo Yaguarete,S3586XAC,Santa Fé
16027,Campo Zavalla,S3045XAA,Santa Fé
16028,Campo Zurbriggen,S2407XAC,Santa Fé
16031,Cañada Ombu,S3551XAL,Santa Fé
16034,Cañadita,S3052XAA,Santa Fé
16035,Candelaria Sud,S2170XAA,Santa Fé
16037,Capilla Guadalupe Norte,S3574XAA,Santa Fé
