id,name,zip,state
16818,25 de Mayo,G4352XAA,Santiago del Estero
16819,25 de Mayo de Barnegas,G4205XAC,Santiago del Estero
16820,25 de Mayo Sud,G4231XAA,Santiago del Estero
16821,3 de Marzo,G3763XAB,Santiago del Estero
16823,9 de Julio,G5255XBJ,Santiago del Estero
16824,Abra de la Cruz,G4225XAC,Santiago del Estero
16825,Abra de Quimil,G4238XAU,Santiago del Estero
16826,Abra Grande,G4336XAF,Santiago del Estero
16827,Abras del Martirizado,G4225XAD,Santiago del Estero
16828,Abras del Medio,G4233XAV,Santiago del Estero
16829,Abrita,G4206XBI,Santiago del Estero
16830,Abrita Chica,G4201XBW,Santiago del Estero
16831,Abrita Grande,G4201XBX,Santiago del Estero
16832,Acos,G4176XAD,Santiago del Estero
16833,Acosta,G4302XAB,Santiago del Estero
16834,Aerolito,G3741XAJ,Santiago del Estero
16835,Agua Amarga,G4197XAS,Santiago del Estero
16836,Agua Azul,G4189XAA,Santiago del Estero
16837,Agua Blanca,G5250XBY,Santiago del Estero
16838,Agua Caliente,G5251XAH,Santiago del Estero
16839,Agua Dulce,G3766XAE,Santiago del Estero
16840,Agua Salada,G3736XAG,Santiago del Estero
16841,Agua Turbia,G5251XCX,Santiago del Estero
16842,Aguada,G4220XAA,Santiago del Estero
16843,Aguadita,G5251XAI,Santiago del Estero
16844,Aguas Coloradas,G4301XAC,Santiago del Estero
16845,Agujereado,G4238XAV,Santiago del Estero
16846,Agustina Libarona,G3741XAF,Santiago del Estero
16847,Ahi Veremos,G4197XAT,Santiago del Estero
16848,Aibal,G3740XBA,Santiago del Estero
16849,Aibalito,G4238XAR,Santiago del Estero
16850,Alarcon,G2356XAX,Santiago del Estero
16851,Albardon,G5253XBQ,Santiago del Estero
16852,Albardon Chuña,G4208XAB,Santiago del Estero
16853,Alberdi,G3747XAJ,Santiago del Estero
16854,Alejito,G4350XAA,Santiago del Estero
16855,Algarrobal Viejo,G4197XAZ,Santiago del Estero
16856,Algarrobales,G4304XAA,Santiago del Estero
16857,Algarrobo,G5251XBU,Santiago del Estero
16858,Alhuampa,G3741XAI,Santiago del Estero
16859,Alpa Puca,G4225XAB,Santiago del Estero
16860,Alpapuca,G5251XAK,Santiago del Estero
16861,Alta Gracia,G4220XAN,Santiago del Estero
16862,Alto Alegre,G4230XBV,Santiago del Estero
16863,Alto Bello,G4203XBD,Santiago del Estero
16864,Alto Pozo,G4322XCN,Santiago del Estero
16865,Alza Nueva,G4353XBT,Santiago del Estero
16866,Amama,G4353XBK,Santiago del Estero
16867,Amapola,G4223XAA,Santiago del Estero
16868,Ambargasta,G5251XBV,Santiago del Estero
16870,Amiman,G5250XBR,Santiago del Estero
16871,Amoladeras,G5255XBL,Santiago del Estero
16872,Ampa,G4350XAC,Santiago del Estero
16874,Anca,G4321XAX,Santiago del Estero
16875,Ancajan,G4233XAX,Santiago del Estero
16876,Anchanga,G4201XCB,Santiago del Estero
16877,Anchilo,G3740XAR,Santiago del Estero
16878,Anchoriga,G4313XBI,Santiago del Estero
16879,Ancocha,G4201XBV,Santiago del Estero
16880,Ancoche,G5251XAL,Santiago del Estero
16881,Anga,G4321XAM,Santiago del Estero
16882,Añil,G4184XAT,Santiago del Estero
16883,Animas,G4184XAU,Santiago del Estero
16884,Anjuli,G4220XAB,Santiago del Estero
16885,Antaje,G4302XAZ,Santiago del Estero
16886,Antilo,G4225XAT,Santiago del Estero
16887,Antuco,G5251XBY,Santiago del Estero
16888,Aragones,G4201XCC,Santiago del Estero
16889,Arbol Blanco,G3731XAB,Santiago del Estero
16890,Arbol Negro,G2356XBA,Santiago del Estero
16891,Arbol Solo,G5253XAZ,Santiago del Estero
16892,Arbolitos,G4322XBH,Santiago del Estero
16893,Ardiles,G4302XBA,Santiago del Estero
16894,Ardiles de la Costa,G4322XCO,Santiago del Estero
16895,Areas,G4301XAD,Santiago del Estero
16896,Arenales,G4187XAG,Santiago del Estero
16897,Argentina,G3749XAX,Santiago del Estero
16898,Armonia,G4353XCQ,Santiago del Estero
16900,Arroyo Tala,G4203XBW,Santiago del Estero
16901,Aspa Sinchi,G4313XBJ,Santiago del Estero
16902,Atahualpa,G3714XAL,Santiago del Estero
16903,Atoj Pozo,G4313XAT,Santiago del Estero
16904,Ave Maria,G4326XAA,Santiago del Estero
16905,Averias,G3766XAD,Santiago del Estero
16906,Ayuncha,G4208XAC,Santiago del Estero
16907,Azogasta,G4350XAB,Santiago del Estero
16908,Azucena,G2356XBB,Santiago del Estero
16909,Babilonia,G4301XDQ,Santiago del Estero
16910,Baez,G5255XBM,Santiago del Estero
16911,Bagual Muerto,G4197XAR,Santiago del Estero
16912,Bahia Blanca,G3749XAY,Santiago del Estero
16913,Bahoma,G4220XAC,Santiago del Estero
16914,Bajadita,G4208XCF,Santiago del Estero
16915,Bajo Grande,G4197XCK,Santiago del Estero
16916,Bajo Hondo,G4356XAC,Santiago del Estero
16917,Bajo las Piedras,G5251XCY,Santiago del Estero
16918,Bajo Verde,G4223XAB,Santiago del Estero
16919,Balbuena,G5250XCA,Santiago del Estero
16920,Balde Pozo,G4237XAC,Santiago del Estero
16922,Bandera Bajada,G4308XAC,Santiago del Estero
16923,Banegas,G4302XAC,Santiago del Estero
16924,Barranca Colorada,G4313XAU,Santiago del Estero
16925,Barrancas,G4313XBK,Santiago del Estero
16926,Barrial Alto,G4313XAV,Santiago del Estero
16927,Barrialito,G4225XAK,Santiago del Estero
16928,Barrio Este,G4300XAM,Santiago del Estero
