id,name,zip,state
18516,Aserradero Arroyo,V9420XAA,Tierra del Fuego
18517,Bahia Lapataia,V9410XAA,Tierra del Fuego
18518,Base Aerea Teniente Matienzo,V9411XAJ,Tierra del Fuego
18519,Base Aerea Vicecomod Marambio,V9411XAK,Tierra del Fuego
18520,Base Belgrano,V9411XAA,Tierra del Fuego
18521,Base Belgrano 2,V9411XAQ,Tierra del Fuego
18522,Base Belgrano 3,V9411XAB,Tierra del Fuego
18523,Base Cientifica Tte Jubany,V9411XAO,Tierra del Fuego
18524,Base Ejercito Esperanza,V9411XAD,Tierra del Fuego
18525,Base Ejercito Gral San Martin,V9411XAC,Tierra del Fuego
18526,Base Ejercito Primavera,V9411XAE,Tierra del Fuego
18527,Base Ejercito Sobral,V9411XAF,Tierra del Fuego
18529,Cabaña Ruby,V9420XAB,Tierra del Fuego
18530,Cabo San Pablo,V9420XAD,Tierra del Fuego
18531,Campamento Central Ypf,V9420XAE,Tierra del Fuego
18532,Campamento los Chorrillos,V9420XAF,Tierra del Fuego
18533,Comisaria Radman,V9420XAC,Tierra del Fuego
18534,Destacamento Melchior,V9411XAG,Tierra del Fuego
18535,El Paramo,V9420XCI,Tierra del Fuego
18536,Estacion Aeronaval,V9420XAI,Tierra del Fuego
18537,Estacion Cientifica Alte Brown,V9411XAH,Tierra del Fuego
18538,Estacion Osn,V9420XAJ,Tierra del Fuego
18539,Estancia Aurelia,V9420XBQ,Tierra del Fuego
18540,Estancia Buenos Aires,V9420XAR,Tierra del Fuego
18541,Estancia Carmen,V9420XAS,Tierra del Fuego
18542,Estancia Cauchico,V9420XCF,Tierra del Fuego
18543,Estancia Costancia,V9420XCG,Tierra del Fuego
18544,Estancia Cullen,V9420XCH,Tierra del Fuego
18545,Estancia Despedida,V9420XCA,Tierra del Fuego
18546,Estancia Dos Hemanas,V9420XAT,Tierra del Fuego
18547,Estancia el Roble,V9420XAU,Tierra del Fuego
18548,Estancia el Rodeo,V9420XAV,Tierra del Fuego
18549,Estancia el Salvador,V9420XBA,Tierra del Fuego
18550,Estancia Guazu Cue,V9420XBB,Tierra del Fuego
18551,Estancia Harberton,V9410XAB,Tierra del Fuego
18552,Estancia Herminita,V9420XAW,Tierra del Fuego
18553,Estancia Ines,V9420XAX,Tierra del Fuego
18554,Estancia Jose Menendez,V9420XAY,Tierra del Fuego
18555,Estancia la Criolla,V9420XAZ,Tierra del Fuego
18556,Estancia la Fueguina,V9420XAH,Tierra del Fuego
18557,Estancia la Indiana,V9420XAG,Tierra del Fuego
18558,Estancia la Porteña,V9420XAK,Tierra del Fuego
18559,Estancia las Hijas,V9420XAL,Tierra del Fuego
18560,Estancia las Violetas,V9420XAM,Tierra del Fuego
18561,Estancia Laura,V9420XAN,Tierra del Fuego
18562,Estancia Libertad,V9420XAO,Tierra del Fuego
18563,Estancia los Cerros,V9420XAP,Tierra del Fuego
18564,Estancia los Flamencos,V9420XAQ,Tierra del Fuego
18565,Estancia Maria Behety,V9420XBF,Tierra del Fuego
18566,Estancia Maria Cristina,V9420XBG,Tierra del Fuego
18567,Estancia Maria Luisa,V9420XBH,Tierra del Fuego
18568,Estancia Marina,V9420XBI,Tierra del Fuego
18569,Estancia Miramonte,V9420XBJ,Tierra del Fuego
18570,Estancia Pirinaica,V9420XBR,Tierra del Fuego
18571,Estancia Policarpo,V9420XBS,Tierra del Fuego
18572,Estancia Rio Claro,V9420XBT,Tierra del Fuego
18573,Estancia Rio Ewan,V9420XBC,Tierra del Fuego
18574,Estancia Rio Irigoyen,V9420XBD,Tierra del Fuego
18575,Estancia Rivadavia,V9420XBE,Tierra del Fuego
18576,Estancia Rolito,V9420XBU,Tierra del Fuego
18577,Estancia Rosita,V9420XBV,Tierra del Fuego
18578,Estancia Ruby,V9420XBW,Tierra del Fuego
18579,Estancia San Jose,V9420XBX,Tierra del Fuego
18580,Estancia San Julio,V9420XBY,Tierra del Fuego
18581,Estancia San Justo,V9420XBZ,Tierra del Fuego
18582,Estancia San Martin,V9420XBK,Tierra del Fuego
18583,Estancia San Pablo,V9420XBL,Tierra del Fuego
18584,Estancia Santa Ana,V9420XBM,Tierra del Fuego
18585,Estancia Sara,V9420XBN,Tierra del Fuego
18587,Estancia Viamonte,V9420XBP,Tierra del Fuego
18588,Frigorifico Cap,V9420XCB,Tierra del Fuego
18589,Hosteria Kaiken,V9410XAC,Tierra del Fuego
18590,Isla de los Estados,V9410XAE,Tierra del Fuego
18591,Isla Gran Malvina,V9409XAA,Tierra del Fuego
18592,Isla Joinville,V9411XAI,Tierra del Fuego
18593,Isla Shetland del Sur,V9411XAL,Tierra del Fuego
18594,Isla Soledad,V9409XAB,Tierra del Fuego
18595,Islas Georgias del Sur,V9411XAM,Tierra del Fuego
18596,Islas Orcadas del Sur,V9411XAN,Tierra del Fuego
18597,Islas Sandwich del Sur,V9411XAR,Tierra del Fuego
18598,Lago Khami,V9420XCC,Tierra del Fuego
18599,Mision Salesiana Mñor Fagnano,V9420XCL,Tierra del Fuego
18600,Punta Maria,V9420XCD,Tierra del Fuego
18602,San Sebastian,V9420XCJ,Tierra del Fuego
18603,Santa Ines,V9420XCK,Tierra del Fuego
18604,Seccion Aviles  Estancia San J,V9420XCE,Tierra del Fuego
