id,name,zip,state
18607,25 de Mayo,T4242XAO,Tucumán
18609,9 de Julio,T4242XAF,Tucumán
18610,Abra Baya,T4137XBL,Tucumán
18611,Abra de la Picaza,T4137XBM,Tucumán
18612,Abra de Yareta,T4137XBN,Tucumán
18613,Abra del Infiernillo,T4137XBO,Tucumán
18614,Abra del Tafi,T4105XBK,Tucumán
18615,Abra el Candado,T4124XDC,Tucumán
18616,Abra Rica,T4178XFA,Tucumán
18617,Acequiones,T4124XDB,Tucumán
18619,Aconquija,T4107XAE,Tucumán
18620,Acostilla,T4113XAR,Tucumán
18621,Agua Azul,T4115XBH,Tucumán
18622,Agua Blanca,T4168XCM,Tucumán
18623,Agua Colorada,T4119XBM,Tucumán
18624,Agua Dulce,T4168XDG,Tucumán
18625,Agua el Simbo,T4124XDD,Tucumán
18626,Agua Negra,T4101XBW,Tucumán
18627,Agua Rosada,T4124XCH,Tucumán
18628,Agua Salada,T4124XCI,Tucumán
18629,Aguada,T4137XBP,Tucumán
18630,Aguada de Jorge,T4124XDE,Tucumán
18631,Aguadita,T4101XAA,Tucumán
18632,Aguas Blancas,T4119XBN,Tucumán
18634,Ahi Veremos,T4115XAJ,Tucumán
18635,Alabama,T4117XAT,Tucumán
18636,Alabama Nueva,T4178XBK,Tucumán
18638,Alisos,T4137XBA,Tucumán
18639,Alizal,T4122XBE,Tucumán
18640,Alongo,T4161XAA,Tucumán
18641,Alpachiri,T4149XAI,Tucumán
18642,Alta Gracia de Villa Burruyacu,T4101XBX,Tucumán
18643,Alto Cazadera,T4137XBQ,Tucumán
18644,Alto de Anfama,T4137XAA,Tucumán
18645,Alto de la Angostura,T4124XDF,Tucumán
18646,Alto de Leiva,T4142XAD,Tucumán
18647,Alto de los Gimenez,T4124XDG,Tucumán
18648,Alto de los Reales,T4137XBR,Tucumán
18649,Alto de Medina,T4117XAS,Tucumán
18650,Alto del Huascho,T4137XBS,Tucumán
18651,Alto del Lampazo,T4137XBT,Tucumán
18652,Alto del Puesto,T4176XBQ,Tucumán
18653,Alto el Puesto,T4159XAK,Tucumán
18654,Alto la Totora,T4124XDH,Tucumán
18655,Alto las Flores,T4152XBN,Tucumán
18656,Alto las Lechuzas,T4178XEN,Tucumán
18657,Alto los Cardones,T4137XBU,Tucumán
18658,Alto Nuestra Señora del Valle,T4109XAB,Tucumán
18659,Alto Verde,T4142XAE,Tucumán
18660,Alurralde,T4122XBF,Tucumán
18661,Amaicha del Llano,T4168XCB,Tucumán
18663,Amberes,T4144XAD,Tucumán
18664,Amimpa,T4176XBS,Tucumán
