streetId,isOdd,from,until,localityId,zip
1,true,1,99,,B2946AAA
1,false,2,100,,B2946AAB
1,true,101,199,,B2946AAC
1,false,102,200,,B2946AAD
1,true,201,299,,B2946AAE
1,false,202,300,,B2946AAF
2,true,101,199,,B2946AVA
2,false,102,200,,B2946AVB
2,true,201,299,,B2946AVC
2,false,202,300,,B2946AVD
2,true,301,399,,B2946AVE
2,false,302,400,,B2946AVF
3,true,1,99,,B2946AQA
3,false,2,100,,B2946AQB
3,true,101,199,,B2946AQC
3,false,102,200,,B2946AQD
3,true,201,299,,B2946AQE
3,false,202,300,,B2946AQF
3,true,301,399,,B2946AQG
3,false,302,400,,B2946AQH
3,true,401,499,,B2946AQI
3,false,402,500,,B2946AQJ
3,true,501,599,,B2946AQK
3,false,502,600,,B2946AQL
3,true,601,699,,B2946AQM
3,false,602,700,,B2946AQN
3,true,701,799,,B2946AQO
3,false,702,800,,B2946AQP
4,true,1,99,,B2946AWA
4,false,2,100,,B2946AWB
4,true,101,199,,B2946AWC
4,false,102,200,,B2946AWD
4,true,201,299,,B2946AWE
4,false,202,300,,B2946AWF
4,true,301,399,,B2946AWG
4,false,302,400,,B2946AWH
5,true,101,199,,B2946AFA
5,false,102,200,,B2946AFB
5,true,201,299,,B2946AFC
5,false,202,300,,B2946AFD
5,true,301,399,,B2946AFE
5,false,302,400,,B2946AFF
6,true,101,199,,B2946AGA
6,false,102,200,,B2946AGB
7,true,1,99,,B2946BCA
7,false,2,100,,B2946BCB
7,true,101,199,,B2946BCC
7,false,102,200,,B2946BCD
7,true,201,299,,B2946BCE
7,false,202,300,,B2946BCF
7,true,301,399,,B2946BCG
7,false,302,400,,B2946BCH
7,true,401,499,,B2946BCI
7,false,402,500,,B2946BCJ
7,true,501,599,,B2946BCK
7,false,502,600,,B2946BCL
7,true,601,699,,B2946BCM
7,false,602,700,,B2946BCN
7,true,701,799,,B2946BCO
7,false,702,800,,B2946BCP
8,true,1,99,,B2946ARA
8,false,2,100,,B2946ARB
8,true,101,199,,B2946ARC
8,false,102,200,,B2946ARD
8,true,201,299,,B2946ARE
8,false,202,300,,B2946ARF
8,true,301,399,,B2946ARG
8,false,302,400,,B2946ARH
8,true,401,499,,B2946ARI
8,false,402,500,,B2946ARJ
8,true,501,599,,B2946ARK
8,false,502,600,,B2946ARL
8,true,601,699,,B2946ARM
8,false,602,700,,B2946ARN
8,true,701,799,,B2946ARO
8,false,702,800,,B2946ARP
9,true,201,299,,B2946AEA
9,false,202,300,,B2946AEB
9,true,301,399,,B2946AEC
9,false,302,400,,B2946AED
9,true,401,499,,B2946AEE
9,false,402,500,,B2946AEF
9,true,501,599,,B2946AEG
9,false,502,600,,B2946AEH
10,true,101,199,,B2946AHA
10,false,102,200,,B2946AHB
10,true,201,299,,B2946AHC
10,false,202,300,,B2946AHD
10,true,301,399,,B2946AHE
10,false,302,400,,B2946AHF
13,true,1,99,,B2946AKC
13,false,2,100,,B2946AKD
13,true,101,199,,B2946AKE
13,false,102,200,,B2946AKF
13,true,201,299,,B2946AKG
13,false,202,300,,B2946AKH
14,true,301,399,,B2946AJA
14,false,302,400,,B2946AJB
15,true,101,199,,B2946AMA
15,false,102,200,,B2946AMB
15,true,201,299,,B2946AMC
15,false,202,300,,B2946AMD
15,true,301,399,,B2946AME
15,false,302,400,,B2946AMF
16,true,101,199,,B2946BDA
16,false,102,200,,B2946BDB
16,true,201,299,,B2946BDC
16,false,202,300,,B2946BDD
18,true,201,299,,B2946ACA
18,false,202,300,,B2946ACB
18,true,301,399,,B2946ACC
18,false,302,400,,B2946ACD
18,true,401,499,,B2946ACE
18,false,402,500,,B2946ACF
18,true,501,599,,B2946ACG
18,false,502,600,,B2946ACH
19,true,601,699,,B2946ATA
19,false,602,700,,B2946ATB
19,true,701,799,,B2946ATC
19,false,702,800,,B2946ATD
20,true,1,99,,B2946AZA
20,false,2,100,,B2946AZB
20,true,101,199,,B2946AZC
20,false,102,200,,B2946AZD
20,true,201,299,,B2946AZE
20,false,202,300,,B2946AZF
20,true,301,399,,B2946AZG
20,false,302,400,,B2946AZH
20,true,401,499,,B2946AZI
20,false,402,500,,B2946AZJ
20,true,501,599,,B2946AZK
20,false,502,600,,B2946AZL
20,true,601,699,,B2946AZM
20,false,602,700,,B2946AZN
20,true,701,799,,B2946AZO
20,false,702,800,,B2946AZP
21,true,1,99,,B2946ADA
21,false,2,100,,B2946ADB
21,true,101,199,,B2946ADC
21,false,102,200,,B2946ADD
21,true,201,299,,B2946ADE
21,false,202,300,,B2946ADF
21,true,301,399,,B2946ADG
21,false,302,400,,B2946ADH
21,true,401,499,,B2946ADI
21,false,402,500,,B2946ADJ
21,true,501,599,,B2946ADK
21,false,502,600,,B2946ADL
21,true,601,699,,B2946ADM
21,false,602,700,,B2946ADN
21,true,701,799,,B2946ADO
21,false,702,800,,B2946ADP
22,true,101,199,,B2946ANA
22,false,102,200,,B2946ANB
22,true,201,299,,B2946ANC
22,false,202,300,,B2946AND
22,true,301,399,,B2946ANE
22,false,302,400,,B2946ANF
23,true,1,99,,B2946ALA
23,false,2,100,,B2946ALB
23,true,101,199,,B2946ALC
23,false,102,200,,B2946ALD
24,true,1,99,,B2946ABA
24,false,2,100,,B2946ABB
24,true,101,199,,B2946ABC
24,false,102,200,,B2946ABD
24,true,201,299,,B2946ABE
24,false,202,300,,B2946ABF
25,true,101,199,,B2946APA
25,false,102,200,,B2946APB
25,true,201,299,,B2946APC
25,false,202,300,,B2946APD
25,true,301,399,,B2946APE
25,false,302,400,,B2946APF
26,true,501,599,,B2946AOA
26,false,502,600,,B2946AOB
27,true,101,199,,B2946ASA
27,false,102,200,,B2946ASB
27,true,201,299,,B2946ASC
27,false,202,300,,B2946ASD
28,true,1,99,,B2946AXA
28,false,2,100,,B2946AXB
28,true,101,199,,B2946AXC
28,false,102,200,,B2946AXD
28,true,201,299,,B2946AXE
28,false,202,300,,B2946AXF
29,true,101,199,,B2946AYA
29,false,102,200,,B2946AYB
29,true,201,299,,B2946AYC
29,false,202,300,,B2946AYD
30,true,1,99,,B2946BAA
30,false,2,100,,B2946BAB
30,true,101,199,,B2946BAC
30,false,102,200,,B2946BAD
30,true,201,299,,B2946BAE
30,false,202,300,,B2946BAF
31,true,1,99,,B2946BBA
31,false,2,100,,B2946BBB
31,true,101,199,,B2946BBC
31,false,102,200,,B2946BBD
32,true,1,99,,B2946BEA
32,false,2,100,,B2946BEB
32,true,101,199,,B2946BEC
32,false,102,200,,B2946BED
32,true,201,299,,B2946BEE
32,false,202,300,,B2946BEF
