streetId,isOdd,from,until,localityId,zip
1,false,0,0,,H3706BJA
1,true,1,99,,H3706AEA
1,false,2,100,,H3706AEB
1,true,101,199,,H3706AEC
1,false,102,200,,H3706AED
1,true,201,299,,H3706AEE
1,false,202,300,,H3706AEF
1,true,301,399,,H3706AEG
1,false,302,400,,H3706AEH
1,true,401,499,,H3706AEI
1,false,402,500,,H3706AEJ
1,true,501,599,,H3706AEK
1,false,502,600,,H3706AEL
1,true,601,699,,H3706AEM
1,false,602,700,,H3706AEN
1,true,701,799,,H3706AEO
1,false,702,800,,H3706AEP
1,true,801,899,,H3706AEQ
1,false,802,900,,H3706AER
1,true,901,999,,H3706AES
1,false,902,1000,,H3706AET
2,false,0,0,,H3706BDA
2,true,1,99,,H3706AAA
2,false,2,100,,H3706AAN
2,true,101,199,,H3706AAB
2,false,102,200,,H3706AAO
2,true,201,299,,H3706AAC
2,false,202,300,,H3706AAP
2,true,301,399,,H3706AAD
2,false,302,400,,H3706AAQ
2,true,401,499,,H3706AAE
2,false,402,500,,H3706AAR
2,true,501,599,,H3706AAF
2,false,502,600,,H3706AAS
2,true,601,699,,H3706AAG
2,false,602,700,,H3706AAT
2,true,701,799,,H3706AAH
2,false,702,800,,H3706AAU
2,true,801,899,,H3706AAI
2,false,802,900,,H3706AAV
2,true,901,999,,H3706AAJ
2,false,902,1000,,H3706AAW
3,false,0,0,,H3706BRA
3,true,1,99,,H3706ABA
3,false,2,100,,H3706ABN
3,true,101,199,,H3706ABB
3,false,102,200,,H3706ABO
3,true,201,299,,H3706ABC
3,false,202,300,,H3706ABP
3,true,301,399,,H3706ABD
3,false,302,400,,H3706ABQ
3,true,401,499,,H3706ABE
3,false,402,500,,H3706ABR
3,true,501,599,,H3706ABF
3,false,502,600,,H3706ABS
3,true,601,699,,H3706ABG
3,false,602,700,,H3706ABT
3,true,701,799,,H3706ABH
3,false,702,800,,H3706ABU
4,true,1,99,,H3706ADA
4,false,2,100,,H3706ADN
4,true,101,199,,H3706ADB
4,false,102,200,,H3706ADO
4,true,201,299,,H3706ADC
4,false,202,300,,H3706ADP
4,true,301,399,,H3706ADD
4,false,302,400,,H3706ADQ
4,true,401,499,,H3706ADE
4,false,402,500,,H3706ADR
4,true,501,599,,H3706ADF
4,false,502,600,,H3706ADS
4,true,601,699,,H3706ADG
4,false,602,700,,H3706ADT
4,true,701,799,,H3706ADH
4,false,702,800,,H3706ADU
4,true,801,899,,H3706ADI
4,false,802,900,,H3706ADV
4,true,901,999,,H3706ADJ
4,false,902,1000,,H3706ADW
5,true,1,99,,H3706AAA
5,false,2,100,,H3706AAN
5,true,101,199,,H3706AAB
5,false,102,200,,H3706AAO
5,true,201,299,,H3706AAC
5,false,202,300,,H3706AAP
5,true,301,399,,H3706AAD
5,false,302,400,,H3706AAQ
5,true,401,499,,H3706AAE
5,false,402,500,,H3706AAR
5,true,501,599,,H3706AAF
5,false,502,600,,H3706AAS
5,true,601,699,,H3706AAG
5,false,602,700,,H3706AAT
5,true,701,799,,H3706AAH
5,false,702,800,,H3706AAU
5,true,801,899,,H3706AAI
5,false,802,900,,H3706AAV
5,true,901,999,,H3706AAJ
5,false,902,1000,,H3706AAW
6,false,0,0,,H3706AYA
6,true,1,99,,H3706AFA
6,false,2,100,,H3706AFB
6,true,101,199,,H3706AFC
6,false,102,200,,H3706AFD
6,true,201,299,,H3706AFE
6,false,202,300,,H3706AFF
6,true,301,399,,H3706AFG
6,false,302,400,,H3706AFH
6,true,401,499,,H3706AFI
6,false,402,500,,H3706AFJ
6,true,501,599,,H3706AFK
6,false,502,600,,H3706AFL
6,true,601,699,,H3706AFM
6,false,602,700,,H3706AFN
6,true,701,799,,H3706AFO
6,false,702,800,,H3706AFP
6,true,801,899,,H3706AFQ
6,false,802,900,,H3706AFR
6,true,901,999,,H3706AFS
6,false,902,1000,,H3706AFT
7,true,1,99,,H3706AGA
7,false,2,100,,H3706AGB
7,true,101,199,,H3706AGC
7,false,102,200,,H3706AGD
7,true,201,299,,H3706AGE
7,false,202,300,,H3706AGF
7,true,301,399,,H3706AGG
7,false,302,400,,H3706AGH
7,true,401,499,,H3706AGI
7,false,402,500,,H3706AGJ
7,true,501,599,,H3706AGK
7,false,502,600,,H3706AGL
7,true,601,699,,H3706AGM
7,false,602,700,,H3706AGN
7,true,701,799,,H3706AGO
7,false,702,800,,H3706AGP
7,true,801,899,,H3706AGQ
7,false,802,900,,H3706AGR
7,true,901,999,,H3706AGS
7,false,902,1000,,H3706AGT
8,false,0,0,,H3706BEA
8,true,1,99,,H3706AHA
8,false,2,100,,H3706AHB
8,true,101,199,,H3706AHC
8,false,102,200,,H3706AHD
8,true,201,299,,H3706AHE
8,false,202,300,,H3706AHF
8,true,301,399,,H3706AHG
8,false,302,400,,H3706AHH
8,true,401,499,,H3706AHI
8,false,402,500,,H3706AHJ
8,true,501,599,,H3706AHK
8,false,502,600,,H3706AHL
8,true,601,699,,H3706AHM
8,false,602,700,,H3706AHN
8,true,701,799,,H3706AHO
8,false,702,800,,H3706AHP
8,true,801,899,,H3706AHQ
8,false,802,900,,H3706AHR
8,true,901,999,,H3706AHS
8,false,902,1000,,H3706AHT
9,false,0,0,,H3706BSA
9,true,1,99,,H3706AIA
9,false,2,100,,H3706AIB
9,true,101,199,,H3706AIC
9,false,102,200,,H3706AID
9,true,201,299,,H3706AIE
9,false,202,300,,H3706AIF
9,true,301,399,,H3706AIG
9,false,302,400,,H3706AIH
9,true,401,499,,H3706AII
9,false,402,500,,H3706AIJ
9,true,501,599,,H3706AIK
9,false,502,600,,H3706AIL
9,true,601,699,,H3706AIM
9,false,602,700,,H3706AIN
9,true,701,799,,H3706AIO
9,false,702,800,,H3706AIP
9,true,801,899,,H3706AIQ
9,false,802,900,,H3706AIR
9,true,901,999,,H3706AIS
9,false,902,1000,,H3706AIT
10,false,0,0,,H3706BFA
10,true,1,99,,H3706AJA
10,false,2,100,,H3706AJB
10,true,101,199,,H3706AJC
10,false,102,200,,H3706AJD
10,true,201,299,,H3706AJE
10,false,202,300,,H3706AJF
10,true,301,399,,H3706AJG
10,false,302,400,,H3706AJH
10,true,401,499,,H3706AJI
10,false,402,500,,H3706AJJ
10,true,501,599,,H3706AJK
10,false,502,600,,H3706AJL
10,true,601,699,,H3706AJM
10,false,602,700,,H3706AJN
