streetId,isOdd,from,until,localityId,zip
1,true,1,99,,X5843CMA
1,false,2,100,,X5843CMN
1,true,101,199,,X5843CMB
1,false,102,200,,X5843CMO
1,true,201,299,,X5843CMC
1,false,202,300,,X5843CMP
1,true,301,399,,X5843CMD
1,false,302,400,,X5843CMQ
2,true,101,199,,X5843AAA
2,false,102,200,,X5843AAB
2,true,201,299,,X5843AAC
2,false,202,300,,X5843AAD
2,true,301,399,,X5843AAE
2,false,302,400,,X5843AAF
2,true,401,499,,X5843AAG
2,false,402,500,,X5843AAH
3,true,1,99,,X5843ABA
3,false,2,100,,X5843ABB
3,true,101,199,,X5843ABC
3,false,102,200,,X5843ABD
3,true,201,299,,X5843ABE
3,false,202,300,,X5843ABF
3,true,301,399,,X5843ABG
3,false,302,400,,X5843ABH
3,true,401,499,,X5843ABI
3,false,402,500,,X5843ABJ
3,true,501,599,,X5843ABK
3,false,502,600,,X5843ABL
3,true,601,699,,X5843ABM
3,false,602,700,,X5843ABN
3,true,701,799,,X5843ABO
3,false,702,800,,X5843ABP
3,true,801,899,,X5843ABQ
3,false,802,900,,X5843ABR
3,true,901,999,,X5843ABS
3,false,902,1000,,X5843ABT
3,true,1001,1099,,X5843ABU
3,false,1002,1100,,X5843ABV
4,true,1,99,,X5843ACA
4,false,2,100,,X5843ACB
4,true,101,199,,X5843ACC
4,false,102,200,,X5843ACD
4,true,201,299,,X5843ACE
4,false,202,300,,X5843ACF
4,true,301,399,,X5843ACG
4,false,302,400,,X5843ACH
4,true,401,499,,X5843ACI
4,false,402,500,,X5843ACJ
4,true,501,599,,X5843ACK
4,false,502,600,,X5843ACL
4,true,601,699,,X5843ACM
4,false,602,700,,X5843ACN
4,true,701,799,,X5843ACO
4,false,702,800,,X5843ACP
4,true,801,899,,X5843ACQ
4,false,802,900,,X5843ACR
4,true,901,999,,X5843ACS
4,false,902,1000,,X5843ACT
5,true,701,799,,X5843ADA
5,false,702,800,,X5843ADB
5,true,801,899,,X5843ADC
5,false,802,900,,X5843ADD
5,true,901,999,,X5843ADE
5,false,902,1000,,X5843ADF
5,true,1001,1099,,X5843ADG
5,false,1002,1100,,X5843ADH
5,true,1101,1199,,X5843ADI
5,false,1102,1200,,X5843ADJ
5,true,1201,1299,,X5843ADK
5,false,1202,1300,,X5843ADL
6,true,101,199,,X5843AEA
6,false,102,200,,X5843AEB
6,true,201,299,,X5843AEC
6,false,202,300,,X5843AED
6,true,301,399,,X5843AEE
6,false,302,400,,X5843AEF
6,true,401,499,,X5843AEG
6,false,402,500,,X5843AEH
6,true,501,599,,X5843AEI
6,false,502,600,,X5843AEJ
7,true,1,99,,X5843DJA
7,false,2,100,,X5843DJB
7,true,101,199,,X5843DJC
7,false,102,200,,X5843DJD
7,true,201,299,,X5843DJE
7,false,202,300,,X5843DJF
7,true,301,399,,X5843DJG
7,false,302,400,,X5843DJH
8,true,1,99,,X5843AFA
8,false,2,100,,X5843AFB
8,true,101,199,,X5843AFC
8,false,102,200,,X5843AFD
8,true,201,299,,X5843AFE
8,false,202,300,,X5843AFF
8,true,301,399,,X5843AFG
8,false,302,400,,X5843AFH
8,true,401,499,,X5843AFI
8,false,402,500,,X5843AFJ
8,true,501,599,,X5843AFK
8,false,502,600,,X5843AFL
9,true,1,99,,X5843CBA
9,false,2,100,,X5843CBB
9,true,101,199,,X5843CBC
