streetId,isOdd,from,until,localityId,zip
1,true,301,399,,Q8345AAA
1,false,302,400,,Q8345AAB
1,true,401,499,,Q8345AAC
1,false,402,500,,Q8345AAD
1,true,501,599,,Q8345AAE
1,false,502,600,,Q8345AAF
1,true,601,699,,Q8345AAG
1,false,602,700,,Q8345AAH
2,true,501,599,,Q8345ABA
2,false,502,600,,Q8345ABB
2,true,601,699,,Q8345ABC
2,false,602,700,,Q8345ABD
3,true,101,199,,Q8345ACA
3,false,102,200,,Q8345ACB
3,true,201,299,,Q8345ACC
3,false,202,300,,Q8345ACD
4,true,401,499,,Q8345AGA
4,false,402,500,,Q8345AGB
4,true,501,599,,Q8345AGC
4,false,502,600,,Q8345AGD
4,true,601,699,,Q8345AGE
4,false,602,700,,Q8345AGF
5,true,1,99,,Q8345AHA
5,false,2,100,,Q8345AHB
5,true,101,199,,Q8345AHC
5,false,102,200,,Q8345AHD
5,true,201,299,,Q8345AHE
5,false,202,300,,Q8345AHF
6,true,201,299,,Q8345ADA
6,false,202,300,,Q8345ADN
6,true,301,399,,Q8345ADB
6,false,302,400,,Q8345ADO
6,true,401,499,,Q8345ADC
6,false,402,500,,Q8345ADP
7,true,101,199,,Q8345AIA
7,false,102,200,,Q8345AIB
7,true,201,299,,Q8345AIC
7,false,202,300,,Q8345AID
7,true,301,399,,Q8345AIE
7,false,302,400,,Q8345AIF
7,true,401,499,,Q8345AIG
7,false,402,500,,Q8345AIH
7,true,501,599,,Q8345AII
7,false,502,600,,Q8345AIJ
7,true,601,699,,Q8345AIK
7,false,602,700,,Q8345AIL
7,true,701,799,,Q8345AIM
7,false,702,800,,Q8345AIN
7,true,801,899,,Q8345AIO
7,false,802,900,,Q8345AIP
8,true,401,499,,Q8345AJA
8,false,402,500,,Q8345AJB
8,true,501,599,,Q8345AJC
8,false,502,600,,Q8345AJD
9,true,801,899,,Q8345AKC
9,false,802,900,,Q8345AKD
9,true,901,999,,Q8345AKE
9,false,902,1000,,Q8345AKF
9,true,1001,1099,,Q8345AKG
9,false,1002,1100,,Q8345AKH
9,true,1101,1199,,Q8345AKI
9,false,1102,1200,,Q8345AKJ
9,true,1201,1299,,Q8345AKK
9,false,1202,1300,,Q8345AKL
10,true,301,399,,Q8345ALA
10,false,302,400,,Q8345ALB
11,true,401,499,,Q8345AMA
11,false,402,500,,Q8345AMB
11,true,501,599,,Q8345AMC
11,false,502,600,,Q8345AMD
11,true,601,699,,Q8345AME
11,false,602,700,,Q8345AMF
12,true,1,99,,Q8345ANA
12,false,2,100,,Q8345ANB
12,true,101,199,,Q8345ANC
12,false,102,200,,Q8345AND
13,true,1,99,,Q8345AOA
13,false,2,100,,Q8345AOB
13,true,101,199,,Q8345AOC
13,false,102,200,,Q8345AOD
13,true,201,299,,Q8345AOE
13,false,202,300,,Q8345AOF
13,true,301,399,,Q8345AOG
13,false,302,400,,Q8345AOH
13,true,401,499,,Q8345AOI
13,false,402,500,,Q8345AOJ
13,true,501,599,,Q8345AOK
13,false,502,600,,Q8345AOL
13,true,601,699,,Q8345AOM
13,false,602,700,,Q8345AON
13,true,701,799,,Q8345AOO
13,false,702,800,,Q8345AOP
13,true,801,899,,Q8345AOQ
13,false,802,900,,Q8345AOR
13,true,901,999,,Q8345AOS
13,false,902,1000,,Q8345AOT
14,true,101,199,,Q8345APA
14,false,102,200,,Q8345APB
14,true,201,299,,Q8345APC
14,false,202,300,,Q8345APD
15,true,301,399,,Q8345AQA
15,false,302,400,,Q8345AQB
16,true,201,299,,Q8345ARA
16,false,202,300,,Q8345ARB
16,true,301,399,,Q8345ARC
16,false,302,400,,Q8345ARD
17,true,101,199,,Q8345ASA
17,false,102,200,,Q8345ASB
17,true,201,299,,Q8345ASC
17,false,202,300,,Q8345ASD
17,true,301,399,,Q8345ASE
17,false,302,400,,Q8345ASF
17,true,401,499,,Q8345ASG
17,false,402,500,,Q8345ASH
17,true,501,599,,Q8345ASI
17,false,502,600,,Q8345ASJ
17,true,601,699,,Q8345ASK
17,false,602,700,,Q8345ASL
17,true,701,799,,Q8345ASM
17,false,702,800,,Q8345ASN
17,true,801,899,,Q8345ASO
17,false,802,900,,Q8345ASP
17,true,901,999,,Q8345ASQ
17,false,902,1000,,Q8345ASR
17,true,1001,1099,,Q8345ASS
17,false,1002,1100,,Q8345AST
17,true,1101,1199,,Q8345ASU
17,false,1102,1200,,Q8345ASV
17,true,1201,1299,,Q8345ASW
17,false,1202,1300,,Q8345ASX
17,true,1301,1399,,Q8345ASY
17,false,1302,1400,,Q8345ASZ
18,true,201,299,,Q8345ATA
18,false,202,300,,Q8345ATB
18,true,301,399,,Q8345ATC
18,false,302,400,,Q8345ATD
19,true,901,999,,Q8345AUA
19,false,902,1000,,Q8345AUB
19,true,1001,1099,,Q8345AUC
19,false,1002,1100,,Q8345AUD
20,true,401,499,,Q8345AVA
20,false,402,500,,Q8345AVB
20,true,501,599,,Q8345AVC
20,false,502,600,,Q8345AVD
21,true,501,599,,Q8345AWA
21,false,502,600,,Q8345AWB
21,true,601,699,,Q8345AWC
21,false,602,700,,Q8345AWD
22,true,701,799,,Q8345AYA
22,false,702,800,,Q8345AYB
22,true,801,899,,Q8345AYC
22,false,802,900,,Q8345AYD
23,true,501,599,,Q8345AZA
23,false,502,600,,Q8345AZB
24,true,701,799,,Q8345BAA
24,false,702,800,,Q8345BAB
25,true,701,799,,Q8345BBA
25,false,702,800,,Q8345BBB
26,true,1,99,,Q8345BCA
26,false,2,100,,Q8345BCB
26,true,101,199,,Q8345BCC
26,false,102,200,,Q8345BCD
26,true,201,299,,Q8345BCE
26,false,202,300,,Q8345BCF
26,true,301,399,,Q8345BCG
26,false,302,400,,Q8345BCH
26,true,401,499,,Q8345BCI
26,false,402,500,,Q8345BCJ
26,true,501,599,,Q8345BCK
26,false,502,600,,Q8345BCL
27,true,101,199,,Q8345BDA
27,false,102,200,,Q8345BDB
27,true,201,299,,Q8345BDC
27,false,202,300,,Q8345BDD
28,true,1,99,,Q8345BEA
28,false,2,100,,Q8345BEB
28,true,101,199,,Q8345BEC
28,false,102,200,,Q8345BED
28,true,201,299,,Q8345BEE
28,false,202,300,,Q8345BEF
29,true,901,999,,Q8345BNA
29,false,902,1000,,Q8345BNB
29,true,1001,1099,,Q8345BNC
29,false,1002,1100,,Q8345BND
29,true,1101,1199,,Q8345BNE
29,false,1102,1200,,Q8345BNF
30,true,701,799,,Q8345BFA
30,false,702,800,,Q8345BFB
30,true,801,899,,Q8345BFC
