streetId,isOdd,from,until,localityId,zip
1,true,1,99,,R8333AAA
1,false,2,100,,R8333AAB
3,true,1,99,,R8333AFA
3,false,2,100,,R8333AFB
3,true,101,199,,R8333AFC
3,false,102,200,,R8333AFD
3,true,201,299,,R8333AFE
3,false,202,300,,R8333AFF
4,true,1,99,,R8333ACA
4,false,2,100,,R8333ACB
4,true,101,199,,R8333ACC
4,false,102,200,,R8333ACD
5,true,1,99,,R8333ADA
5,false,2,100,,R8333ADB
5,true,101,199,,R8333ADC
5,false,102,200,,R8333ADD
5,true,201,299,,R8333ADE
5,false,202,300,,R8333ADF
5,true,301,399,,R8333ADG
5,false,302,400,,R8333ADH
8,true,1,99,,R8333AHA
8,false,2,100,,R8333AHB
8,true,101,199,,R8333AHC
8,false,102,200,,R8333AHD
