streetId,isOdd,from,until,localityId,zip
1,true,1,99,,A4566AWA
1,false,2,100,,A4566AWB
1,true,101,199,,A4566AWC
1,false,102,200,,A4566AWD
2,true,1,99,,A4566AOA
2,false,2,100,,A4566AOB
2,true,101,199,,A4566AOC
2,false,102,200,,A4566AOD
2,true,201,299,,A4566AOE
2,false,202,300,,A4566AOF
2,true,301,399,,A4566AOG
2,false,302,400,,A4566AOH
3,true,1,99,,A4566APA
3,false,2,100,,A4566APB
3,true,101,199,,A4566APC
3,false,102,200,,A4566APD
3,true,201,299,,A4566APE
3,false,202,300,,A4566APF
3,true,301,399,,A4566APG
3,false,302,400,,A4566APH
3,true,401,499,,A4566API
3,false,402,500,,A4566APJ
3,true,501,599,,A4566APK
3,false,502,600,,A4566APL
4,true,1,99,,A4566AAA
4,false,2,100,,A4566AAB
4,true,101,199,,A4566AAC
4,false,102,200,,A4566AAD
4,true,201,299,,A4566AAE
4,false,202,300,,A4566AAF
4,true,301,399,,A4566AAG
4,false,302,400,,A4566AAH
5,true,1,99,,A4566AXA
5,false,2,100,,A4566AXB
5,true,101,199,,A4566AXC
5,false,102,200,,A4566AXD
6,true,1,99,,A4566AUA
6,false,2,100,,A4566AUN
6,true,101,199,,A4566AUB
6,false,102,200,,A4566AUO
6,true,201,299,,A4566AUC
6,false,202,300,,A4566AUP
6,true,301,399,,A4566AUD
6,false,302,400,,A4566AUQ
6,true,401,499,,A4566AUE
6,false,402,500,,A4566AUR
6,true,501,599,,A4566AUF
6,false,502,600,,A4566AUS
6,true,601,699,,A4566AUG
6,false,602,700,,A4566AUT
6,true,701,799,,A4566AUH
6,false,702,800,,A4566AUU
7,true,1,99,,A4566AMA
7,false,2,100,,A4566AMN
7,true,101,199,,A4566AMB
7,false,102,200,,A4566AMO
7,true,201,299,,A4566AMC
7,false,202,300,,A4566AMP
7,true,301,399,,A4566AMD
7,false,302,400,,A4566AMQ
7,true,401,499,,A4566AME
7,false,402,500,,A4566AMR
7,true,501,599,,A4566AMF
7,false,502,600,,A4566AMS
7,true,601,699,,A4566AMG
7,false,602,700,,A4566AMT
8,true,1,99,,A4566AVA
8,false,2,100,,A4566AVN
8,true,101,199,,A4566AVB
8,false,102,200,,A4566AVO
8,true,201,299,,A4566AVC
8,false,202,300,,A4566AVP
8,true,301,399,,A4566AVD
8,false,302,400,,A4566AVQ
8,true,401,499,,A4566AVE
8,false,402,500,,A4566AVR
8,true,501,599,,A4566AVF
8,false,502,600,,A4566AVS
8,true,601,699,,A4566AVG
8,false,602,700,,A4566AVT
8,true,701,799,,A4566AVH
8,false,702,800,,A4566AVU
8,true,801,899,,A4566AVI
8,false,802,900,,A4566AVV
9,true,1,99,,A4566ABA
9,false,2,100,,A4566ABB
9,true,101,199,,A4566ABC
9,false,102,200,,A4566ABD
9,true,201,299,,A4566ABE
9,false,202,300,,A4566ABF
9,true,301,399,,A4566ABG
9,false,302,400,,A4566ABH
9,true,401,499,,A4566ABI
9,false,402,500,,A4566ABJ
9,true,501,599,,A4566ABK
9,false,502,600,,A4566ABL
9,true,601,699,,A4566ABM
9,false,602,700,,A4566ABN
10,true,1,99,,A4566AZA
10,false,2,100,,A4566AZB
10,true,101,199,,A4566AZC
10,false,102,200,,A4566AZD
11,true,1,99,,A4566ARA
11,false,2,100,,A4566ARB
11,true,101,199,,A4566ARC
11,false,102,200,,A4566ARD
11,true,201,299,,A4566ARE
11,false,202,300,,A4566ARF
11,true,301,399,,A4566ARG
11,false,302,400,,A4566ARH
11,true,401,499,,A4566ARI
11,false,402,500,,A4566ARJ
11,true,501,599,,A4566ARK
11,false,502,600,,A4566ARL
11,true,601,699,,A4566ARM
11,false,602,700,,A4566ARN
11,true,701,799,,A4566ARO
11,false,702,800,,A4566ARP
12,true,1,99,,A4566AYA
12,false,2,100,,A4566AYB
12,true,101,199,,A4566AYC
12,false,102,200,,A4566AYD
13,true,1,99,,A4566ATA
13,false,2,100,,A4566ATB
13,true,101,199,,A4566ATC
13,false,102,200,,A4566ATD
13,true,201,299,,A4566ATE
13,false,202,300,,A4566ATF
13,true,301,399,,A4566ATG
13,false,302,400,,A4566ATH
13,true,401,499,,A4566ATI
13,false,402,500,,A4566ATJ
13,true,501,599,,A4566ATK
13,false,502,600,,A4566ATL
13,true,601,699,,A4566ATM
13,false,602,700,,A4566ATN
13,true,701,799,,A4566ATO
13,false,702,800,,A4566ATP
14,true,1,99,,A4566BDA
14,false,2,100,,A4566BDB
14,true,101,199,,A4566BDC
14,false,102,200,,A4566BDD
15,true,1,99,,A4566AQA
15,false,2,100,,A4566AQB
15,true,101,199,,A4566AQC
15,false,102,200,,A4566AQD
16,true,1,99,,A4566BTA
16,false,2,100,,A4566BTB
16,true,101,199,,A4566BTC
16,false,102,200,,A4566BTD
16,true,201,299,,A4566BTE
16,false,202,300,,A4566BTF
16,true,301,399,,A4566BTG
16,false,302,400,,A4566BTH
16,true,401,499,,A4566BTI
16,false,402,500,,A4566BTJ
16,true,501,599,,A4566BTK
16,false,502,600,,A4566BTL
17,true,1,99,,A4566ASA
17,false,2,100,,A4566ASB
17,true,101,199,,A4566ASC
17,false,102,200,,A4566ASD
17,true,201,299,,A4566ASE
17,false,202,300,,A4566ASF
17,true,301,399,,A4566ASG
17,false,302,400,,A4566ASH
17,true,401,499,,A4566ASI
17,false,402,500,,A4566ASJ
17,true,501,599,,A4566ASK
17,false,502,600,,A4566ASL
17,true,601,699,,A4566ASM
17,false,602,700,,A4566ASN
18,true,1,99,,A4566BQA
18,false,2,100,,A4566BQB
19,true,1,99,,A4566BPA
19,false,2,100,,A4566BPB
19,true,101,199,,A4566BPC
19,false,102,200,,A4566BPD
20,true,1,99,,A4566BOA
20,false,2,100,,A4566BOB
20,true,101,199,,A4566BOC
20,false,102,200,,A4566BOD
20,true,201,299,,A4566BOE
20,false,202,300,,A4566BOF
21,true,1,99,,A4566BMA
21,false,2,100,,A4566BMB
21,true,101,199,,A4566BMC
21,false,102,200,,A4566BMD
22,true,1,99,,A4566BRA
22,false,2,100,,A4566BRB
22,true,101,199,,A4566BRC
22,false,102,200,,A4566BRD
22,true,201,299,,A4566BRE
22,false,202,300,,A4566BRF
23,true,1,99,,A4566BBA
23,false,2,100,,A4566BBB
23,true,101,199,,A4566BBC
23,false,102,200,,A4566BBD
23,true,201,299,,A4566BBE
23,false,202,300,,A4566BBF
24,true,1,99,,A4566BNA
24,false,2,100,,A4566BNB
25,true,1,99,,A4566BUA
25,false,2,100,,A4566BUB
25,true,101,199,,A4566BUC
25,false,102,200,,A4566BUD
25,true,201,299,,A4566BUE
25,false,202,300,,A4566BUF
26,true,1,99,,A4566BKA
26,false,2,100,,A4566BKB
26,true,101,199,,A4566BKC
26,false,102,200,,A4566BKD
27,true,1,99,,A4566BLA
27,false,2,100,,A4566BLB
27,true,101,199,,A4566BLC
27,false,102,200,,A4566BLD
28,true,1,99,,A4566BJA
28,false,2,100,,A4566BJB
28,true,101,199,,A4566BJC
28,false,102,200,,A4566BJD
28,true,201,299,,A4566BJE
28,false,202,300,,A4566BJF
28,true,301,399,,A4566BJG
28,false,302,400,,A4566BJH
28,true,401,499,,A4566BJI
28,false,402,500,,A4566BJJ
28,true,501,599,,A4566BJK
28,false,502,600,,A4566BJL
28,true,601,699,,A4566BJM
28,false,602,700,,A4566BJN
29,true,1,99,,A4566BFA
29,false,2,100,,A4566BFB
29,true,101,199,,A4566BFC
29,false,102,200,,A4566BFD
29,true,201,299,,A4566BFE
29,false,202,300,,A4566BFF
29,true,301,399,,A4566BFG
29,false,302,400,,A4566BFH
29,true,401,499,,A4566BFI
29,false,402,500,,A4566BFJ
29,true,501,599,,A4566BFK
29,false,502,600,,A4566BFL
30,true,1,99,,A4566BEA
30,false,2,100,,A4566BEN
30,true,101,199,,A4566BEB
30,false,102,200,,A4566BEO
30,true,201,299,,A4566BEC
30,false,202,300,,A4566BEP
30,true,301,399,,A4566BED
30,false,302,400,,A4566BEQ
31,false,0,0,,A4566ACA
31,false,0,0,,A4566ADA
31,false,0,0,,A4566AEA
31,false,0,0,,A4566AFA
31,false,0,0,,A4566AGA
31,false,0,0,,A4566AHA
31,false,0,0,,A4566AIA
31,false,0,0,,A4566AJA
31,false,0,0,,A4566AKA
31,false,0,0,,A4566ALA
32,false,0,0,,A4566ACA
32,false,0,0,,A4566ADA
32,false,0,0,,A4566AEA
32,false,0,0,,A4566AFA
32,false,0,0,,A4566AGA
32,false,0,0,,A4566AHA
32,false,0,0,,A4566AIA
32,false,0,0,,A4566AJA
32,false,0,0,,A4566AKA
32,false,0,0,,A4566ALA
33,false,0,0,,A4566ACA
33,false,0,0,,A4566ADA
33,false,0,0,,A4566AEA
33,false,0,0,,A4566AFA
33,false,0,0,,A4566AGA
33,false,0,0,,A4566AHA
33,false,0,0,,A4566AIA
33,false,0,0,,A4566AJA
33,false,0,0,,A4566AKA
33,false,0,0,,A4566ALA
34,false,0,0,,A4566ACA
34,false,0,0,,A4566ADA
34,false,0,0,,A4566AEA
34,false,0,0,,A4566AFA
34,false,0,0,,A4566AGA
34,false,0,0,,A4566AHA
34,false,0,0,,A4566AIA
34,false,0,0,,A4566AJA
34,false,0,0,,A4566AKA
34,false,0,0,,A4566ALA
35,false,0,0,,A4566ACA
35,false,0,0,,A4566ADA
35,false,0,0,,A4566AEA
35,false,0,0,,A4566AFA
35,false,0,0,,A4566AGA
35,false,0,0,,A4566AHA
35,false,0,0,,A4566AIA
35,false,0,0,,A4566AJA
35,false,0,0,,A4566AKA
35,false,0,0,,A4566ALA
36,false,0,0,,A4566ACA
36,false,0,0,,A4566ADA
36,false,0,0,,A4566AEA
36,false,0,0,,A4566AFA
36,false,0,0,,A4566AGA
36,false,0,0,,A4566AHA
36,false,0,0,,A4566AIA
36,false,0,0,,A4566AJA
36,false,0,0,,A4566AKA
36,false,0,0,,A4566ALA
37,false,0,0,,A4566ACA
37,false,0,0,,A4566ADA
37,false,0,0,,A4566AEA
37,false,0,0,,A4566AFA
37,false,0,0,,A4566AGA
37,false,0,0,,A4566AHA
37,false,0,0,,A4566AIA
37,false,0,0,,A4566AJA
37,false,0,0,,A4566AKA
37,false,0,0,,A4566ALA
38,false,0,0,,A4566ACA
38,false,0,0,,A4566ADA
38,false,0,0,,A4566AEA
38,false,0,0,,A4566AFA
38,false,0,0,,A4566AGA
38,false,0,0,,A4566AHA
38,false,0,0,,A4566AIA
38,false,0,0,,A4566AJA
38,false,0,0,,A4566AKA
38,false,0,0,,A4566ALA
39,false,0,0,,A4566ACA
39,false,0,0,,A4566ADA
39,false,0,0,,A4566AEA
39,false,0,0,,A4566AFA
39,false,0,0,,A4566AGA
39,false,0,0,,A4566AHA
39,false,0,0,,A4566AIA
39,false,0,0,,A4566AJA
39,false,0,0,,A4566AKA
39,false,0,0,,A4566ALA
40,false,0,0,,A4566ACA
40,false,0,0,,A4566ADA
40,false,0,0,,A4566AEA
40,false,0,0,,A4566AFA
40,false,0,0,,A4566AGA
40,false,0,0,,A4566AHA
40,false,0,0,,A4566AIA
40,false,0,0,,A4566AJA
40,false,0,0,,A4566AKA
40,false,0,0,,A4566ALA
41,true,1,99,,A4566BCA
41,true,1,99,,A4566BSA
41,false,2,100,,A4566BCB
41,false,2,100,,A4566BSN
41,true,101,199,,A4566BCC
41,true,101,199,,A4566BSB
41,false,102,200,,A4566BCD
41,false,102,200,,A4566BSO
41,true,201,299,,A4566BSC
41,false,202,300,,A4566BSP
42,true,1,99,,A4566BCA
42,true,1,99,,A4566BSA
42,false,2,100,,A4566BCB
42,false,2,100,,A4566BSN
42,true,101,199,,A4566BCC
42,true,101,199,,A4566BSB
42,false,102,200,,A4566BCD
42,false,102,200,,A4566BSO
42,true,201,299,,A4566BSC
42,false,202,300,,A4566BSP
43,true,1,99,,A4566BGA
43,false,2,100,,A4566BGN
43,true,101,199,,A4566BGB
43,false,102,200,,A4566BGO
43,true,201,299,,A4566BGC
43,false,202,300,,A4566BGP
43,true,301,399,,A4566BGD
43,false,302,400,,A4566BGQ
43,true,401,499,,A4566BGE
43,false,402,500,,A4566BGR
43,true,501,599,,A4566BGF
43,false,502,600,,A4566BGS
43,true,601,699,,A4566BGG
43,false,602,700,,A4566BGT
43,true,701,799,,A4566BGH
43,false,702,800,,A4566BGU
44,true,1,99,,A4566BHA
44,false,2,100,,A4566BHN
44,true,101,199,,A4566BHB
44,false,102,200,,A4566BHO
44,true,201,299,,A4566BHC
44,false,202,300,,A4566BHP
44,true,301,399,,A4566BHD
44,false,302,400,,A4566BHQ
44,true,401,499,,A4566BHE
44,false,402,500,,A4566BHR
44,true,501,599,,A4566BHF
44,false,502,600,,A4566BHS
44,true,601,699,,A4566BHG
44,false,602,700,,A4566BHT
44,true,701,799,,A4566BHH
44,false,702,800,,A4566BHU
44,true,801,899,,A4566BHI
44,false,802,900,,A4566BHV
45,true,1,99,,A4566BAA
45,false,2,100,,A4566BAB
45,true,101,199,,A4566BAC
45,false,102,200,,A4566BAD
47,true,1,99,,A4566ANA
47,false,2,100,,A4566ANB
47,true,101,199,,A4566ANC
47,false,102,200,,A4566AND
47,true,201,299,,A4566ANE
47,false,202,300,,A4566ANF
47,true,301,399,,A4566ANG
47,false,302,400,,A4566ANH
47,true,401,499,,A4566ANI
47,false,402,500,,A4566ANJ
47,true,501,599,,A4566ANK
47,false,502,600,,A4566ANL
47,true,601,699,,A4566ANM
47,false,602,700,,A4566ANN
47,true,701,799,,A4566ANQ
47,false,702,800,,A4566ANR
