streetId,isOdd,from,until,localityId,zip
1,true,1,99,,J5417ABA
1,false,2,100,,J5417ABB
1,true,101,199,,J5417ABC
1,false,102,200,,J5417ABD
1,true,201,299,,J5417ABE
1,false,202,300,,J5417ABF
1,true,301,399,,J5417ABG
1,false,302,400,,J5417ABH
1,true,401,499,,J5417ABI
1,false,402,500,,J5417ABJ
1,true,501,599,,J5417ABK
1,false,502,600,,J5417ABL
1,true,601,699,,J5417ABM
1,false,602,700,,J5417ABN
2,true,1,99,,J5417AAA
2,false,2,100,,J5417AAB
2,true,101,199,,J5417AAC
2,false,102,200,,J5417AAD
2,true,201,299,,J5417AAE
2,false,202,300,,J5417AAF
2,true,301,399,,J5417AAG
2,false,302,400,,J5417AAH
2,true,401,499,,J5417AAI
2,false,402,500,,J5417AAJ
2,true,501,599,,J5417AAK
2,false,502,600,,J5417AAL
2,true,601,699,,J5417AAM
2,false,602,700,,J5417AAN
3,true,1,99,,J5417BBA
3,false,2,100,,J5417BBB
3,true,101,199,,J5417BBC
3,false,102,200,,J5417BBD
3,true,201,299,,J5417BBE
3,false,202,300,,J5417BBF
3,true,301,399,,J5417BBG
3,false,302,400,,J5417BBH
5,true,1,99,,J5417ACA
5,false,2,100,,J5417ACB
5,true,101,199,,J5417ACC
5,false,102,200,,J5417ACD
5,true,201,299,,J5417ACE
5,false,202,300,,J5417ACF
5,true,301,399,,J5417ACG
5,false,302,400,,J5417ACH
5,true,401,499,,J5417ACI
5,false,402,500,,J5417ACJ
5,true,501,599,,J5417ACK
5,false,502,600,,J5417ACL
7,true,1,99,,J5417AJA
7,false,2,100,,J5417AJB
7,true,101,199,,J5417AJC
7,false,102,200,,J5417AJD
7,true,201,299,,J5417AJE
7,false,202,300,,J5417AJF
7,true,301,399,,J5417AJG
7,false,302,400,,J5417AJH
10,true,1,99,,J5417ADA
10,false,2,100,,J5417ADB
10,true,101,199,,J5417ADC
10,false,102,200,,J5417ADD
10,true,201,299,,J5417ADE
10,false,202,300,,J5417ADF
10,true,301,399,,J5417ADG
10,false,302,400,,J5417ADH
10,true,401,499,,J5417ADI
10,false,402,500,,J5417ADJ
10,true,501,599,,J5417ADK
10,false,502,600,,J5417ADL
10,true,601,699,,J5417ADM
10,false,602,700,,J5417ADN
10,true,701,799,,J5417ADO
10,false,702,800,,J5417ADP
16,true,1,99,,J5417AFA
16,false,2,100,,J5417AFB
16,true,101,199,,J5417AFC
16,false,102,200,,J5417AFD
16,true,201,299,,J5417AFE
16,false,202,300,,J5417AFF
18,true,1,99,,J5417ARA
18,false,2,100,,J5417ARB
18,true,101,199,,J5417ARC
18,false,102,200,,J5417ARD
18,true,201,299,,J5417ARE
18,false,202,300,,J5417ARF
18,true,301,399,,J5417ARG
18,false,302,400,,J5417ARH
18,true,401,499,,J5417ARI
18,false,402,500,,J5417ARJ
18,true,501,599,,J5417ARK
18,false,502,600,,J5417ARL
18,true,601,699,,J5417ARM
18,false,602,700,,J5417ARN
18,true,701,799,,J5417ARO
18,false,702,800,,J5417ARP
28,true,1,99,,J5417BCA
28,false,2,100,,J5417BCB
28,true,101,199,,J5417BCC
28,false,102,200,,J5417BCD
28,true,201,299,,J5417BCE
28,false,202,300,,J5417BCF
28,true,301,399,,J5417BCG
28,false,302,400,,J5417BCH
28,true,401,499,,J5417BCI
28,false,402,500,,J5417BCJ
28,true,501,599,,J5417BCK
28,false,502,600,,J5417BCL
31,true,1,99,,J5417BFA
31,false,2,100,,J5417BFB
32,true,1,99,,J5417BGA
32,false,2,100,,J5417BGB
32,true,101,199,,J5417BGC
32,false,102,200,,J5417BGD
33,true,1,99,,J5417BHA
33,false,2,100,,J5417BHB
33,true,101,199,,J5417BHC
33,false,102,200,,J5417BHD
34,true,1,99,,J5417AQA
34,false,2,100,,J5417AQB
34,true,101,199,,J5417AQC
34,false,102,200,,J5417AQD
34,true,201,299,,J5417AQE
34,false,202,300,,J5417AQF
34,true,301,399,,J5417AQG
34,false,302,400,,J5417AQH
34,true,401,499,,J5417AQI
34,false,402,500,,J5417AQJ
34,true,501,599,,J5417AQK
34,false,502,600,,J5417AQL
34,true,601,699,,J5417AQM
34,false,602,700,,J5417AQN
34,true,701,799,,J5417AQO
34,false,702,800,,J5417AQP
34,true,801,899,,J5417AQQ
34,false,802,900,,J5417AQR
34,true,901,999,,J5417AQS
34,false,902,1000,,J5417AQT
