streetId,isOdd,from,until,localityId,zip
1,true,1,99,,S2109AAA
1,false,2,100,,S2109AAB
1,true,101,199,,S2109AAC
1,false,102,200,,S2109AAD
1,true,201,299,,S2109AAE
1,false,202,300,,S2109AAF
1,true,301,399,,S2109AAG
1,false,302,400,,S2109AAH
1,true,401,499,,S2109AAI
1,false,402,500,,S2109AAJ
1,true,501,599,,S2109AAK
1,false,502,600,,S2109AAL
1,true,601,699,,S2109AAM
1,false,602,700,,S2109AAN
1,true,701,799,,S2109AAO
1,false,702,800,,S2109AAP
1,true,801,899,,S2109AAQ
1,false,802,900,,S2109AAR
1,true,901,999,,S2109AAS
1,false,902,1000,,S2109AAT
1,true,1001,1099,,S2109AAU
1,false,1002,1100,,S2109AAV
2,true,1,99,,S2109ACA
2,false,2,100,,S2109ACB
2,true,101,199,,S2109ACC
2,false,102,200,,S2109ACD
2,true,201,299,,S2109ACE
2,false,202,300,,S2109ACF
3,true,1,99,,S2109ADA
3,false,2,100,,S2109ADB
3,true,101,199,,S2109ADC
3,false,102,200,,S2109ADD
3,true,201,299,,S2109ADE
3,false,202,300,,S2109ADF
3,true,301,399,,S2109ADG
3,false,302,400,,S2109ADH
3,true,401,499,,S2109ADI
3,false,402,500,,S2109ADJ
3,true,501,599,,S2109ADK
3,false,502,600,,S2109ADL
3,true,601,699,,S2109ADM
3,false,602,700,,S2109ADN
3,true,701,799,,S2109ADO
3,false,702,800,,S2109ADP
4,true,801,899,,S2109AEA
4,false,802,900,,S2109AEB
5,true,1,99,,S2109AHA
5,false,2,100,,S2109AHB
5,true,101,199,,S2109AHC
5,false,102,200,,S2109AHD
5,true,201,299,,S2109AHE
5,false,202,300,,S2109AHF
5,true,301,399,,S2109AHG
5,false,302,400,,S2109AHH
5,true,401,499,,S2109AHI
5,false,402,500,,S2109AHJ
5,true,501,599,,S2109AHK
5,false,502,600,,S2109AHL
5,true,601,699,,S2109AHM
5,false,602,700,,S2109AHN
5,true,701,799,,S2109AHO
5,false,702,800,,S2109AHP
5,true,801,899,,S2109AHQ
5,false,802,900,,S2109AHR
6,true,1,99,,S2109AFA
6,false,2,100,,S2109AFB
6,true,101,199,,S2109AFC
6,false,102,200,,S2109AFD
6,true,201,299,,S2109AFE
6,false,202,300,,S2109AFF
6,true,301,399,,S2109AFG
6,false,302,400,,S2109AFH
6,true,401,499,,S2109AFI
6,false,402,500,,S2109AFJ
6,true,501,599,,S2109AFK
6,false,502,600,,S2109AFL
6,true,601,699,,S2109AFM
6,false,602,700,,S2109AFN
6,true,701,799,,S2109AFO
6,false,702,800,,S2109AFP
7,true,1,99,,S2109AKA
7,false,2,100,,S2109AKN
7,true,101,199,,S2109AKC
7,false,102,200,,S2109AKP
7,true,201,299,,S2109AKD
7,false,202,300,,S2109AKQ
7,true,301,399,,S2109AKE
7,false,302,400,,S2109AKR
7,true,401,499,,S2109AKF
7,false,402,500,,S2109AKS
7,true,501,599,,S2109AKG
7,false,502,600,,S2109AKT
7,true,601,699,,S2109AKH
7,false,602,700,,S2109AKU
7,true,701,799,,S2109AKJ
7,false,702,800,,S2109AKW
7,true,801,899,,S2109AKK
7,false,802,900,,S2109AKX
7,true,901,999,,S2109AKL
7,false,902,1000,,S2109AKY
7,true,1001,1099,,S2109AKM
7,false,1002,1100,,S2109AKZ
8,true,1,99,,S2109BJA
8,false,2,100,,S2109BJB
8,true,101,199,,S2109BJC
8,false,102,200,,S2109BJD
8,true,201,299,,S2109BJE
8,false,202,300,,S2109BJF
9,true,801,899,,S2109AMA
9,false,802,900,,S2109AMB
10,true,1,99,,S2109BDA
10,false,2,100,,S2109BDB
10,true,101,199,,S2109BDC
10,false,102,200,,S2109BDD
10,true,201,299,,S2109BDE
10,false,202,300,,S2109BDF
10,true,301,399,,S2109BDG
10,false,302,400,,S2109BDH
10,true,401,499,,S2109BDI
10,false,402,500,,S2109BDJ
10,true,501,599,,S2109BDK
10,false,502,600,,S2109BDL
10,true,601,699,,S2109BDM
10,false,602,700,,S2109BDN
10,true,701,799,,S2109BDO
10,false,702,800,,S2109BDP
10,true,801,899,,S2109BDQ
10,false,802,900,,S2109BDR
10,true,901,999,,S2109BDS
10,false,902,1000,,S2109BDT
10,true,1001,1099,,S2109BDU
10,false,1002,1100,,S2109BDV
11,true,301,399,,S2109BFA
11,false,302,400,,S2109BFB
12,true,1,99,,S2109AYA
12,false,2,100,,S2109AYB
12,true,101,199,,S2109AYC
12,false,102,200,,S2109AYD
12,true,201,299,,S2109AYE
12,false,202,300,,S2109AYF
12,true,301,399,,S2109AYG
12,false,302,400,,S2109AYH
12,true,401,499,,S2109AYI
12,false,402,500,,S2109AYJ
12,true,501,599,,S2109AYK
12,false,502,600,,S2109AYL
12,true,601,699,,S2109AYM
12,false,602,700,,S2109AYN
12,true,701,799,,S2109AYO
12,false,702,800,,S2109AYP
13,true,1,99,,S2109AGA
13,false,2,100,,S2109AGB
13,true,101,199,,S2109AGC
13,false,102,200,,S2109AGD
13,true,201,299,,S2109AGE
13,false,202,300,,S2109AGF
13,true,301,399,,S2109AGG
13,false,302,400,,S2109AGH
13,true,401,499,,S2109AGI
13,false,402,500,,S2109AGJ
13,true,501,599,,S2109AGK
13,false,502,600,,S2109AGL
13,true,601,699,,S2109AGM
13,false,602,700,,S2109AGN
13,true,701,799,,S2109AGO
13,false,702,800,,S2109AGP
14,true,1,99,,S2109ANA
14,false,2,100,,S2109ANB
14,true,101,199,,S2109ANC
14,false,102,200,,S2109AND
14,true,201,299,,S2109ANE
14,false,202,300,,S2109ANF
14,true,301,399,,S2109ANG
14,false,302,400,,S2109ANH
14,true,401,499,,S2109ANI
14,false,402,500,,S2109ANJ
14,true,501,599,,S2109ANK
14,false,502,600,,S2109ANL
14,true,601,699,,S2109ANM
14,false,602,700,,S2109ANN
14,true,701,799,,S2109ANQ
14,false,702,800,,S2109ANR
14,true,801,899,,S2109ANS
14,false,802,900,,S2109ANT
14,true,901,999,,S2109ANU
14,false,902,1000,,S2109ANV
14,true,1001,1099,,S2109ANW
14,false,1002,1100,,S2109ANX
15,true,1,99,,S2109AUA
15,false,2,100,,S2109AUB
15,true,101,199,,S2109AUC
15,false,102,200,,S2109AUD
15,true,201,299,,S2109AUE
15,false,202,300,,S2109AUF
15,true,301,399,,S2109AUG
15,false,302,400,,S2109AUH
15,true,401,499,,S2109AUI
15,false,402,500,,S2109AUJ
15,true,501,599,,S2109AUK
15,false,502,600,,S2109AUL
15,true,601,699,,S2109AUM
15,false,602,700,,S2109AUN
15,true,701,799,,S2109AUO
15,false,702,800,,S2109AUP
15,true,801,899,,S2109AUQ
15,false,802,900,,S2109AUR
15,true,901,999,,S2109AUS
15,false,902,1000,,S2109AUT
15,true,1001,1099,,S2109AUU
15,false,1002,1100,,S2109AUV
16,true,1,99,,S2109ARA
16,false,2,100,,S2109ARB
16,true,101,199,,S2109ARC
16,false,102,200,,S2109ARD
16,true,201,299,,S2109ARE
16,false,202,300,,S2109ARF
16,true,301,399,,S2109ARG
16,false,302,400,,S2109ARH
16,true,401,499,,S2109ARI
16,false,402,500,,S2109ARJ
16,true,501,599,,S2109ARK
16,false,502,600,,S2109ARL
16,true,601,699,,S2109ARM
16,false,602,700,,S2109ARN
16,true,701,799,,S2109ARO
16,false,702,800,,S2109ARP
17,true,1,99,,S2109AOA
17,false,2,100,,S2109AOB
17,true,101,199,,S2109AOC
17,false,102,200,,S2109AOD
17,true,201,299,,S2109AOE
17,false,202,300,,S2109AOF
17,true,301,399,,S2109AOG
17,false,302,400,,S2109AOH
17,true,401,499,,S2109AOI
17,false,402,500,,S2109AOJ
17,true,501,599,,S2109AOK
17,false,502,600,,S2109AOL
