streetId,isOdd,from,until,localityId,zip
1,true,1,99,,G3760AAA
1,false,2,100,,G3760AAB
1,true,101,199,,G3760AAC
1,false,102,200,,G3760AAD
1,true,201,299,,G3760AAE
1,false,202,300,,G3760AAF
1,true,301,399,,G3760AAG
1,false,302,400,,G3760AAH
1,true,401,499,,G3760AAI
1,false,402,500,,G3760AAJ
2,true,1,99,,G3760ABA
2,false,2,100,,G3760ABB
2,true,101,199,,G3760ABC
2,false,102,200,,G3760ABD
2,true,201,299,,G3760ABE
2,false,202,300,,G3760ABF
2,true,301,399,,G3760ABG
2,false,302,400,,G3760ABH
3,true,701,799,,G3760GGA
3,false,702,800,,G3760GGB
3,true,801,899,,G3760GGC
3,false,802,900,,G3760GGD
3,true,901,999,,G3760GGE
3,false,902,1000,,G3760GGF
4,true,1,99,,G3760ACA
4,false,2,100,,G3760ACB
4,true,101,199,,G3760ACC
4,false,102,200,,G3760ACD
4,true,201,299,,G3760ACE
4,false,202,300,,G3760ACF
4,true,301,399,,G3760ACG
4,false,302,400,,G3760ACH
4,true,401,499,,G3760ACI
4,false,402,500,,G3760ACJ
5,true,1,99,,G3760ADA
5,false,2,100,,G3760ADN
5,true,101,199,,G3760ADB
5,false,102,200,,G3760ADO
5,true,201,299,,G3760ADC
5,false,202,300,,G3760ADP
5,true,301,399,,G3760ADD
5,false,302,400,,G3760ADQ
5,true,401,499,,G3760ADE
5,false,402,500,,G3760ADR
5,true,501,599,,G3760ADF
5,false,502,600,,G3760ADS
5,true,601,699,,G3760ADG
5,false,602,700,,G3760ADT
5,true,701,799,,G3760ADH
5,false,702,800,,G3760ADU
5,true,801,899,,G3760ADI
5,false,802,900,,G3760ADV
5,true,901,999,,G3760ADJ
5,false,902,1000,,G3760ADW
6,true,1,99,,G3760AEA
6,false,2,100,,G3760AEN
6,true,101,199,,G3760AEB
6,false,102,200,,G3760AEO
6,true,201,299,,G3760AEC
6,false,202,300,,G3760AEP
6,true,301,399,,G3760AED
6,false,302,400,,G3760AEQ
6,true,401,499,,G3760AEE
6,false,402,500,,G3760AER
6,true,501,599,,G3760AEF
6,false,502,600,,G3760AES
6,true,601,699,,G3760AEG
6,false,602,700,,G3760AET
6,true,701,799,,G3760AEH
6,false,702,800,,G3760AEU
6,true,801,899,,G3760AEI
6,false,802,900,,G3760AEV
6,true,901,999,,G3760AEJ
6,false,902,1000,,G3760AEW
6,true,1001,1099,,G3760AEK
6,false,1002,1100,,G3760AEX
6,true,1101,1199,,G3760AEL
6,false,1102,1200,,G3760AEY
7,true,1,99,,G3760AFA
7,false,2,100,,G3760AFB
7,true,101,199,,G3760AFC
7,false,102,200,,G3760AFD
7,true,201,299,,G3760AFE
7,false,202,300,,G3760AFF
7,true,301,399,,G3760AFG
7,false,302,400,,G3760AFH
8,true,1,99,,G3760AGA
8,false,2,100,,G3760AGN
8,true,101,199,,G3760AGB
8,false,102,200,,G3760AGO
8,true,201,299,,G3760AGC
8,false,202,300,,G3760AGP
8,true,301,399,,G3760AGD
8,false,302,400,,G3760AGQ
8,true,401,499,,G3760AGE
8,false,402,500,,G3760AGR
8,true,501,599,,G3760AGF
8,false,502,600,,G3760AGS
8,true,601,699,,G3760AGG
8,false,602,700,,G3760AGT
8,true,701,799,,G3760AGH
8,false,702,800,,G3760AGU
8,true,801,899,,G3760AGI
8,false,802,900,,G3760AGV
8,true,901,999,,G3760AGJ
8,false,902,1000,,G3760AGW
9,true,1,99,,G3760FYA
9,false,2,100,,G3760FYN
9,true,101,199,,G3760FYB
9,false,102,200,,G3760FYO
9,true,201,299,,G3760FYC
9,false,202,300,,G3760FYP
9,true,301,399,,G3760FYD
9,false,302,400,,G3760FYQ
10,true,1,99,,G3760AIA
10,false,2,100,,G3760AIB
10,true,101,199,,G3760AIC
10,false,102,200,,G3760AID
10,true,201,299,,G3760AIE
10,false,202,300,,G3760AIF
10,true,301,399,,G3760AIG
10,false,302,400,,G3760AIH
10,true,401,499,,G3760AII
10,false,402,500,,G3760AIJ
10,true,501,599,,G3760AIK
10,false,502,600,,G3760AIL
10,true,601,699,,G3760AIM
10,false,602,700,,G3760AIN
10,true,701,799,,G3760AIO
10,false,702,800,,G3760AIP
10,true,801,899,,G3760AIQ
10,false,802,900,,G3760AIR
11,true,1,99,,G3760AJA
11,false,2,100,,G3760AJB
11,true,101,199,,G3760AJC
11,false,102,200,,G3760AJD
11,true,201,299,,G3760AJE
11,false,202,300,,G3760AJF
11,true,301,399,,G3760AJG
11,false,302,400,,G3760AJH
11,true,401,499,,G3760AJI
11,false,402,500,,G3760AJJ
11,true,501,599,,G3760AJK
11,false,502,600,,G3760AJL
11,true,601,699,,G3760AJM
11,false,602,700,,G3760AJN
11,true,701,799,,G3760AJO
11,false,702,800,,G3760AJP
