id,type,name,alternativeName,localityId,neighborhood
1,,Calle Alberdi,,1,
2,,Calle Aroni Raffo,,1,
3,,Calle B Mitre,,1,
4,,Calle Bernardino Rivadavia,,1,
5,,Calle Cordoba,,1,
6,,Calle Corrientes,,1,
7,,Calle Domingo F Sarmiento,,1,
8,,Calle Dr Mariano Moreno,,1,
9,,Calle Dr Maximo Castro,,1,
10,,Calle Entre Rios,,1,
11,,Calle España,,1,
12,,Calle Esteban Alves,,1,
13,,Calle F Cayetano Rodriguez,,1,
14,,Calle Francia,,1,
15,,Calle Gral Guemes,,1,
16,,Calle Gral J J de Urquiza,,1,
17,,Calle Gral Juan M de Pueyrredon,,1,
18,,Calle Gral Manuel Belgrano,,1,
19,,Calle Gral Paz,,1,
20,,Calle Gral San Martin,,1,
21,,Calle Gral Simon Bolivar,,1,
22,,Calle Guzman,,1,
23,,Calle J de Garay,,1,
24,,Calle L N Alem,,1,
25,,Calle Lucio V Mansilla,,1,
26,,Calle Malvinas Argentinas,,1,
27,,Calle Nacion,,1,
28,,Calle San Juan,,1,
29,,Calle San Luis,,1,
30,,Calle San Nicolas,,1,
31,,Calle Sgto Juan B Cabral,,1,
32,,Calle Vuelta de Obligado,,1,
