id,type,name,alternativeName,localityId,neighborhood
1,,Calle 25 de Mayo,,3540,
2,,Calle 9 de Julio,,3540,
3,,Calle B Mitre,,3540,
4,,Calle Bernardino Rivadavia,,3540,
5,,Calle Cap Jorge Garcia,,3540,
6,,Avenida Costanera Costanera,,3540,
7,,Calle Cristobal Colon,,3540,
8,,Calle Dr Guillermo Rawson,,3540,
9,,Calle Dr Manuel Belgrano,,3540,
10,,Calle Dr Mariano Moreno,,3540,
11,,Calle Florentino Ameghino,,3540,
12,,Calle Gral Guemes,,3540,
13,,Avenida Gral San Martin,,3540,
14,,Calle Islas Malvinas,,3540,
15,,Calle Jose Hernadez,,3540,
16,,Calle Jose Rodriguez Ajones,,3540,
17,,Calle Juan de la Piedra,,3540,
18,,Calle Marcucci,,3540,
19,,Calle Miguel Antonio Gonzalez,,3540,
20,,Calle Perito F P Moreno,,3540,
21,,Calle Pres Gral J A Roca,,3540,
22,,Calle Pte J D Peron,,3540,
23,,Calle San Juan Bosco,,3540,
24,,Calle Sarmiento,,3540,
25,,Boulevard Victor Antorena,,3540,
