id,type,name,alternativeName,localityId,neighborhood
1,,Calle 25 de Mayo,,5608,
2,,Calle Anastasio Lopez,,5608,
3,,Calle Beron de Astrada,,5608,
4,,Calle Caaguazu,,5608,
5,,Calle Cordoba,,5608,
6,,Calle Corrientes,,5608,
7,,Calle Dr Manuel Belgrano,,5608,
8,,Calle Gdor Juan V Pampin,,5608,
9,,Calle Ignacio Ojeda,,5608,
10,,Calle Juan XXIII,,5608,
11,,Calle Kennedy,,5608,
12,,Calle Madariaga,,5608,
13,,Calle Pio XII,,5608,
14,,Calle Placido Martinez,,5608,
15,,Calle Rivadavia,,5608,
16,,Avenida San Martin,,5608,
17,,Calle Santa Fe,,5608,
18,,Calle Sgto Juan B Cabral,,5608,
19,,Calle Tacuari,,5608,
