id,type,name,alternativeName,localityId,neighborhood
1,,Avenida 1 de Mayo,,3862,
2,,Calle 11 de Septiembre,,3862,
3,,Calle 25 de Mayo,,3862,
4,,Calle 9 de Julio,,3862,
5,,Calle Albarracin de Sarmiento,,3862,
6,,Calle Alberdi,,3862,
7,,Calle Alfonsina Storni,,3862,
8,,Calle Almafuerte,,3862,
9,,Calle B Mitre,,3862,
10,,Calle Bernardino Rivadavia,,3862,
11,,Pasaje C Gardel,,3862,
12,,Calle Cabildo,,3862,
13,,Calle Carlos Pellegrini,,3862,
14,,Calle Carlos Razzeto,,3862,
15,,Calle Caseros,,3862,
16,,Calle Castro Barros,,3862,
17,,Calle Catamarca,,3862,
18,,Calle Cordoba,,3862,
19,,Calle Corrientes,,3862,
20,,Calle Cristobal Colon,,3862,
21,,Calle Cura Brochero,,3862,
22,,Calle Dean Funes,,3862,
23,,Calle Domingo F Sarmiento,,3862,
24,,Calle Dr Alberto Sabin,,3862,
25,,Calle Dr Amadeo Sabattini,,3862,
26,,Calle Dr Carrillo,,3862,
27,,Calle Dr Cruz Laveaga,,3862,
28,,Calle Dr Eugenio Fodor,,3862,
29,,Calle Dr Francisco Netri,,3862,
30,,Avenida Dr Jose Ingenieros,,3862,
31,,Calle Dr Juan Jose Paso,,3862,
32,,Calle Dr Luis Pasteur,,3862,
33,,Calle Dr Manuel Belgrano,,3862,
34,,Calle Dr Mariano Moreno,,3862,
35,,Calle Dr Nicolas Avellaneda,,3862,
36,,Calle Dr Oñativia,,3862,
37,,Calle Dr Velez Sarsfield,,3862,
38,,Calle Enrique Sola,,3862,
39,,Calle Entre Rios,,3862,
40,,Calle Fernando Silvano,,3862,
41,,Calle Florentino Ameghino,,3862,
42,,Calle Francisco de Laprida,,3862,
43,,Calle Fray Sta Maria de Oro,,3862,
44,,Calle Fuerte Santa Catalina,,3862,
45,,Calle Gato y Mancha,,3862,
46,,Calle Gral Guemes,,3862,
47,,Calle Gral J J de Urquiza,,3862,
48,,Calle Gral Jose Maria Paz,,3862,
49,,Calle Gral Lopez,,3862,
50,,Avenida Gral San Martin,,3862,
51,,Calle Gral Simon Bolivar,,3862,
52,,Calle Guido Spano,,3862,
53,,Calle Independencia,,3862,
54,,Calle J Azurduy de Padilla,,3862,
55,,Calle J Manavella,,3862,
56,,Calle Joaquin V Gonzalez,,3862,
57,,Calle Jorge Newbery,,3862,
58,,Calle Jose Grando,,3862,
59,,Calle Jose Hernandez,,3862,
60,,Calle Jose Marmol,,3862,
61,,Calle Juan Hipolito Vieytes,,3862,
62,,Calle Juan Larrea,,3862,
63,,Calle Juan XXIII,,3862,
64,,Calle L N Alem,,3862,
65,,Calle La Rioja,,3862,
66,,Calle Las Heras,,3862,
67,,Calle Leopoldo Lugones,,3862,
68,,Calle Los Andes,,3862,
69,,Calle Los Granaderos,,3862,
70,,Calle Lucio V Mansilla,,3862,
71,,Calle Luis Torres,,3862,
72,,Calle Maipu,,3862,
73,,Calle Malvinas Argentinas,,3862,
74,,Calle Martin Fierro,,3862,
75,,Calle Mendoza,,3862,
76,,Calle Payanquen,,3862,
77,,Calle Pedro Moreno,,3862,
78,,Calle Pres Gral J A Roca,,3862,
79,,Calle Pte H Yrigoyen,,3862,
80,,Calle Pueyrredon,,3862,
81,,Calle R Saenz Peña,,3862,
82,,Calle Ranqueles,,3862,
83,,Calle Ricardo Guiraldes,,3862,
84,,Ruta Provincial Rp 24,,3862,
85,,Calle S/C,,3862,
86,,Calle S/C,,3862,
87,,Calle S/C,,3862,
88,,Calle S/C,,3862,
89,,Calle Salta,,3862,
90,,Calle San Juan,,3862,
91,,Calle San Juan Bosco,,3862,
92,,Calle San Lorenzo,,3862,
93,,Calle San Luis,,3862,
94,,Calle Santa Fe,,3862,
95,,Calle Santiago del Estero,,3862,
96,,Calle Thomas Edison,,3862,
97,,Calle Tucuman,,3862,
98,,Calle Vicente Lopez y Planes,,3862,
