id,type,name,alternativeName,localityId,neighborhood
1,,Pasaje Alfonsina Storni,,8943,
2,,Calle Alpachiri,,8943,
3,,Calle Alta Italia,,8943,
4,,Calle Anguil,,8943,
5,,Calle Arata,,8943,
6,,Calle Bernardo Larroude,,8943,
7,,Calle Bernasconi,,8943,
8,,Calle Caleufu,,8943,
9,,Calle Campos,,8943,
10,,Calle Catrilo,,8943,
11,,Calle Colonia Baron,,8943,
12,,Calle Conhelo,,8943,
13,,Calle Doblas,,8943,
14,,Calle Don Bosco,,8943,
15,,Calle Dr Jose Ingenieros,,8943,
16,,Pasaje Echeverria,,8943,
17,,Calle Eduardo Castex,,8943,
18,,Calle Embajador Martini,,8943,
19,,Calle Gral Mariano Acha,,8943,
20,,Calle Gral Pico,,8943,
21,,Calle Gral San Martin,,8943,
22,,Calle Guatrache,,8943,
23,,Calle Ing Luiggi,,8943,
24,,Calle Inte T Alvear,,8943,
25,,Calle Jacinto Arauz,,8943,
26,,Calle Juan Toro,,8943,
27,,Calle La Adela,,8943,
28,,Calle La Maruja,,8943,
29,,Calle Lonquimay,,8943,
30,,Calle Macachin,,8943,
31,,Calle Metileo,,8943,
32,,Calle Miguel Cane,,8943,
33,,Calle Miguel Riglos,,8943,
34,,Calle Monte Nievas,,8943,
35,,Calle Ocampo,,8943,
36,,Calle Parera,,8943,
37,,Pasaje Payro,,8943,
38,,Calle Pres J Figueroa Alcorta,,8943,
39,,Calle Quemu Quemu,,8943,
40,,Calle Rancul,,8943,
41,,Calle Realico,,8943,
42,,Calle Rosa Molina,,8943,
43,,Calle Santa Isabel,,8943,
44,,Calle Santa Maria de Toay,,8943,
45,,Avenida Santa Rosa,,8943,
46,,Calle Santa Teresa,,8943,
47,,Calle T M de Anchorena,,8943,
48,,Calle Telen,,8943,
49,,Calle Trenel,,8943,
50,,Calle Uriburu,,8943,
51,,Calle Victorica,,8943,
52,,Calle Virrey Vertiz,,8943,
53,,Calle Winifreda,,8943,
