id,type,name,alternativeName,localityId,neighborhood
1,,Calle 20 de Mayo Norte,,9612,
2,,Calle 20 de Mayo Sur,,9612,
3,,Calle 25 de Mayo,,9612,
4,,Calle 9 de Julio,,9612,
5,,Calle Alberdi,,9612,
6,,Calle Alte G Brown,,9612,
7,,Calle Bdier Facundo Quiroga,,9612,
8,,Calle Belgrano,,9612,
9,,Calle Buenos Aires,,9612,
10,,Calle 10,,9612,
11,,Calle 19,,9612,
12,,Calle 2,,9612,
13,,Calle 21,,9612,
14,,Calle 4,,9612,
15,,Calle 6,,9612,
16,,Pasaje Canal,,9612,
17,,Calle Casimiro Godoy,,9612,
18,,Avenida Castro Barros,,9612,
19,,Calle Catamarca,,9612,
20,,Calle Dardo de la Vega Diaz,,9612,
21,,Pasaje De los Estudiantes,,9612,
22,,Calle Del Bordo,,9612,
23,,Calle Del Norte,,9612,
24,,Calle Domingo F Sarmiento Norte,,9612,
25,,Calle Dorrego,,9612,
26,,Calle Dr Bellone,,9612,
27,,Calle España,,9612,
28,,Calle Eva Peron,,9612,
29,,Pasaje F Carril,,9612,
30,,Calle Francisco de Laprida,,9612,
31,,Calle Imelda Romero,,9612,
32,,Pasaje Iribarren,,9612,
33,,Calle Islas Malvinas,,9612,
34,,Calle Joaquin V Gonzalez,,9612,
35,,Calle Juan Carlos Sanchez,,9612,
36,,Calle La Plata,,9612,
37,,Calle Las Heras,,9612,
38,,Calle Leopoldo Lugones,,9612,
39,,Calle Leovino Martinez,,9612,
40,,Calle Lginio Albini,,9612,
41,,Calle Luis Mausuete de la Fuente,,9612,
42,,Calle Martin Fierro,,9612,
43,,Calle Misiones,,9612,
44,,Calle Nucete,,9612,
45,,Pasaje Paraguay,,9612,
46,,Calle Publica,,9612,
47,,Calle R Saenz Peña,,9612,
48,,Calle Republica,,9612,
49,,Calle Resistencia,,9612,
50,,Ruta Nacional Rn 60,,9612,
51,,Ruta Nacional Rn 75,,9612,
52,,Calle Roma,,9612,
53,,Calle Rosario Vera Peñaloza,,9612,
54,,Ruta Provincial Rp 9,,9612,
55,,Calle S/C,,9612,
56,,Calle S/C,,9612,
57,,Calle S/C,,9612,
58,,Calle S/C,,9612,
59,,Calle S/C,,9612,
60,,Calle S/C,,9612,
61,,Avenida San Francisco,,9612,
62,,Calle San Martin,,9612,
63,,Calle Santa Fe,,9612,
64,,Calle Santa Rosa,,9612,
65,,Calle Santiago del Estero,,9612,
66,,Calle Sarmiento Sur,,9612,
67,,Calle Severo Chumbita,,9612,
68,,Calle Vicente Almonacid,,9612,
