id,type,name,alternativeName,localityId,neighborhood
1,,Calle 25 de Mayo,,11461,
2,,Calle 9 de Julio,,11461,
3,,Calle Adolfo Jorge Pomar,,11461,
4,,Calle Ayacucho,,11461,
5,,Calle Bolivar,,11461,
6,,Calle Brasil,,11461,
7,,Calle Buenos Aires,,11461,
8,,Calle 1,,11461,
9,,Calle 2,,11461,
10,,Calle 3,,11461,
11,,Calle 4,,11461,
12,,Calle 5,,11461,
13,,Calle 6,,11461,
14,,Calle 7,,11461,
15,,Calle Chaco,,11461,
16,,Calle Cmte Andresito,,11461,
17,,Calle Comb de Obligado,,11461,
18,,Avenida Corrientes,,11461,
19,,Avenida De los Colonos,,11461,
20,,Calle Dr Mariano Moreno,,11461,
21,,Calle El Lapacho,,11461,
22,,Calle El Timbo,,11461,
23,,Calle Entre Rios,,11461,
24,,Calle España,,11461,
25,,Calle Formosa,,11461,
26,,Calle Gral Guemes,,11461,
27,,Calle Gral Manuel Belgrano,,11461,
28,,Calle Iguazu,,11461,
29,,Calle Jorge Kemerer,,11461,
30,,Calle Juan Foerster,,11461,
31,,Calle La Yerba,,11461,
32,,Calle Las Americas,,11461,
33,,Calle Los Ceibos,,11461,
34,,Calle Los Pinos,,11461,
35,,Calle Malvinas Argentinas,,11461,
36,,Calle Misiones,,11461,
37,,Calle Mocona,,11461,
38,,Calle Pedro Nuñez,,11461,
39,,Calle Peru,,11461,
40,,Calle Rep Argentina,,11461,
41,,Calle S/C,,11461,
42,,Calle San Lorenzo,,11461,
43,,Calle San Martin,,11461,
44,,Calle San Pablo,,11461,
45,,Calle Santa Fe,,11461,
46,,Calle Uruguay,,11461,
47,,Calle Venezuela,,11461,
48,,Avenida Virgen de Itati,,11461,
