id,type,name,alternativeName,localityId,neighborhood
1,,Calle 20 de Octubre,,11962,
2,,Calle Amancay,,11962,
3,,Calle Antartida Argentina,,11962,
4,,Calle Cacique Sayhueque,,11962,
5,,Calle Cap Emilio Crouzeilles,,11962,
6,,Avenida Cnel Olascoaga,,11962,
7,,Calle Cristian Joubert,,11962,
8,,Calle Dr Gregorio Alvarez,,11962,
9,,Calle Entre Rios,,11962,
10,,Calle Esteban Rivera,,11962,
11,,Calle Felix San Martin,,11962,
12,,Calle Gdarme Carruego,,11962,
13,,Calle Gral Conrado Villegas,,11962,
14,,Calle Islas Malvinas,,11962,
15,,Calle Jose Laiolo,,11962,
16,,Calle Juan Benigar,,11962,
17,,Calle Juan Bosco,,11962,
18,,Calle Julio Asoyo,,11962,
19,,Calle Juvenal Gusman,,11962,
20,,Calle La Pasto Verde,,11962,
21,,Calle Las Acacias,,11962,
22,,Calle Los Abedules,,11962,
23,,Calle Los Alamos,,11962,
24,,Calle Los Cipreses,,11962,
25,,Calle Los Fresnos,,11962,
26,,Calle Monseñor Cagliero,,11962,
27,,Calle Padre Domingo Milanesio,,11962,
28,,Calle Pedro Julio San Martin,,11962,
29,,Calle Pente Costal,,11962,
30,,Calle Perito F P Moreno,,11962,
31,,Calle Pioneros Patagonicos,,11962,
32,,Calle Primeros Pobladores,,11962,
33,,Avenida R I M 26,,11962,
34,,Calle Ramon Parra,,11962,
35,,Avenida Regimiento 4 de Caballeria,,11962,
36,,Calle Rio Alumine,,11962,
37,,Calle Santa Rita,,11962,
38,,Calle Sgto Ayte Libicura,,11962,
39,,Calle Teniente Candelaria,,11962,
40,,Calle Teniente Nicanor Lescano,,11962,
41,,Calle Torcuato Modarelli,,11962,
