id,type,name,alternativeName,localityId,neighborhood
1,,Pasaje 20 de Febrero,,12719,
2,,Diagonal 25 de Mayo,,12719,
3,,Diagonal 9 de Julio,,12719,
4,,Calle Alberdi,,12719,
5,,Pasaje Arenales,,12719,
6,,Avenida B Mitre,,12719,
7,,Avenida Belgrano,,12719,
8,,Avenida Dr Mariano Moreno,,12719,
9,,Calle Florentino Ameghino,,12719,
10,,Pasaje Gauchos de Guemes,,12719,
11,,Calle Gral Guemes,,12719,
12,,Pasaje Joaquin Castellanos,,12719,
13,,Calle Jose Marmol,,12719,
14,,Pasaje Juan Tanquia,,12719,
15,,Calle Juana Manuela Gorriti,,12719,
16,,Calle Las Madreselvas,,12719,
17,,Calle Libertad,,12719,
18,,Calle Los Alamos,,12719,
19,,Calle Los Arrayanes,,12719,
20,,Calle Los Cedros,,12719,
21,,Calle Los Cipreses,,12719,
22,,Calle Los Lapachos,,12719,
23,,Pasaje Los Matacos,,12719,
24,,Calle Los Nogales,,12719,
25,,Calle Los Paraisos,,12719,
26,,Calle Los Pinos,,12719,
27,,Calle Los Tartagos,,12719,
28,,Calle Pte H Yrigoyen,,12719,
29,,Calle R Saenz Peña,,12719,
30,,Avenida Rivadavia,,12719,
31,,Calle S/C,,12719,
32,,Calle S/C,,12719,
33,,Calle S/C,,12719,
34,,Calle S/C,,12719,
35,,Calle S/C,,12719,
36,,Calle S/C,,12719,
37,,Calle S/C,,12719,
38,,Calle S/C,,12719,
39,,Calle S/C,,12719,
40,,Calle S/C,,12719,
41,,Pasaje San Francisco,,12719,
42,,Avenida San Francisco,,12719,
43,,Avenida San Martin,,12719,
44,,Avenida Sarmiento,,12719,
45,,Pasaje Sgto Juan B Cabral,,12719,
46,,Calle Villa Sagrada,,12719,
47,,Calle Virgilio de Brito,,12719,
