id,type,name,alternativeName,localityId,neighborhood
1,,Calle Antonio Aberastain,,13790,
2,,Calle Antonio Quero,,13790,
3,,Calle Antonio Quiroga,,13790,
4,,Callejon Balmaceda,,13790,
5,,Calle Begueri,,13790,
6,,Calle Bilbao,,13790,
7,,Calle Doncel,,13790,
8,,Calle Dos Alamos,,13790,
9,,Calle Dr Amable Jones,,13790,
10,,Calle Dr Bernardo Houssay,,13790,
11,,Calle Etchegaray,,13790,
12,,Calle Florida,,13790,
13,,Calle Francisco de Laprida,,13790,
14,,Calle Fray Luis Beltran,,13790,
15,,Calle Gdor J M de la Rosa,,13790,
16,,Callejon Gonzalez,,13790,
17,,Diagonal Gral San Martin,,13790,
18,,Calle Jorge Yacante,,13790,
19,,Calle Leon Tourres,,13790,
20,,Calle Los Indios,,13790,
21,,Calle Maestro Oscar Sage,,13790,
22,,Diagonal Maestro Sarmiento,,13790,
23,,Calle Majadita,,13790,
24,,Calle Maurin,,13790,
25,,Calle Oratorio,,13790,
26,,Calle Paraguay,,13790,
27,,Calle Pastoriza,,13790,
28,,Calle Ripoll,,13790,
29,,Ruta Provincial Rp 273,,13790,
30,,Ruta Provincial Rp 83,,13790,
31,,Calle Tomas Bates,,13790,
32,,Calle Tomas Benavidez,,13790,
33,,Calle Valentin Videla,,13790,
34,,Calle Viejo Vecino Saul Goransky,,13790,
