id,type,name,alternativeName,localityId,neighborhood
1,,Calle 12 de Octubre,,15683,
2,,Avda Circunvalacion 25 de Mayo,,15683,
3,,Calle 4 de Diciembre,,15683,
4,,Calle 9 de Julio,,15683,
5,,Calle Antartida Argentina,,15683,
6,,Calle Buenos Aires,,15683,
7,,Calle Chubut,,15683,
8,,Calle Constitucion,,15683,
9,,Calle Cordoba,,15683,
10,,Calle Entre Rios,,15683,
11,,Calle Formosa,,15683,
12,,Calle Gdor Gregores,,15683,
13,,Calle Gral San Martin,,15683,
14,,Pasaje Islas Malvinas,,15683,
15,,Calle Juan la Ferte,,15683,
16,,Calle La Pampa,,15683,
17,,Calle La Rioja,,15683,
18,,Calle Leopoldo Veroheven,,15683,
19,,Pasaje Leopoldo Veroheven,,15683,
20,,Calle Libertad,,15683,
21,,Calle Maestro Sarmiento,,15683,
22,,Calle Mendoza,,15683,
23,,Calle Neuquen,,15683,
24,,Calle Perito F P Moreno,,15683,
25,,Avenida Pte H Yrigoyen,,15683,
26,,Calle S/C,,15683,
27,,Calle San Luis,,15683,
28,,Calle Santa Fe,,15683,
29,,Calle Scalabrini Ortiz,,15683,
30,,Calle Tte A del Castillo,,15683,
31,,Avenida Tte Gral Juan D Peron,,15683,
32,,Calle Tucuman,,15683,
33,,Calle Victoria,,15683,
