id,type,name,alternativeName,localityId,neighborhood
1,,Calle Aristobulo del Valle,,15895,
2,,Calle Asurmendi Bis,,15895,
3,,Calle Bernardino Rivadavia,,15895,
4,,Pasaje Buenos Aires,,15895,
5,,Calle 1,,15895,
6,,Calle Carlos Pellegrini,,15895,
7,,Avenida Centenario,,15895,
8,,Calle Centenario Bis,,15895,
9,,Pasaje Cordoba,,15895,
10,,Calle Domingo F Sarmiento,,15895,
11,,Calle Dr Julio Maiztegui,,15895,
12,,Calle Dr Mariano Moreno,,15895,
13,,Calle Gral Cornelio Saavedra,,15895,
14,,Calle Gral Guemes,,15895,
15,,Calle Gral J J de Urquiza,,15895,
16,,Calle Gral Juan Lavalle,,15895,
17,,Calle Gral Lopez,,15895,
18,,Calle Gral Manuel Belgrano,,15895,
19,,Calle Gral Mitre,,15895,
20,,Calle Gral O Higgins,,15895,
21,,Calle Gral San Martin,,15895,
22,,Calle Ignacio Asurmendi,,15895,
23,,Calle Las Heras,,15895,
24,,Pasaje Leocadio Bernardi,,15895,
25,,Calle Maria Sa Pereyra de Acebal,,15895,
26,,Calle Pres Gral J A Roca,,15895,
27,,Calle Pres Manuel Quintana,,15895,
28,,Pasaje Principe Agustin,,15895,
29,,Calle Publica A,,15895,
30,,Calle Publica B,,15895,
31,,Calle Publica C,,15895,
32,,Calle R Saenz Peña,,15895,
33,,Ruta Nacional Rn 26,,15895,
34,,Pasaje San Patricio,,15895,
35,,Pasaje Santa Fe,,15895,
36,,Avenida Simon de Iriondo,,15895,
