id,type,name,alternativeName,localityId,neighborhood
1,,Calle 1 de Mayo,,16873,
2,,Calle 12 de Octubre,,16873,
3,,Calle 2 de Abril,,16873,
4,,Calle 24 de Septiembre,,16873,
5,,Avenida 25 de Mayo Norte,,16873,
6,,Avenida 25 de Mayo Sur,,16873,
7,,Calle 3 de Febrero,,16873,
8,,Avenida 9 de Julio,,16873,
9,,Avenida 9 de Julio Sur,,16873,
10,,Calle Absalon Rojas,,16873,
11,,Calle Agustina Libarona,,16873,
12,,Calle Alberdi,,16873,
13,,Avenida Alte G Brown,,16873,
14,,Calle Amancio Alcorta,,16873,
15,,Calle Angel Corbeta,,16873,
16,,Pasaje Antartida Argentina,,16873,
17,,Calle Araoz de Lamadrid,,16873,
18,,Calle Aristobulo del Valle,,16873,
19,,Avenida Avellaneda,,16873,
20,,Calle B Mataderos,,16873,
21,,Calle B Mitre,,16873,
22,,Pasaje Basla,,16873,
23,,Calle Bdier Facundo Quiroga,,16873,
24,,Calle Beato Francisco Coll,,16873,
25,,Calle Benjamin Lavaysse,,16873,
26,,Calle Buenos Aires,,16873,
27,,Calle C Gardel,,16873,
28,,Calle Cap de Fgta P Giachino,,16873,
29,,Calle Catamarca,,16873,
30,,Calle Cbo Farina,,16873,
31,,Calle Cdad de Clodomira,,16873,
32,,Calle Cdad de Fernandez,,16873,
33,,Calle Cdad de Frias,,16873,
34,,Calle Chacabuco,,16873,
35,,Pasaje Chaco,,16873,
36,,Calle Cnel Juan F Borges,,16873,
37,,Calle Conquista del Desierto,,16873,
38,,Calle Constitucion,,16873,
39,,Pasaje Darwich,,16873,
40,,Avenida Del Trabajo,,16873,
41,,Calle Don Segundo Sombra,,16873,
42,,Calle Dr Alberto Murad,,16873,
43,,Avenida Dr Atenor Alvarez,,16873,
44,,Calle Dr Bernardo de Irigoyen,,16873,
45,,Avenida Dr Eduardo Dumas,,16873,
46,,Calle Dr Jose Ingenieros,,16873,
47,,Calle Dr Juan Jose Paso,,16873,
48,,Calle Dr Lisandro de la Torre,,16873,
49,,Calle Dr Stenberg,,16873,
50,,Calle Dra Norma Morales,,16873,
51,,Calle El Bracho,,16873,
52,,Calle Enrique Bonavita,,16873,
53,,Calle Enrique Montesinos,,16873,
54,,Calle Entre Rios,,16873,
55,,Calle Ernesto Abregu,,16873,
56,,Avenida España,,16873,
57,,Calle Espinosa,,16873,
58,,Calle Eulogio Moreno,,16873,
59,,Calle Facundo,,16873,
60,,Calle Falucho,,16873,
61,,Calle Felipe Varela,,16873,
62,,Calle Ferrocarriles Arg,,16873,
63,,Calle Florencio Sanchez,,16873,
64,,Calle Florentino Gorostidi,,16873,
65,,Avenida Francisco de Aguirre,,16873,
66,,Calle Fray Juan Grande,,16873,
67,,Calle Fray Mamerto Esquiu,,16873,
