id,type,name,alternativeName,localityId,neighborhood
1,,Pasaje 1 de Julio,,18601,
2,,Pasaje 1 de Mayo,,18601,
3,,Calle 1 de Mayo,,18601,
4,,Pasaje 10 de Diciembre,,18601,
5,,Calle 11 de Julio,,18601,
6,,Calle 12 de Octubre,,18601,
7,,Calle 14 de Abril,,18601,
8,,Pasaje 17 de Agosto,,18601,
9,,Pasaje 17 de Octubre,,18601,
10,,Calle 20 de Junio,,18601,
11,,Calle 22 de Mayo,,18601,
12,,Calle 25 de Mayo,,18601,
13,,Pasaje 26 de Julio,,18601,
14,,Pasaje 8 de Octubre,,18601,
15,,Calle 9 de Julio,,18601,
16,,Pasaje 9 de Julio,,18601,
17,,Calle Adolfo Saldias,,18601,
18,,Calle Aeroposta Argentina,,18601,
19,,Calle Agustin Vidal,,18601,
20,,Calle Albarracin de Sarmiento,,18601,
21,,Calle Alberdi,,18601,
22,,Calle Albert Einstein,,18601,
23,,Calle Albert Schweitzer,,18601,
24,,Calle Alf Jose M Sobral,,18601,
25,,Calle Alf Mackinlay,,18601,
26,,Calle Alfonsina Storni,,18601,
27,,Calle Alicia Moreau de Justo,,18601,
28,,Calle Almafuerte,,18601,
29,,Calle Alte G Brown,,18601,
30,,Calle Angela Loig,,18601,
31,,Calle Angela Vallese,,18601,
32,,Calle Antartida Argentina,,18601,
33,,Pasaje Antonio Rivero,,18601,
34,,Calle Arwenholl,,18601,
35,,Pasaje Azopardo,,18601,
36,,Calle Bat de Pavon,,18601,
37,,Calle Bdier Facundo Quiroga,,18601,
38,,Calle Belisario Roldan,,18601,
39,,Calle Bernardino Rivadavia,,18601,
40,,Calle Buenos Aires,,18601,
41,,Calle C Gardel,,18601,
42,,Pasaje C Gardel,,18601,
43,,Calle Cabo de Hornos,,18601,
44,,Calle 1,,18601,
45,,Calle Camila O Gorman,,18601,
46,,Calle Canal Moat,,18601,
47,,Calle Carlos Alberto Lisa,,18601,
48,,Calle Carlos Darwin,,18601,
49,,Calle Carlos Herrera,,18601,
50,,Calle Carlos Maripo Moyano,,18601,
51,,Calle Carlos Pellegrini,,18601,
52,,Calle Catamarca,,18601,
53,,Pasaje Ceferino Namuncura,,18601,
54,,Calle Chacabuco,,18601,
55,,Pasaje Chamorro,,18601,
56,,Calle Chamorro,,18601,
57,,Pasaje Chile,,18601,
58,,Calle Chubut,,18601,
59,,Calle Cirilo Thomas,,18601,
60,,Calle Cmte Juan M Cabot,,18601,
61,,Calle Cmte Luis Piedrabuena,,18601,
62,,Calle Cnel de Marina Rosales,,18601,
63,,Calle Comb de Montevideo,,18601,
64,,Calle Comodoro Py,,18601,
65,,Calle Complementaria C,,18601,
66,,Calle Complementaria F,,18601,
67,,Calle Conquista del Desierto,,18601,
68,,Calle Cordoba,,18601,
69,,Calle Corrientes,,18601,
70,,Pasaje Costa Rica,,18601,
71,,Calle Cristobal Colon,,18601,
72,,Calle Crucero Gral Belgrano,,18601,
73,,Calle Curupayti,,18601,
74,,Calle Domingo F Sarmiento,,18601,
75,,Pasaje Domingo Matheu,,18601,
76,,Calle Domingo Savio,,18601,
77,,Calle Don Bosco,,18601,
78,,Calle Dr Alberto Sabin,,18601,
79,,Calle Dr Alexander Fleming,,18601,
80,,Calle Dr Amadeo Sabattini,,18601,
81,,Calle Dr Arturo Illia,,18601,
82,,Calle Dr Arturo Jauretche,,18601,
83,,Calle Dr Bernardo Houssay,,18601,
84,,Calle Dr Carlos Pacheco,,18601,
85,,Calle Dr Federico Leloir,,18601,
86,,Calle Dr Jose Ingenieros,,18601,
87,,Calle Dr Juan Bautista Justo,,18601,
88,,Calle Dr Juan Jose Paso,,18601,
89,,Calle Dr Lisandro de la Torre,,18601,
90,,Calle Dr Luis Pasteur,,18601,
91,,Calle Dr Mariano Moreno,,18601,
92,,Pasaje Dr Nicolas Avellaneda,,18601,
93,,Calle Dr Ramon Carrillo,,18601,
94,,Calle Dr Raul Chiflet,,18601,
95,,Calle Dr Ricardo Balbin,,18601,
96,,Calle Dr Roberto Koch,,18601,
97,,Calle Dr Saavedra Lamas,,18601,
98,,Pasaje E Sampay,,18601,
99,,Calle E Van Aken Telmas,,18601,
100,,Calle El Alambrador,,18601,
101,,Calle El Botero,,18601,
102,,Calle El Esquilador,,18601,
