Escuela 339,T4187XCG,Tucumán
Obraje,T4129XAB,Tucumán
La Cuesta,T4126XAC,Tucumán
Gonzalo,T4122XBD,Tucumán
Virginia,T4186XAC,Tucumán
Tucumán,T4174XAX,La Tuna
Ruta Provincial 338,T4105XBB,Tucumán
El Barranquero,T4176XCX,Tucumán
Abra del Tafi,T4105XBK,Tucumán
El Naranjito,T4115XAF,Tucumán
El Talar,T4124XAD,Tucumán
Bajastine,T4164XAC,Tucumán
Ramaditas,T4242XBB,Tucumán
Anchillos,T4141XAH,Tucumán
Puesto 9 de Julio,T4242XBO,Tucumán
Tucumán,T4128XBK,Ruta Nacional 157
San Vicente,T4122XBJ,Tucumán
El Arenal,T4124XEB,Tucumán
San Juancito,T4242XBQ,Tucumán
Calera de Chirimayo,T4146XBQ,Tucumán
Casa de Campo,Buscar CPA,tucuman
Campo de los Cardones,T4137XCA,Tucumán
Los Santillan,Buscar CPA,Santiago del Estero
Escuela 21,Buscar CPA,tucuman
Escuela 104,T4168XEA,Tucumán
Casa Vieja,T4162XAE,Tucumán
Kilometro 1194,T4174XBG,Tucumán
Yaco,T4122XBV,Tucumán
Escuela 288,T4152XBI,Tucumán
Los Rojos,T4143XAD,Tucumán
El Espinal,A4126XAW,Salta
Punta de Rieles,T4115XBS,Tucumán
Cuesta de Chilca,T4146XAR,Tucumán
Los Cordoba,T4157XAO,Tucumán
Escuela 6,Buscar CPA,tucuman
Lomas de Imbaud,T4105XBA,Tucumán
Tucumán,T4124XDK,Cachi Yaco
Escuela 237,T4172XCR,Tucumán
Escuela 326,T4187XCE,Tucumán
Escuela 121,T4142XBC,Tucumán
Escuela 95,T4172XBV,Tucumán
Cevilarcito,T4111XCC,Tucumán
Escuela 302,T4176XBA,Tucumán
Favorina,T4115XAD,Tucumán
Tucumán,T4124XBT,Rearte
Ingenio los Ralos,T4182XAJ,Tucumán
Casa Santa,T4176XBV,Tucumán
Lapachitos,T4186XAK,Tucumán
Tucumán,T4242XAA,La Zanja
Aserradero,T4101XBV,Tucumán
Escuela 143,T4142XBH,Tucumán
Puerta San Javier,T4107XAM,Tucumán
Delfin Gallo,T4117XBA,Tucumán
Escuela M Ariza,T4142XCX,Tucumán
Belicha Huaico,T4149XAJ,Tucumán
Las Acostillas,T4113XAW,Tucumán
Esquina Norte,T4132XCH,Tucumán
Escuela 268,T4146XAK,Tucumán
Tucumán,T4122XAU,Rodeo Grande
Escuela 51,T4128XAY,Tucumán
Tuna Sola,T4122XAZ,Tucumán
El Naranjo,A4191XAC,Salta
Tucumán,T4124XCA,Tacanas
Escuela Gomez,T4172XCC,Tucumán
Alurralde,T4122XBF,Tucumán
El Milagro,T4124XDQ,Tucumán
El Cebil,T4152XAY,Tucumán
Barrancas,T4176XBP,Tucumán
Amberes,T4144XAD,Tucumán
Alto de Anfama,T4137XAA,Tucumán
Los Alamitos,T4158XBK,Tucumán
El Naranjo,T4113XAY,Tucumán
Barrio Textil,T4146XBP,Tucumán
Arocas,T4174XAO,Tucumán
Escuela 286,T4172XCV,Tucumán
Campo de Talamayo,T4158XBO,Tucumán
El Cuadro,Buscar CPA,tucuman
El Carmen,T4137XCO,Tucumán
Ciudacita,T4172XCM,Tucumán
Mal Paso,T4157XAH,Tucumán
Bella Vista,Buscar CPA,Tucumán
Villa la Trinidad,Buscar CPA,Tucumán
El Arqueal,T4137XCN,Tucumán
Ticucho,T4122XAY,Tucumán
Casa de Piedra,T4142XAM,Tucumán
Escaba,T4158XAN,Tucumán
El Rincon,T4157XAD,Tucumán
Cochuna,T4149XAE,Tucumán
El Cochuchal,T4117XBB,Tucumán
Colonia Marull,T4152XAU,Tucumán
El Naranjal,T4142XAZ,Tucumán
Escuela Velez Sarsfield,T4132XCG,Tucumán
El Churqui,G4184XBM,Santiago del Estero
El Chorro,T4124XFA,Tucumán
Escuela 152,T4187XAQ,Tucumán
Escuela 257,T4132XBV,Tucumán
Kilometro 180,T4000XAE,Tucumán
Salinas,T4122XAW,Tucumán
El Bagual,G4178XAA,Santiago del Estero
Escuela Manuel Domingo Bassail,T4146XBK,Tucumán
Tucumán,T4174XAY,Loma Grande
El Quebrachal,T4124XCY,Tucumán
Abra Baya,T4137XBL,Tucumán
Nuevo Pueblo la Florida,T4117XBJ,Tucumán
Barrio Casino,T4107XAF,Tucumán
Tucumán,T4103XAJ,El Duraznito
El Frasquillo,T4119XCR,Tucumán
Marapa,T4158XAU,Tucumán
Los Tres Bajos,T4161XAO,Tucumán
Escuela 247,T4128XAT,Tucumán
Tucumán,T4174XBZ,Los Perez
Escuela 63,T4132XCB,Tucumán
Lules,Buscar CPA,Tucumán
Colonia Mercedes,T4178XAH,Tucumán
Loma Verde,T4111XAZ,Tucumán
Criollas,T4122XBH,Tucumán
Moron,T4242XBL,Tucumán
Escuela 307,T4158XBD,Tucumán
Kilometro 36,T4158XAP,Tucumán
Escuela F Nogues,T4128XBD,Tucumán
Manantial de Ovanta,T4105XBG,Tucumán
Kilometro 102,T4132XBL,Tucumán
Finca Elisa,T4111XAC,Tucumán
El Rodeo,T4174XBP,Tucumán
Escuela 320,T4152XAO,Tucumán
Escuela 376,T4158XAK,Tucumán
Tucumán,T4101XCV,Chorrillos
Cevil Redondo,Buscar CPA,Tucumán
Puesto de los Valdes,T4149XAC,Tucumán
Simbolar,T4122XBM,Tucumán
Escuela 162,T4172XAZ,Tucumán
Tucumán,T4124XBD,La Aguada
Escuela 39,T4128XAX,Tucumán
El Barrialito,T4119XFI,Tucumán
Escuela 70,T4101XAW,Tucumán
El Paso,T4141XAE,Tucumán
Tala Bajada,T4195XAG,Tucumán
Alto de la Angostura,T4124XDF,Tucumán
Colonia Nro 2,T4187XAB,Tucumán
Escuela Capitan Gaspar de Medi,T4101XAX,Tucumán
Vipos,T4122XBB,Tucumán
Escuela 122,T4168XEE,Tucumán
Batiruana,T4162XCC,Tucumán
Macho Rastrojo,A4141XAB,Salta
El Chilcar,T4172XCN,Tucumán
Huturungo,G4184XBI,Santiago del Estero
Tucumán,T4124XBL,Los Puestos
Escuela 207,T4168XAN,Tucumán
Escuela 197,T4132XBC,Tucumán
Colonia Naschi,T4152XAV,Tucumán
Escaba de Abajo,T4158XAW,Tucumán
Escuela 164,T4101XAK,Tucumán
Tambor de Tacuari,T4117XBL,Tucumán
Tucumán,T4152XAD,Santa Rosa
Puente Rio Sali,T4109XAG,Tucumán
El Batiruano,Buscar CPA,tucuman
Escuela 337,Buscar CPA,tucuman
Escuela 51,Buscar CPA,tucuman
Tres Flores,G4184XBG,Santiago del Estero
Ingenio Santa Ana,T4155XAD,Tucumán
Barborin,T4124XCJ,Tucumán
Escuela 269,T4172XCU,Tucumán
El Junquillar,T4124XDP,Tucumán
Escuela 189,T4176XAX,Tucumán
Escuela 188,Buscar CPA,tucuman
Ingenio Concepcion,T4109XAF,Tucumán
El Cuibal,A4126XAF,Salta
El Prado,T4184XAC,Tucumán
Alto del Puesto,T4176XBQ,Tucumán
Escuela Granaderos de San Mart,T4105XAW,Tucumán
Encrucijada,T4242XAX,Tucumán
Ampatilla,T4174XBX,Tucumán
Campo de las Gallinas,Buscar CPA,tucuman
Tucumán,T4128XAJ,El Ceibal
El Espinal,T4137XAB,Tucumán
El Molle Viejo,T4137XDD,Tucumán
Ingenio Marapa,T4158XBT,Tucumán
Tucumán,T4122XAN,Desmonte
Los Agueros,T4174XAA,Tucumán
Cruz Alta,T4178XBY,Tucumán
Cañada Larga,T4101XBI,Tucumán
Las Criollas,T4124XCN,Tucumán
El Tostado,Buscar CPA,tucuman
Monasterio,T4103XAP,Tucumán
Choromoro,T4122XAL,Tucumán
Las Cañitas,T4124XBI,Tucumán
El Cadillal,Buscar CPA,tucuman
Tucumán,T4152XAJ,Mercedes
Alto Nuestra Señora del Valle,T4109XAB,Tucumán
El Palomar,G5253XAS,Santiago del Estero
Lescano,T4146XBC,Tucumán
Estacion de Zootecnia B,T4000XAG,Tucumán
Las Cejas,T4172XAO,Tucumán
La Planta,T4174XBS,Tucumán
Java,T4149XAT,Tucumán
Pueblo Obrero,T4103XAR,Tucumán
Los Ocho Cuartos,T4152XAE,Tucumán
Escuela 264,T4152XBD,Tucumán
Escuela 180,T4176XAI,Tucumán
Esquina,T4111XCG,Tucumán
Noario,T4113XAN,Tucumán
La Ramada,T4103XAD,Tucumán
Rio Lules,T4166XAA,Tucumán
Escuela 93,T4172XBS,Tucumán
Chamico,T4119XBX,Tucumán
Escuela 165,T4142XCP,Tucumán
Campo Blanco,T4137XBY,Tucumán
Casas Viejas,T4124XDY,Tucumán
El Jardin,A4126XAV,Salta
Ingenio la Fronterita,T4132XCI,Tucumán
Colonia Agricola,T4111XBJ,Tucumán
Las Animas,T4176XDV,Tucumán
Anta,Buscar CPA,tucuman
Los Guchea,T4151XAQ,Tucumán
San Pereyra,T4182XAB,Tucumán
Araoz,T4178XFD,Tucumán
La Salvacion,Buscar CPA,Tucumán
Escuela 322,T4172XBI,Tucumán
Tucumán,T4172XCO,El Jardin
Escuela 84,T4172XBR,Tucumán
El Toro,T4137XDG,Tucumán
Las Cuevas,T4146XAM,Tucumán
Escuela 267,T4158XBC,Tucumán
San Felipe,T4105XBU,Tucumán
Cevil Redondo,Buscar CPA,tucuman
Ingas,T4174XBU,Tucumán
Tucumán,T4101XBE,La Cienaga
Laguna Blanca,T4111XBU,Tucumán
El Pelado de Paranillo,T4124XED,Tucumán
Escuela Olegario Andrade,T4162XBU,Tucumán
Tucumán,T4172XAO,Las Cejas
Camino del Peru,T4105XBD,Tucumán
Huasa Pampa Norte,T4163XAE,Tucumán
Cuatro Sauces,Buscar CPA,tucuman
Escuela 212,T4128XAQ,Tucumán
Lolita,T4182XAF,Tucumán
Escuela 256,T4101XAP,Tucumán
Aranilla,Buscar CPA,tucuman
Escuela 156,T4168XEK,Tucumán
Puesto Cienaga Amarilla,T4103XAO,Tucumán
Sacrificio,T4161XAI,Tucumán
El Puesto,T4178XBA,Tucumán
Escuela 147,T4168XEI,Tucumán
Tucumán,T4111XBP,Pozo del Alto
Escuela V Generala,T4158XBE,Tucumán
Campo Zauzal,T4137XCS,Tucumán
Piedra Grande,T4146XBO,Tucumán
La Maravilla,A4430XBA,Salta
La Calera,T4158XBG,Tucumán
Alto de los Reales,T4137XBR,Tucumán
Humaita 1,T4151XAO,Tucumán
El Rosario,T4113XAZ,Tucumán
Miraflores,A4434XBT,Salta
Escuela Araoz Alfaro,T4172XBZ,Tucumán
El Guardamonte,T4113XAF,Tucumán
Ramos,T4242XBC,Tucumán
El Lamparazo,T4137XDB,Tucumán
Casa de Campo,T4137XCQ,Tucumán
Escuela 346,T4176XAT,Tucumán
Escuela Pedro Medrano,T4162XBV,Tucumán
Escuela 64,T4152XAP,Tucumán
Tucumán,T4172XCI,Buena Vista
Escuela 137,T4152XAZ,Tucumán
Villa Muñecas,T4000XAA,Tucumán
Monte Potrero,G4197XAN,Santiago del Estero
Escuela 113,T4105XAT,Tucumán
Mancopa Chico,T4115XBI,Tucumán
Negro Potrero,T4135XAL,Tucumán
Las Cejas,G4221XAG,Santiago del Estero
Escuela 69,T4158XAL,Tucumán
Guzman Estacion Fcgb,T4117XBF,Tucumán
Añil,G4184XAT,Santiago del Estero
Sauce Yacu,T4122XBK,Tucumán
Potrerillos,T4162XBP,Tucumán
El Manantial,Buscar CPA,Tucumán
Chavarria,T4155XAI,Tucumán
El Potrero,T4124XAF,Tucumán
Abra del Infiernillo,T4137XBO,Tucumán
Agua Dulce,T4168XDG,Tucumán
Escuela 206,T4132XBU,Tucumán
Tucumán,T4124XDQ,El Milagro
Rodeo del Algarrobo,T4122XAT,Tucumán
Caspinchango,T4135XAC,Tucumán
Yatapayana,T4113XAQ,Tucumán
Escuela 88,Buscar CPA,tucuman
Escuela Alfonsina Storni,T4152XAS,Tucumán
Las Leguas,T4149XAN,Tucumán
Multiflores,T4152XAL,Tucumán
Colonia Juan Jose Iramain,T4147XAB,Tucumán
Ea la Verde,G4184XBL,Santiago del Estero
Escuela 151,T4176XAD,Tucumán
Escuela 198,T4172XBC,Tucumán
Escuela 355,T4162XBQ,Tucumán
Escuela 11,T4168XEC,Tucumán
Escuela 339,Buscar CPA,tucuman
