id,name,zip,sate
0000001,Escuela 339,T4187XCG,Tucumán
0000002,Obraje,T4129XAB,Tucumán
0000003,La Cuesta,T4126XAC,Tucumán
0000004,Gonzalo,T4122XBD,Tucumán
0000005,Virginia,T4186XAC,Tucumán
0000006,Tucumán,T4174XAX,La Tuna
0000007,Ruta Provincial 338,T4105XBB,Tucumán
0000008,El Barranquero,T4176XCX,Tucumán
0000009,Abra del Tafi,T4105XBK,Tucumán
0000010,El Naranjito,T4115XAF,Tucumán
0000011,El Talar,T4124XAD,Tucumán
0000012,Bajastine,T4164XAC,Tucumán
0000013,Ramaditas,T4242XBB,Tucumán
0000014,Anchillos,T4141XAH,Tucumán
0000015,Puesto 9 de Julio,T4242XBO,Tucumán
0000016,Tucumán,T4128XBK,Ruta Nacional 157
0000017,San Vicente,T4122XBJ,Tucumán
0000018,El Arenal,T4124XEB,Tucumán
0000019,San Juancito,T4242XBQ,Tucumán
0000020,Calera de Chirimayo,T4146XBQ,Tucumán
0000021,Casa de Campo,Buscar CPA,tucuman
0000022,Campo de los Cardones,T4137XCA,Tucumán
0000023,Los Santillan,Buscar CPA,Santiago del Estero
0000024,Escuela 21,Buscar CPA,tucuman
0000025,Escuela 104,T4168XEA,Tucumán
0000026,Casa Vieja,T4162XAE,Tucumán
0000027,Kilometro 1194,T4174XBG,Tucumán
0000028,Yaco,T4122XBV,Tucumán
0000029,Escuela 288,T4152XBI,Tucumán
0000030,Los Rojos,T4143XAD,Tucumán
0000031,El Espinal,A4126XAW,Salta
0000032,Punta de Rieles,T4115XBS,Tucumán
0000033,Cuesta de Chilca,T4146XAR,Tucumán
0000034,Los Cordoba,T4157XAO,Tucumán
0000035,Escuela 6,Buscar CPA,tucuman
0000036,Lomas de Imbaud,T4105XBA,Tucumán
0000037,Tucumán,T4124XDK,Cachi Yaco
0000038,Escuela 237,T4172XCR,Tucumán
0000039,Escuela 326,T4187XCE,Tucumán
0000040,Escuela 121,T4142XBC,Tucumán
0000041,Escuela 95,T4172XBV,Tucumán
0000042,Cevilarcito,T4111XCC,Tucumán
0000043,Escuela 302,T4176XBA,Tucumán
0000044,Favorina,T4115XAD,Tucumán
0000045,Tucumán,T4124XBT,Rearte
0000046,Ingenio los Ralos,T4182XAJ,Tucumán
0000047,Casa Santa,T4176XBV,Tucumán
0000048,Lapachitos,T4186XAK,Tucumán
0000049,Tucumán,T4242XAA,La Zanja
0000050,Aserradero,T4101XBV,Tucumán
0000051,Escuela 143,T4142XBH,Tucumán
0000052,Puerta San Javier,T4107XAM,Tucumán
0000053,Delfin Gallo,T4117XBA,Tucumán
0000054,Escuela M Ariza,T4142XCX,Tucumán
0000055,Belicha Huaico,T4149XAJ,Tucumán
0000056,Las Acostillas,T4113XAW,Tucumán
0000057,Esquina Norte,T4132XCH,Tucumán
0000058,Escuela 268,T4146XAK,Tucumán
0000059,Tucumán,T4122XAU,Rodeo Grande
0000060,Escuela 51,T4128XAY,Tucumán
0000061,Tuna Sola,T4122XAZ,Tucumán
0000062,El Naranjo,A4191XAC,Salta
0000063,Tucumán,T4124XCA,Tacanas
0000064,Escuela Gomez,T4172XCC,Tucumán
0000065,Alurralde,T4122XBF,Tucumán
0000066,El Milagro,T4124XDQ,Tucumán
0000067,El Cebil,T4152XAY,Tucumán
0000068,Barrancas,T4176XBP,Tucumán
0000069,Amberes,T4144XAD,Tucumán
0000070,Alto de Anfama,T4137XAA,Tucumán
0000071,Los Alamitos,T4158XBK,Tucumán
0000072,El Naranjo,T4113XAY,Tucumán
0000073,Barrio Textil,T4146XBP,Tucumán
0000074,Arocas,T4174XAO,Tucumán
0000075,Escuela 286,T4172XCV,Tucumán
0000076,Campo de Talamayo,T4158XBO,Tucumán
0000077,El Cuadro,Buscar CPA,tucuman
0000078,El Carmen,T4137XCO,Tucumán
0000079,Ciudacita,T4172XCM,Tucumán
0000080,Mal Paso,T4157XAH,Tucumán
0000081,Bella Vista,Buscar CPA,Tucumán
0000082,Villa la Trinidad,Buscar CPA,Tucumán
0000083,El Arqueal,T4137XCN,Tucumán
0000084,Ticucho,T4122XAY,Tucumán
0000085,Casa de Piedra,T4142XAM,Tucumán
0000086,Escaba,T4158XAN,Tucumán
0000087,El Rincon,T4157XAD,Tucumán
0000088,Cochuna,T4149XAE,Tucumán
0000089,El Cochuchal,T4117XBB,Tucumán
0000090,Colonia Marull,T4152XAU,Tucumán
0000091,El Naranjal,T4142XAZ,Tucumán
