San Miguel de Tucuman,Pasaje Parana
Santa Ana,Calle 1
San Miguel de Tucuman,Calle Amador Lucero
Tafi Viejo,Diagonal Raul Leccese
Lules,Calle Libertad
El Cruce,Calle 4 Este
San Miguel de Tucuman,Calle Belisario Roldan
San Miguel de Tucuman,Pasaje Lavarden
Monteagudo,Calle S/N 3
Cevil Redondo,Calle Zanjon
San Miguel de Tucuman,Pasaje Rafael Uriarte
Lules,Calle Yerba Huasi
Juan Bautista Alberdi,Calle Candelaria
Alderetes,Calle Alberdi
Bella Vista,Calle S/N 2
La Cocha,Calle Tucuman
Bella Vista,Calle Malvinas Argentinas
Bella Vista,Pasaje Lola Mora
Villa la Trinidad,Calle San Jose
Amaicha del Valle,Calle B Amaicha del Valle
Juan Bautista Alberdi,Calle Chaco
San Miguel de Tucuman,Calle Dr Luis B Alfaro
San Miguel de Tucuman,Avenida Carlos Maria Torres
San Miguel de Tucuman,Pasaje Pje 51
Famailla,Calle Remedios de Escalada
Villa de Leales,Calle Ernesto Padilla
San Miguel de Tucuman,Calle Mercado del Norte
Villa la Trinidad,Avenida Juan M Mendez
Aguilares,Calle Formosa
Banda del Rio Sali,Pasaje Ibatin
Aguilares,Calle Araoz de Lamadrid
Villa la Trinidad,Avenida Belgrano
Aguilares,Calle Yapeyu
San Miguel de Tucuman,Pasaje Gral  Julian Murga
La Cocha,Calle Belgrano
Villa la Trinidad,Calle Cristo Rey
Lules,Calle Jose Antonio Muccela
El Manantial,Pasaje Campos de las Carreras
Bella Vista,Calle Colombres
San Miguel de Tucuman,Pasaje Maurin
Bella Vista,Calle Lucia B de Godoy
Colombres,Pasaje Javier Veliz
Famailla,Calle Sarmiento
Lastenia,Calle Eva Peron
Aguilares,Calle Escalada San Martin E
Arcadia,Calle 25 de Mayo
La Reduccion,Calle L N Alem
Banda del Rio Sali,Calle Domingo Jose Garcia
Banda del Rio Sali,Calle Florida
San Miguel de Tucuman,Avenida Central
7 de Abril,Calle Comunal 2
Alderetes,Calle Primera Junta
Bella Vista,Calle Saenz Peña
