id,type,name,localityId
0000001,Pasaje,Pasaje Parana,0001369
0000002,Calle,Calle 1,0000899
0000003,Calle,Calle Amador Lucero,0001369
0000004,Calle,Diagonal Raul Leccese,0001413
0000005,Calle,Calle Libertad,0000113
0000006,Calle,Calle 4 Este,0000318
0000007,Pasaje,Calle Belisario Roldan,0001369
0000008,Calle,Pasaje Lavarden,0001369
0000009,Calle,Calle S/N 3,0000607
0000010,Pasaje,Calle Zanjon,0000225
0000011,Calle,Pasaje Rafael Uriarte,0001369
0000012,Calle,Calle Yerba Huasi,0000113
0000013,Calle,Calle Candelaria,0001637
0000014,Calle,Calle Alberdi,0000760
0000015,Calle,Calle S/N 2,0000081
0000016,Calle,Calle Tucuman,0001177
0000017,Pasaje,Calle Malvinas Argentinas,0000081
0000018,Calle,Pasaje Lola Mora,0000081
0000019,Calle,Calle San Jose,0000082
0000020,Calle,Calle B Amaicha del Valle,0001455
0000021,Calle,Calle Chaco,0001637
0000022,Avenida,Calle Dr Luis B Alfaro,0001369
0000023,Pasaje,Avenida Carlos Maria Torres,0001369
0000024,Calle,Pasaje Pje 51,0001369
0000025,Calle,Calle Remedios de Escalada,0001615
0000026,Calle,Calle Ernesto Padilla,0000376
0000027,Avenida,Calle Mercado del Norte,0001369
0000028,Calle,Avenida Juan M Mendez,0000082
0000029,Pasaje,Calle Formosa,0001620
0000030,Calle,Pasaje Ibatin,0001157
0000031,Avenida,Calle Araoz de Lamadrid,0001620
0000032,Calle,Avenida Belgrano,0000082
0000033,Pasaje,Calle Yapeyu,0001620
0000034,Calle,Pasaje Gral  Julian Murga,0001369
0000035,Calle,Calle Belgrano,0001177
0000036,Calle,Calle Cristo Rey,0000082
0000037,Pasaje,Calle Jose Antonio Muccela,0000113
0000038,Calle,Pasaje Campos de las Carreras,0000391
0000039,Pasaje,Calle Colombres,0000081
0000040,Calle,Pasaje Maurin,0001369
0000041,Pasaje,Calle Lucia B de Godoy,0000081
0000042,Calle,Pasaje Javier Veliz,0000935
0000043,Calle,Calle Sarmiento,0001615
0000044,Calle,Calle Eva Peron,0000449
0000045,Calle,Calle Escalada San Martin E,0001620
0000046,Calle,Calle 25 de Mayo,0000863
0000047,Calle,Calle L N Alem,0001485
0000048,Calle,Calle Domingo Jose Garcia,0001157
0000049,Avenida,Calle Florida,0001157
0000050,Calle,Avenida Central,0001369
0000051,Calle,Calle Comunal 2,0000498
0000052,Calle,Calle Primera Junta,0000760
0000053,Pasaje,Calle Saenz Peña,0000081
0000054,Calle,Pasaje Pte H Yrigoyen,0000760
0000055,Pasaje,Calle Lavalle,0001615
0000056,Ruta Provincial,Pasaje Pje 13,0001369
0000057,Avenida,Ruta Provincial Rp 329,0000607
0000058,Calle,Avenida 9 de Julio,0000632
0000059,Calle,Calle Dr Manuel Belgrano,0000707
0000060,Pasaje,Calle Mercedes Almiron,0000707
0000061,Pasaje,Pasaje Pje 20,0001369
0000062,Calle,Pasaje Fray Bertres,0001369
0000063,Pasaje,Calle Justiniano Claria,0001461
0000064,Calle,Pasaje Fray Manuel Perez,0001369
0000065,Calle,Calle Salta,0000707
0000066,Pasaje,Calle Marcelo T de Alvear,0001369
0000067,Calle,Pasaje Rev Padre Pacheco,0001620
0000068,Calle,Calle Dr Luis Pasteur,0001637
0000069,Calle,Calle 17 de Agosto,0000449
0000070,Calle,Calle Gral Manuel Belgrano,0001485
0000071,Calle,Calle 12 de Octubre,0000391
0000072,Calle,Calle Sold Jose Acosta,0000911
0000073,Calle,Calle 2 E,0000318
0000074,Calle,Calle Independencia,0000391
0000075,Calle,Calle 2,0000318
0000076,Pasaje,Calle Belgrano,0000449
0000077,Pasaje,Pasaje 1,0000632
0000078,Pasaje,Pasaje Dr Juan Jose Paso,0000857
0000079,Pasaje,Pasaje Jaime Freire,0001369
0000080,Calle,Pasaje Santa Maria de Oro,0000081
0000081,Calle,Calle 17 de Octubre,0001461
0000082,Pasaje,Calle 10,0001615
0000083,Avenida,Pasaje 33 78 no,0001369
0000084,Calle,Ruta Nacional Rn 38,0001615
0000085,Calle,Avenida Constitucion,0000081
0000086,Calle,Calle Comunal 3,0000498
0000087,Calle,Calle Atilio Santillan,0000760
0000088,Avenida,Calle Jose Hernandez,0001615
0000089,Calle,Calle Florida,0001111
0000090,Calle,Avenida Julio Argentino Roca Oeste,0001413
0000091,Calle,Calle 3 Este Oeste,0001101
0000092,Pasaje,Diagonal Geologia,0001369
0000093,Calle,Calle 1 de Abril,0001413
0000094,Pasaje,Calle Manuel Lopez Pondal,0001369
0000095,Calle,Pasaje Manuela Pedraza,0001369
