id,name,zip,sate
00000001,11 de Septiembre,,Buenos Aires
00000002,Churruca,,Buenos Aires
00000003,El Libertador,,Buenos Aires
00000004,Loma Hermosa,,Buenos Aires
00000005,Pablo Podesta,,Buenos Aires
00000006,Remedios de Escalada,,Buenos Aires
00000007,12 de Agosto,B2701XAA,Buenos Aires
00000008,Aguas Corrientes,B2701XAB,Buenos Aires
00000009,Haras el Centinela,B2701XAD,Buenos Aires
00000010,Mariano Benitez,B2701XAE,Buenos Aires
00000011,Santa Teresita Pergamino,B2701XAF,Buenos Aires
00000012,General Gelly,,Buenos Aires
00000013,Rancagua,,Buenos Aires
00000014,Estacion Provincial,B6501XAC,Buenos Aires
00000015,Laguna del Cura,B6501XAA,Buenos Aires
00000016,Mulcahy,B6501XAB,Buenos Aires
00000017,Norumbega,B6501XAD,Buenos Aires
00000018,Tropezon,B6501XAE,Buenos Aires
00000019,12 de Octubre,,Buenos Aires
00000020,16 de Julio,B7313XAA,Buenos Aires
00000021,Bernardo Vera y Pintado,B7313XAB,Buenos Aires
00000022,Coronel Rodolfo Bunge,B7313XAD,Buenos Aires
00000023,El Luchador,B7313XAE,Buenos Aires
00000024,Kilometro 433,B7313XAC,Buenos Aires
00000025,La Nutria,B7313XAF,Buenos Aires
00000026,Ricardo Gaviña,B7313XAG,Buenos Aires
00000027,Adela Saenz,B8129XAA,Buenos Aires
00000028,Glorialdo,B8129XAB,Buenos Aires
00000029,17 de Agosto,,Buenos Aires
00000030,Felipe Sola,,Buenos Aires
00000031,20 de Junio,,Buenos Aires
00000032,Pontevedra,,Buenos Aires
00000033,La Tribu,B6015XAE,Buenos Aires
00000034,Laguna las Mulitas,B6660XAD,Buenos Aires
00000035,Ortiz de Rosas,B6660XAA,Buenos Aires
00000036,Santiago Garbarini,B6660XAB,Buenos Aires
00000037,25 de Mayo,,Buenos Aires
00000038,Albariño,B6405XAA,Buenos Aires
00000039,Corazzi,B6405XAB,Buenos Aires
00000040,Duhau,B6405XAC,Buenos Aires
00000041,30 de Agosto,,Buenos Aires
00000042,4 de Noviembre,B2705XAB,Buenos Aires
00000043,El Jaguel,B2707XAC,Buenos Aires
00000044,Guido Spano,B2707XAD,Buenos Aires
00000045,Hunter,B2707XAE,Buenos Aires
00000046,La Nacion,B2707XAA,Buenos Aires
00000047,Las Saladas,B2707XAB,Buenos Aires
00000048,9 de Abril,,Buenos Aires
00000049,Barrio Julio de Vedia,B6500XAB,Buenos Aires
00000050,Fauzon,B6500XAE,Buenos Aires
00000051,San Juan,B2754XAC,Buenos Aires
00000052,Villa Diamantina,B6500XAG,Buenos Aires
00000053,9 de Julio,,Buenos Aires
00000054,Buchanan,B1903XAA,Buenos Aires
00000055,Abasto,,Buenos Aires
00000056,Estacion Gomez,,Buenos Aires
00000057,Melchor Romero,,Buenos Aires
00000058,Abbott,,Buenos Aires
00000059,Abel,B6450XAA,Buenos Aires
00000060,Barrio Obrero,B6450XAB,Buenos Aires
00000061,Pueblo San Esteban,B6450XAD,Buenos Aires
00000062,Rovira,B6450XAC,Buenos Aires
00000063,Santa Cecilia Sud,B6450XAF,Buenos Aires
00000064,Pehuajo,,Buenos Aires
00000065,Abra de Hinojo,B8170XAA,Buenos Aires
00000066,Alta Vista,B8170XAB,Buenos Aires
00000067,Ducos,B8170XAC,Buenos Aires
00000068,Pigue,,Buenos Aires
00000069,Acassuso,,Buenos Aires
00000070,Martinez,,Buenos Aires
00000071,Aceilan,B7003XAB,Buenos Aires
00000072,Maria Ignacia,B7003XAA,Buenos Aires
00000073,Gardey,,Buenos Aires
00000074,Vela,,Buenos Aires
00000075,Gornatti,B2717XAA,Buenos Aires
00000076,Manantiales,B2717XAB,Buenos Aires
00000077,Acevedo,,Buenos Aires
00000078,Guerrico,,Buenos Aires
00000079,Juana a de la Peña,,Buenos Aires
00000080,Achupallas,B6627XAD,Buenos Aires
00000081,Grisolia,B6627XAA,Buenos Aires
00000082,Haras el Carmen,B6627XAC,Buenos Aires
00000083,La Victoria Desvio,B6627XAE,Buenos Aires
00000084,Ramon Biaus,B6627XAB,Buenos Aires
00000085,Moll,,Buenos Aires
00000086,Adela,B7136XAA,Buenos Aires
00000087,Colonia Escuela Argentina,B7136XAB,Buenos Aires
00000088,Cuartel 6,B7136XAC,Buenos Aires
00000089,Gandara,B7136XAE,Buenos Aires
