id,type,name,reference,alternativeName,localityId,neighborhood
00000001,Calle,Calle 1 de Mayo,1 de Mayo,Calle 947,00000001,
00000002,Avenida,Avenida Av 946,Av 946,Avenida Rio Deseado,00000001,
00000003,Avenida,Avenida Av 975,Av 975,Avenida Tucuman,00000001,
00000004,Calle,Calle Beruti,Beruti,Calle 953,00000001,
00000005,Calle,Calle 947,947,Calle 1 de Mayo,00000001,
00000006,Calle,Calle 948,948,Calle Sold Caballero,00000001,
00000007,Calle,Calle 950,950,Calle Rio Negro,00000001,
00000008,Calle,Calle 951,951,Calle Gral Madariaga,00000001,
00000009,Calle,Calle 952,952,Calle El Parque,00000001,
00000010,Calle,Calle 953,953,Calle Beruti,00000001,
00000011,Calle,Calle 954,954,Calle Pte J D Peron,00000001,
00000012,Calle,Calle 955,955,Calle Dr Jonas Edward Salk,00000001,
00000013,Calle,Calle 957,957,Calle Castelar,00000001,
00000014,Calle,Calle 959,959,Calle San Javier,00000001,
00000015,Calle,Calle 961,961,Calle F Sierra,00000001,
00000016,Calle,Calle 963,963,Calle Santiago del Estero,00000001,
00000017,Calle,Calle 965,965,Calle Rio Cuarto,00000001,
00000018,Calle,Calle 967,967,Calle San Luis,00000001,
00000019,Calle,Calle 969,969,Calle Entre Rios,00000001,
00000020,Calle,Calle 971,971,Calle Salguero,00000001,
00000021,Calle,Calle 973,973,Calle Lujan,00000001,
00000022,Calle,Calle 977,977,Calle Catamarca,00000001,
00000023,Calle,Calle 979,979,Calle Miramar,00000001,
00000024,Calle,Calle 981,981,Calle Parana,00000001,
00000025,Calle,Calle 983,983,Calle Rio Tercero,00000001,
00000026,Calle,Calle Castelar,Castelar,Calle 957,00000001,
00000027,Calle,Calle Catamarca,Catamarca,Calle 977,00000001,
00000028,Autopista,Autopista Del Buen Ayre,Del Buen Ayre,,00000001,
00000029,Calle,Calle Dr Jonas Edward Salk,Dr Jonas Edward Salk,Calle 955,00000001,
00000030,Calle,Calle El Parque,El Parque,Calle 952,00000001,
00000031,Calle,Calle Entre Rios,Entre Rios,Calle 969,00000001,
00000032,Avenida,Avenida Eva Peron,Eva Peron,Avenida Gral San Martin,00000001,
00000033,Calle,Calle F Sierra,F Sierra,Calle 961,00000001,
00000034,Calle,Calle Gral Madariaga,Gral Madariaga,Calle 951,00000001,
00000035,Avenida,Avenida Gral San Martin,Gral San Martin,Avenida Ruta Nacional 8,00000001,
00000036,Avenida,Avenida H del Carril,H del Carril,Avenida Rio Deseado,00000001,
00000037,Calle,Calle Lujan,Lujan,Calle 973,00000001,
00000038,Calle,Calle Miramar,Miramar,Calle 979,00000001,
00000039,Calle,Calle Parana,Parana,Calle 981,00000001,
00000040,Calle,Calle Pte J D Peron,Pte J D Peron,Calle 954,00000001,
00000041,Calle,Calle Rio Cuarto,Rio Cuarto,Calle 965,00000001,
