id,City,url,State
0,11 de Septiembre,https://codigo-postal.co/argentina/buenos-aires/11-de-septiembre/,Buenos Aires
1,12 de Agosto,https://codigo-postal.co/argentina/buenos-aires/12-de-agosto/,Buenos Aires
2,12 de Octubre,https://codigo-postal.co/argentina/buenos-aires/12-de-octubre/,Buenos Aires
3,16 de Julio,https://codigo-postal.co/argentina/buenos-aires/16-de-julio/,Buenos Aires
4,17 de Agosto,https://codigo-postal.co/argentina/buenos-aires/17-de-agosto/,Buenos Aires
5,20 de Junio,https://codigo-postal.co/argentina/buenos-aires/20-de-junio/,Buenos Aires
6,25 de Mayo,https://codigo-postal.co/argentina/buenos-aires/25-de-mayo/,Buenos Aires
7,30 de Agosto,https://codigo-postal.co/argentina/buenos-aires/30-de-agosto/,Buenos Aires
8,4 de Noviembre,https://codigo-postal.co/argentina/buenos-aires/4-de-noviembre/,Buenos Aires
9,9 de Abril,https://codigo-postal.co/argentina/buenos-aires/9-de-abril/,Buenos Aires
10,9 de Julio,https://codigo-postal.co/argentina/buenos-aires/9-de-julio/,Buenos Aires
11,Abasto,https://codigo-postal.co/argentina/buenos-aires/abasto/,Buenos Aires
12,Abbott,https://codigo-postal.co/argentina/buenos-aires/abbott/,Buenos Aires
13,Abel,https://codigo-postal.co/argentina/buenos-aires/abel/,Buenos Aires
14,Abra de Hinojo,https://codigo-postal.co/argentina/buenos-aires/abra-de-hinojo/,Buenos Aires
15,Acassuso,https://codigo-postal.co/argentina/buenos-aires/acassuso/,Buenos Aires
16,Aceilan,https://codigo-postal.co/argentina/buenos-aires/aceilan/,Buenos Aires
17,Acevedo,https://codigo-postal.co/argentina/buenos-aires/acevedo/,Buenos Aires
18,Achupallas,https://codigo-postal.co/argentina/buenos-aires/achupallas/,Buenos Aires
19,Adela,https://codigo-postal.co/argentina/buenos-aires/adela/,Buenos Aires
20,Adela Corti,https://codigo-postal.co/argentina/buenos-aires/adela-corti/,Buenos Aires
21,Adela Saenz,https://codigo-postal.co/argentina/buenos-aires/adela-saenz/,Buenos Aires
22,Adolfo Alsina,https://codigo-postal.co/argentina/buenos-aires/adolfo-alsina/,Buenos Aires
23,Adolfo Gonzales Chaves,https://codigo-postal.co/argentina/buenos-aires/adolfo-gonzales-chaves/,Buenos Aires
24,Adrogue,https://codigo-postal.co/argentina/buenos-aires/adrogue/,Buenos Aires
25,Aeropuerto Ezeiza,https://codigo-postal.co/argentina/buenos-aires/aeropuerto-ezeiza/,Buenos Aires
26,Agote,https://codigo-postal.co/argentina/buenos-aires/agote/,Buenos Aires
27,Aguara,https://codigo-postal.co/argentina/buenos-aires/aguara/,Buenos Aires
28,Aguas Corrientes,https://codigo-postal.co/argentina/buenos-aires/aguas-corrientes/,Buenos Aires
29,Aguas Verdes,https://codigo-postal.co/argentina/buenos-aires/aguas-verdes/,Buenos Aires
30,Aguirrezabala,https://codigo-postal.co/argentina/buenos-aires/aguirrezabala/,Buenos Aires
31,Agustin Mosconi,https://codigo-postal.co/argentina/buenos-aires/agustin-mosconi/,Buenos Aires
32,Agustin Roca,https://codigo-postal.co/argentina/buenos-aires/agustin-roca/,Buenos Aires
33,Agustina,https://codigo-postal.co/argentina/buenos-aires/agustina/,Buenos Aires
34,Alagon,https://codigo-postal.co/argentina/buenos-aires/alagon/,Buenos Aires
35,Alamos,https://codigo-postal.co/argentina/buenos-aires/alamos/,Buenos Aires
36,Alastuey,https://codigo-postal.co/argentina/buenos-aires/alastuey/,Buenos Aires
37,Albariño,https://codigo-postal.co/argentina/buenos-aires/albarino/,Buenos Aires
38,Alberti,https://codigo-postal.co/argentina/buenos-aires/alberti/,Buenos Aires
