Localidad,CPA
achalco,K4235XAV
acheral,K5260XAL
aconquija,K4740XAF
acostilla,K4701XAZ
adolfo-e-carranza,K5263XAA
agua-amarilla-la-hoyada,K4139XBI
agua-amarilla-pta-de-balasto,K4139XBI
agua-de-dionisio,K4750XCM
agua-de-las-palomas,K4741XAA
agua-del-campo,K4707XAU
agua-del-simbol,K4701XBA
agua-escondida,K5260XAL
agua-grande,K5340XAO
agua-los-matos,K4701XBB
agua-salada,K4740XAC
aguada,K5340XAO
aguadita,K4705XAI
aguas-calientes,K4750XCM
algarrobal,K4740XAC
alijilan,Buscar CPA
almigaucho,Buscar CPA
alta-gracia,Buscar CPA
alto-bello,K4701XBA
alto-de-la-junta,K4740XAF
alto-del-rosario,K4701XBA
alto-el-bolson,K4750XCM
amadores,K4718XAK
amana,K4701XAZ
amanao,K4741XAA
amancala,Buscar CPA
ambato,K4715XAF
ampajango,K4139XBI
ampolla,Buscar CPA
ampujaco,K4707XAU
ancasti,K4701XAZ
ancastillo,G4352XAA
anchoca,K5340XAO
andalgala,K4740XAC
andalhuala,K4139XBI
andalucia,K5340XDB
angelina,K5260XCQ
angostura,K4707XAU
anillaco,K5340XDC
anjuli,G4352XAA
anquincila,K4701XAZ
antapoca,K4705XAI
antinaco,K5340XDC
antofagasta-de-la-sierra,K4705XAI
apocango,K5340XAO
apoyaco,K5315XAL
arima,K4740XAC
asampay,K4750XCM
aserradero-el-pilcio,K4740XAC
ayapaso,K4235XAV
balcosna,K4718XAL
balcosna-de-afuera,K4718XAL
balde,K5260XAL
balde-la-punta,K5263XAA
balde-nuevo,K5263XAA
balsa,K4705XAI
balungasta,K5340XAO
banado-de-divisadero,K4701XBA
banado-de-ovanta,Buscar CPA
banda,K4139XBI
banda-de-lucero,K5340XDD
banda-varela,K4700XAK
banos-termales,K5340XDE
barranca-larga,K4750XCM
barranquitas,K4235XCA
barro-negro,K4718XAA
bastidor,K4718XAA
baviano,K4701XBB
bebida,K4235XCA
belen,K4707XAU
biscotal,K4740XAE
brea,K4701XBB
brea-chimpana,G4356XAC
buen-retiro,K5260XAL
caballa,K4701XBA
cabrera,K4701XAZ
cachi,Buscar CPA
cachijan,K4750XCM
cachuan,K4707XAU
calacio,K4701XAZ
calera,K4701XAZ
calera-la-norma,K5315XAM
campitos,K4139XBI
campo-bello,K5260XAL
campo-blanco,K5260XAL
canada,K5260XCQ
canada-de-ipizca,K4701XAZ
canada-de-paez,K4701XAZ
canada-larga,K4701XBB
cantera-rota,K5340XAO
capayan,K4728XAB
carapunco,K4741XAA
caridad,Buscar CPA
carrizal-de-abajo,K4750XCM
carrizal-de-la-costa,K4750XCM
casa-armada,K4701XAZ
casa-de-alto,K5340XAO
casa-de-la-cumbre,K4701XBA
casa-vieja,K4701XAZ
casa-viejas,K4715XAF
caspinchango,K4139XBI
castanar,K5340XAO
catita,K5260XAL
cerdas,K5340XAO
cerrillada,K5260XCQ
cerro-negro,K5340XDB
cervino,K4718XAK
chacabuco,K4700XAK
chacritas,K4701XBB
chafinan,K4139XBI
chamorro,K4740XAE
chanar-laguna,K4235XAV
chanar-punco,K4139XBI
chanarcito,K4707XAQ
chanaritos,K5260XCQ
chanaryaco,K4750XCM
chanero,K5340XAO
chaquiago,K4741XAA
chavarria,K4740XAE
chavero,K5340XAO
chichagasta,K5260XDR
chiflon,K4718XAA
chilca,K4740XAC
chiquerito,K4707XAU
choya,K4741XAA
chuchucaruana,K4715XAF
chucolay,K4707XAU
chumbicha,Buscar CPA
cienaguita,K5340XDD
collagasta,K4715XAF
colonia-del-valle,K4728XAB
colonia-nueva-coneta,K4707XAU
condor-huasi,K4715XAF
condor-huasi-de-belen,K4750XCM
coneta,K4707XAU
copacabana,K5340XDD
cordobita,K5340XDB
corral-quemado,K4750XCM
corralita,K4740XAE
corralitos,G4356XAC
costa-de-reyes,K5340XDC
cotagua,K4750XCM
cueva-blanca,K4707XAU
culampaja,K4750XCM
cumbre-del-laudo,K4705XAI
desrumbe,K4139XBI
distrito-espinillo,K4740XAC
divisadero,K5260XAL
dos-pocitos,Buscar CPA
dos-troncos,Buscar CPA
duraznillo,K4707XAU
durazno,K4750XCP
el-abra,K4701XBA
el-alamito,K4740XAF
el-arbol-solo,K4715XAF
el-arenal,K4701XBA
el-arroyo,K4139XBI
el-atoyal,K4740XAE
el-aybal,K4701XBA
el-balde,K4139XBI
el-barrial,K4701XBA
el-bastidor,K4718XAA
el-bello,K5260XAL
el-biscote,K4740XAE
el-bolson,K4715XAF
el-cachiyuyo,K5340XDC
el-cacho,K4701XBA
el-calchaqui,K4139XBI
el-campillo,K4750XCM
el-carmen,Buscar CPA
el-centenario,G4352XAA
el-cevil,K4718XAK
el-cevilarcito,K4701XAZ
el-chamico,K4718XAL
el-cienago,K4701XBA
el-ciflon,K4718XAL
el-colegio,K4740XAC
el-contador,K4718XAL
el-duraznillo,K4718XAT
el-durazno,K4750XCM
el-eje,K4750XCM
el-espinillo,K4740XAF
el-gacho,K4701XBA
el-garabato,K4718XAK
el-hueco,K4707XAQ
el-medanito,K4139XBI
el-medio,K4707XAU
el-mistolito,K4701XBA
el-mojon,K4701XAZ
el-molinito,K4740XAE
el-molino,K4707XAU
el-mollar,K4701XAZ
el-molle,K4740XAC
el-moreno,K4701XBA
el-nogal,K4715XAF
el-pajonal,K5315XAM
el-parque,K4715XAF
el-penon,K5340XDE
el-pie-de-la-cuesta,K4715XAF
el-potrerillo,K4715XAF
el-potrero-de-los-cordoba,K4701XAZ
el-pozo,K4701XAZ
el-pucara,K4715XAF
el-pueblito,K5340XDB
el-puestito,K4701XBA
el-quebrachal,K4701XBA
el-quebrachito,K4235XCA
el-quimilo,K5263XAA
el-realito,K4740XAE
el-rodeo,K4740XAE
el-rodeo-grande,K4715XAF
el-saladillo,K4701XBA
el-saltito,K4701XBA
el-salto,K5260XAL
el-sauce,K4701XAZ
el-sauce-ipizca,K4701XAZ
el-saucecito,Buscar CPA
el-simbol,K4235XAV
el-tabique,K4715XAF
el-taco,K4701XAZ
el-tambillo,K4750XCP
el-tesoro,K4139XBI
el-tio,K4750XCM
el-tolar,K4750XCM
el-trapiche,K4139XBI
el-valle,K4701XBA
el-zarzo,K4139XBI
empalme-san-carlos,K5260XAL
ensenada,K5260XDR
entre-rios,K4139XBI
esquiu,K4701XBA
establecimiento-minero-cerro-b,K5315XAL
estacion-poman,K5315XAM
estancia,K4701XBB
estancito,K5340XAO
estanque,K4707XAQ
estanzuela,K4235XCA
faldeo,K4740XAE
famabalastro,K4139XBI
famatanca,K4139XBI
farallon-negro,K4750XCM
fiambala,K5340XDE
fuerte-quemado,T4124XCI
galpon,K4740XAE
garay,K4701XBA
garzon,G4352XAA
gentile,K4705XAI
guanaco,K4701XAZ
guanchicito,K5340XAO
guanchin,K5340XAO
guayamba,K4235XCA
guincho,K5340XAO
higuera-del-alumbre,K4701XAZ
huacra,K4718XAT
hualfin,K4750XCM
huasan,K4740XAC
huasayaco,K4750XCM
huaschaschi,K4740XAC
huasi-cienaga,K4750XCM
huaycama,K4705XAI
huillapima,K4728XAB
humaya,K4715XAF
iapes,K4139XBI
icano,K4701XBB
ichipuca,K4235XAV
iloga,K4235XCA
inacillo,K4235XCA
infanzon,K4235XCA
ipizca,K4701XAZ
isla-larga,K4715XAF
jacipunco,K4750XCM
jesus-maria,K5260XCQ
joyango,K4723XBI
joyanguito,K5315XAM
julipao,K4139XBI
julumao,K4740XAC
jumeal,K5260XAL
junta,K5340XAO
kilometro-1006,K5340XDB
kilometro-1008,K5260XCQ
kilometro-1017,K5260XCQ
kilometro-1093,K4235XAV
kilometro-128,Buscar CPA
kilometro-38,K4701XBA
kilometro-955,K5260XAL
kilometro-969,K5260XAL
kilometro-975,K4723XBI
kilometro-99,K5263XAA
kilometro-997,K5260XAL
kilometro-999,K5340XDB
la-aguada-grande,K4723XBI
la-aguita,K4740XAE
la-alumbrera,K4740XAF
la-antigua,K4701XBA
la-barranca-larga,K4707XAU
la-bebida,K4701XAZ
la-buena-estrella,K5260XAL
la-calera-del-sauce,K4235XCA
la-canada-larga,K5340XDC
la-candelaria,K5340XDD
la-carrera,K4715XAF
la-chacarita,K4700XAK
la-chacarita-de-los-padres,K4700XAK
la-chilca,K5340XAO
la-cienaga-de-los-zondones,K5340XDC
la-colonia,K4701XBA
la-costa,K4707XAU
la-cuesta,K4750XCM
la-dorada,K4701XBA
la-esquina,K4718XAA
la-estancita,K4701XAZ
la-estanzuela,K4235XCA
la-estrella,K4707XAU
la-falda-de-san-antonio,K4707XAQ
la-granja,K5260XCQ
la-guardia,K5263XAA
la-higuera,K4718XAL
la-horqueta,K5263XAA
la-laguna,K4741XAA
la-majada,K5340XDC
la-maravilla,K5260XCQ
la-merced,K4718XAA
la-montosa,K4701XBA
la-ollada,K4139XBI
la-ovejeria,K4718XAL
la-palca,K5340XDC
la-parada,K4701XBB
la-paraguaya,K4707XAU
la-piedra,K4740XAE
la-puerta,K4715XAF
la-puerta-de-san-jose,K4750XCM
la-puntilla-de-san-jose,K5340XDC
la-quinta,K4701XBA
la-ramada,K4750XCP
la-ramadita,K5340XDC
la-renovacion,G4352XAA
la-represa,K4707XAU
la-salvia,K4740XAE
la-soledad,K4139XBI
la-tercena,K4707XAQ
la-tigra,K4701XBA
la-toma,K4750XCM
la-totora,K4707XAU
la-valentina,K4701XBA
la-victoria,Buscar CPA
la-vina-de-abajo,K4718XAT
la-yegua-muerta,K4723XBI
la-zanja,K4701XBA
laguna-blanca,K4750XCM
laguna-colorada,K4750XCM
lagunita,K5260XAL
laja,K5260XAL
lampasillo,K4728XAB
lampasito,K4139XBI
lampaso,K4740XAE
las-aguitas,K4740XAE
las-barrancas-casa-armada,K4701XAZ
las-barras,K4740XAE
las-bayas,K4750XCP
las-breas,K4723XBI
las-burras,K4740XAE
las-canas,K4235XCA
las-casitas,K5315XAM
las-cayas,Buscar CPA
las-chacritas,K4715XAF
las-cienagas,K5315XAM
las-cortaderas,K4701XBA
las-cortaderitas,K5260XAL
las-cuchillas-del-aybal,K4701XBB
las-cuevas,K4750XCM
las-esquinas,K4707XAQ
las-estancias,K4740XAF
las-flores,K4701XBA
las-higueritas,K5340XAO
las-huertas,K4718XAT
las-iguanas,G4352XAA
las-justas,K4235XCA
las-losas,K5340XAO
las-manzas,K4750XCM
las-minas,K4740XAC
las-mojarras,K4139XBI
las-palmas,K4728XAB
las-palmitas,G4352XAA
las-palomas,K4701XBA
las-papas,K5340XDC
las-peladas,K5340XAO
las-penas,K5263XAA
las-piedras-blancas,K4740XAE
las-puertas,K5260XAL
las-retamas,K5340XDE
las-tejas,G4352XAA
las-tejas-de-valle-viejo,K4700XAK
las-toscas,K4701XBB
las-trancas,K4235XCA
las-tranquitas,K4718XAT
las-trillas,K4235XCA
las-varitas,K4700XAK
las-zanjas,K5260XAL
lavalle,Buscar CPA
lazareto,K4700XAK
liebre,K5260XAL
lindero,K4235XCA
loconte,K4750XCM
loma-cortada,K4700XAK
loma-grande,K5340XAO
loma-sola,K4701XAZ
londres,K4750XCP
londres-este,K4707XAU
londres-oeste,K4750XCP
los-alamos,K4235XCA
los-altos,Buscar CPA
los-angeles,K4707XAU
los-baldes,K5315XAM
los-balverdis,K5340XDB
los-bastidores,Buscar CPA
los-bazan,K4707XAU
los-bulacio,K4701XAZ
los-cadillos,K4701XBA
los-cajones,K5315XAL
los-castillos,K4715XAF
los-caudillos,K5260XAL
los-chanampa,K5340XAO
los-chanares,K5260XAL
los-chanaritos,K4728XAB
los-cisternas,K4701XAZ
los-colorados,K4750XCP
los-cordobeses,G4352XAA
los-corrales,K4235XCA
los-estantes,Buscar CPA
los-galpones,K4718XAA
los-gonzales,K5340XDB
los-guaytimas,K5340XAO
los-guindos,K4715XAF
los-huaycos,K4701XAZ
los-loros,K4740XAE
los-mogotes,K4701XBA
los-morteritos,K4715XAF
los-nacimientos,K4750XCM
los-narvaez,K4715XAF
los-navarros,K4715XAF
los-nogales,K4235XCA
los-ovejeros,K4718XAT
los-palacios,K5340XAO
los-pedrazas,K4235XCA
los-pinos,K4707XAU
los-pintados,K4718XAT
los-piquillines,K4701XAZ
los-potrerillos,K5340XDC
los-quinteros,K5340XDB
los-rastrojos,K4701XAZ
los-rincones,K5340XDB
los-robledos,K5340XAO
los-saltos,K4139XBI
los-talas,K4715XAF
los-troncos,Buscar CPA
los-valdez,K5340XAO
los-valveros,K5340XAO
los-varela,K4715XAF
los-zanjones,Buscar CPA
luna-aguada,K4707XAU
majada,K4701XBB
malcasco,K5315XAM
malli-1,K4740XAC
malli-2,K4740XAC
manantiales,Buscar CPA
maria-dora,K5260XCQ
maria-elena,K4701XBA
matambre,K5340XAO
medanito,K4139XBI
medanitos,K5340XDC
medano,K5340XAO
mesada-de-los-zarate,K5340XDC
mesada-grande,K5340XDC
mina-dal,K4235XCA
mina-inca-huasi,K4705XAI
minas-agua-tapada,K4750XCM
minas-capillitas,K4740XAC
miraflores,K4707XAU
mischango,K5315XAM
mistol-ancho,Buscar CPA
molle-quemado,K4740XAE
mollecito,K5319XAA
mollegasta,K5260XAL
monte-potrero,K4718XAK
monte-redondo,Buscar CPA
mota-botello,K4705XAI
motegasta,K4701XBA
mutquin,K5315XAL
nacimiento,K4707XAU
nacimientos-de-abajo,K4707XAU
nacimientos-de-arriba,K4750XCM
nacimientos-de-san-antonio,K4750XCM
nacimientos-del-bolson,K4750XCM
naipa,Buscar CPA
navaguin,K4701XBA
navigan,K5260XAL
negro-muerto,K5340XAO
nogalito,K4235XCA
ocho-vados,K4707XAE
ojo-de-la-cortadera,K4707XAU
ollita,K5260XAL
olmos,K5260XAL
olta,K4701XBA
orellano,K4235XCA
ovanta,Buscar CPA
ovejeria,K4139XBI
oyola,K4235XCA
pajanguillo,K4139XBI
palacios,K5340XAO
palo-cruz,K4701XBA
palo-labrado,K4718XAK
palo-parado,G4352XAA
paloma-yaco,K4139XBI
pampa,K4707XAQ
pampa-blanca,K5340XDC
pampa-chacra,Buscar CPA
pampa-cienaga,K4707XAU
pampa-pozo,K5260XAL
pan-de-azucar,K5340XAO
pantanos,K5340XAO
papa-chacra,K4750XCM
parada-kilometro-62,K5263XAA
paraje-los-chanaritos,K5260XAL
paso-san-francisco,K5340XDC
pastos-amarillos,K5340XAO
payabuayca,K4700XAK
penaflor,K4701XAZ
penas-blancas,K5340XDB
penon,K4700XAK
pie-del-medano,K4139XBI
piedra-larga,K4750XCP
pilciao,K4740XAC
pillahuasi,K5340XAO
planchada,K5340XAO
plaza-de-san-pedro,K5340XDC
plumero,K5260XAL
pocitos,K5340XAO
polcos,K4707XAQ
poman,K5315XAM
pomancillo,K4715XAF
portezuelo,K4718XAK
portillo-chico,K4701XBA
posta,K4718XAA
potrerito,K4707XAU
potrero,K4701XAZ
pozancones,K5260XAL
pozo-de-piedra,K4750XCM
pozo-del-algarrobo,Buscar CPA
pozo-del-campo,Buscar CPA
pozo-del-mistol,K4705XAI
pozo-grande,K4235XAV
pozos-cavados,K5260XDR
pozuelos,K4707XAU
pto-espinal,K5260XAL
pueblito,K4235XCA
puerta-de-corral-quemado,K4750XCM
puerta-grande,Buscar CPA
puerto-blanco,K4707XAU
puerto-chipi,K4707XAU
puerto-de-la-pampa,K4707XAU
puerto-potrero,K4707XAU
puesto-de-fadel-o-de-lobo,K5260XAL
puesto-de-la-viuda,G4237XAC
puesto-de-los-morales,G4352XAA
puesto-de-vera,K4701XBB
puesto-del-medio,Buscar CPA
puesto-los-gomez,K4235XCA
puesto-sabatte,K4701XBA
punta-de-agua,K5340XDE
punta-de-balasto,K4139XBI
punta-del-pozo,K5260XAL
quebrachal,Buscar CPA
quebracho,K4701XAZ
quebrachos-blancos,Buscar CPA
quebrada-honda,K5340XAO
quemadita,K5340XAO
quemado,K5340XAO
quimilpa,Buscar CPA
quiquero,K5340XAO
quiros,K5260XDR
qusto,K5340XAO
rafael-castillo,K4718XAK
ramblones,K4701XBA
recreo,K5260XAL
retiro,K5315XAL
retiro-de-colana,K5315XAL
rincon,K5315XAL
rincon-grande,K4707XAU
rio-abajo,K5340XAO
rio-chico,K4701XBB
rio-colorado,K5340XDB
rio-de-avila,K4235XCA
rio-de-bazanes,K4701XBA
rio-de-don-diego,K4701XBA
rio-de-la-dorada,K4701XBA
rio-de-la-plata,K4235XCA
rio-de-los-indios,K5340XAO
rio-del-tala,K4700XAK
rio-grande,K5340XDC
rio-los-molinos,K4701XAZ
rodeo,K5340XAO
rodeo-gervan,K4750XCM
rodeo-grande,K4740XAC
rosario-de-colana,K5315XAL
rumimonion,K4707XAU
salado,K5340XDB
salauca,Buscar CPA
salcedo,K4718XAK
san-antonio-de-la-paz,K5260XCQ
san-antonio-de-p-blanca,K4707XAQ
san-antonio-de-paclin,K4718XAL
san-antonio-del-cajon,K4139XBI
san-antonio-fray-m-esquiu,K4707XAQ
san-antonio-viejo,K5260XCQ
san-fdo-del-valle-de-catamarca,K4700XAK
san-fernando,K4750XCM
san-francisco,K4701XBB
san-geronimo,Buscar CPA
san-isidro,K4707XAQ
san-jeronimo,K4235XCA
san-jose-banda,K4139XBI
san-jose-de-tinogasta,K5340XDC
san-jose-norte,K4139XBI
san-luis,Buscar CPA
san-manuel,K5260XCQ
san-nicolas,K4701XBA
san-pablo,K4728XAB
san-pedro,Buscar CPA
san-pedro-capayan,K4728XAB
san-rafael,K5260XAL
san-roque,K5260XAL
san-vicente,K4235XCA
sancho,K5260XAL
santa-ana,K4718XAA
santa-barbara,K4718XAA
santa-gertrudis,K4701XAZ
santa-lucia,K5260XAL
santa-maria,K4139XBI
santo-domingo,K5260XAL
santo-tomas,K5340XDC
santos-lugares,Buscar CPA
sauce,K4700XAK
sauce-de-los-cejas,K4701XBB
sauce-mayo,K4718XAT
saujil,K4723XBI
saujil-de-tinogasta,K5340XDC
shincal,K4707XAU
sicha,K4701XBB
sierra-brava,K4715XAF
sijan,K5319XAA
singuil,K4715XAF
sisiguasi,K4707XAU
soledad,K4701XAZ
sucuma,K4235XCA
sumalao,K4705XAI
sumampa,K4718XAT
suncho,K5340XAO
superi,K4718XAA
suruipiana,K4235XCA
tacahuasi,K4705XAI
tacana,K4701XAZ
taco-de-abajo,K4701XAZ
tacopampa,K4701XBA
tajamares,K5260XAL
tala,K4707XAQ
tala-zapata,K5340XAO
talaguada,K4718XAA
talamayo,K4707XAU
talar,K4701XBB
talega,K4235XCA
talita,K5340XAO
tamberia,K5340XAO
tambu,K5340XAO
tapso,K4235XAV
taton,K5340XDC
telaritos,K5263XAA
tierra-verde,K4718XAL
tinajera,K5260XAL
tinogasta,K5340XAO
tintigasta,K4235XCA
tiorco,K4707XAQ
toro-muerto,K4705XAI
toroyaco,K4139XBI
totora,K5340XAO
totoral,K4701XAZ
totorilla,K4139XBI
trampasacha,Buscar CPA
tres-puentes,K4707XAQ
troya,K5340XAO
tula,K5260XCQ
tuscumayo,K5315XAM
vallecito,K5340XAO
vega,K5340XAO
vega-curutu,K4705XAI
vega-tamberia,K4705XAI
vicuna-pampa,K4750XCM
vilisman,K4235XCA
villa-collantes,K4718XAL
villa-coronel-arroyo,K4741XAA
villa-cubas,K4700XAK
villa-dolores,K4707XAQ
villa-las-pirquitas,K4707XAE
villa-macedo,K4707XAQ
villa-ofelia,K5260XAL
villa-parque-chacabuco,K4700XAK
villa-quintin-ahumada,K4740XAE
villa-san-roque,Buscar CPA
villa-seleme,K5340XDB
villa-sotomayor,K5260XAL
villa-vil,K4750XCM
vina-del-cerro,K5340XDD
vinquis,K5340XAO
viscote,K4707XAU
yacochuyo,K5340XAO
yaquicho,Buscar CPA
yerba-buena,K4701XBB
yocan,K4718XAK
zanja,K4707XAQ
zarcito,K4707XAU
zarza,K4707XAU
