Localidad,CPA
1-de-mayo,N3364XAK
17-de-agosto,N3338XAI
2-de-abril,N3338XAI
2-de-mayo,Buscar CPA
22-de-diciembre,N3370XAT
25-de-mayo,Buscar CPA
3-de-mayo,N3334XAT
9-de-julio,Buscar CPA
9-de-julio-kilometro-20,N3382XAG
acaragua,N3361XAA
adolfo-j-pomar,N3337XAA
alba-posse,Buscar CPA
almirante-brown,Buscar CPA
alta-union,Buscar CPA
aparicio-cue,N3322XBN
apostoles,Buscar CPA
aristobulo-del-valle,Buscar CPA
arrechea,N3355XAA
arroyo,N3300XAH
arroyo-del-medio,N3315XAW
arroyo-fedor,N3360XAC
arroyo-isabel,N3315XAX
arroyo-magdalena,N3308XBJ
arroyo-pastora,N3308XBK
arroyo-persiguero,N3355XAA
arroyo-santa-maria,N3355XAC
arroyo-tomas,N3308XBL
arroyo-tunitas,Buscar CPA
arroyo-yabebiri,N3322XBN
aserradero-echeverria,Buscar CPA
aserradero-pinalito,Buscar CPA
azara,Buscar CPA
banado-grande,N3308XBJ
barra-concepcion,N3355XAA
bartolito,Buscar CPA
bayo-troncho,N3360XAC
belgrano,N3315XAW
bella-vista,N3308XBL
bernardino-rivadavia,Buscar CPA
bernardo-de-irigoyen,Buscar CPA
bonpland,N3308XBJ
bonpland-norte,N3308XAL
brazo-del-tacuaruzu,N3308XBL
bretes-martires,N3355XAA
buena-vista,N3360XAD
caa-yari,N3315XBA
caapora,N3308XBK
cainguas,Buscar CPA
campana,N3361XAA
campina-de-bonpland,N3308XBJ
campina-grande,N3308XBL
campinas-de-america,Buscar CPA
campo-alegre,Buscar CPA
campo-grande,N3364XAK
campo-ramon,N3361XAA
campo-richardson,Buscar CPA
campo-san-juan,N3315XAW
campo-tornquist,N3315XBA
campo-viera,N3364XAK
campos-salles,Buscar CPA
candelaria,Buscar CPA
capiovi,Buscar CPA
capiovisino,N3334XAT
capitan-antonio-morales,Buscar CPA
capivu,Buscar CPA
capueron,N3308XBL
caraguatay,Buscar CPA
carril-de-anta,N3337XAA
carrillo-viejo,Buscar CPA
cascuda,N3337XAA
centinela,W3342XAF
cerro-azul,N3315XAW
cerro-cora,N3308XBL
cheroguita,N3350XAV
chirimay,Buscar CPA
citrus,N3322XAC
colonia-alemana,N3308XBL
colonia-alicia,Buscar CPA
colonia-almafuerte,N3308XBJ
colonia-aparecida,Buscar CPA
colonia-apostoles,Buscar CPA
colonia-aristobulo-del-valle,N3308XBJ
colonia-aurora,Buscar CPA
colonia-azara,Buscar CPA
colonia-caaguazu,N3315XBA
colonia-capon-bonito,N3355XAA
colonia-chafariz,Buscar CPA
colonia-chapa,N3361XAA
colonia-cumanday,N3360XAD
colonia-cunci,N3382XAA
colonia-delicia,N3382XAA
colonia-domingo-savio,N3322XBN
colonia-duran,N3382XAA
colonia-el-doradillo,Buscar CPA
colonia-el-pesado,Buscar CPA
colonia-el-progreso,Buscar CPA
colonia-finlandesa,N3308XBJ
colonia-florida,N3322XAC
colonia-fortaleza,Buscar CPA
colonia-gramado,Buscar CPA
colonia-guarani,N3308XBL
colonia-japonesa,N3322XAD
colonia-juanita,Buscar CPA
colonia-la-chillita,Buscar CPA
colonia-la-gruta,Buscar CPA
colonia-la-nueva,Buscar CPA
colonia-la-otilia,Buscar CPA
colonia-la-polaca,Buscar CPA
colonia-leiva,N3322XAE
colonia-manuel-belgrano,N3308XBK
colonia-martir-santa-maria,N3355XAA
colonia-martires,N3308XAL
colonia-mondori,Buscar CPA
