Localidad,CPA
6-de-octubre,R8134XAD
aguada-cecilio,R8534XAF
aguada-de-guerra,R8424XAD
aguada-de-los-pajaritos,R8301XAC
aguada-de-piedra,R8422XAC
aguada-del-loro,R8520XAB
aguada-guzman,Buscar CPA
aguara,R8307XAA
alanitos,Buscar CPA
allen,Buscar CPA
anecon-chico,R8418XAF
anecon-grande,R8416XAB
arroyo-blanco,Q8403XAA
arroyo-chacay,R8401XAE
arroyo-de-la-ventana,R8521XAC
arroyo-las-minas,R8415XAL
arroyo-los-berros,R8521XAC
arroyo-salado,R8532XAA
arroyo-tembrado,R8521XAC
arroyo-verde,R8521XAC
atraico,R8418XAF
bahia-creek,Buscar CPA
bajo-del-gualicho,R8520XAB
bajo-rico,R8360XAA
balneario-el-condor,Buscar CPA
balneario-las-grutas,R8521XAC
barda-colorada,Buscar CPA
barda-del-medio,Q8312XAA
barril-niyeo,R8422XAC
barrio-laguna,R8520XAB
barrio-norte,Buscar CPA
belisle-coronel,Buscar CPA
benjamin-zorrilla,R8360XAA
boca-de-la-travesia,R8505XAD
caltrauna,R8424XAD
campana-mahuida,R8532XAA
canadon-camallo,R8416XAB
canadon-chileno,R8417XBG
canadon-del-corral,R8412XAF
canllequin,R8417XBG
carhue,R8412XAF
carri-yegua,R8417XBG
carrilauquen,R8418XAF
casa-quemada,R8412XAF
cascada-los-cantaros,R8411XAB
catriel,R8307XAA
cerro-abanico,R8424XAD
cerro-alto,Q8403XAA
cerro-mesa,R8415XAL
cerro-policia,Buscar CPA
cervantes,Buscar CPA
chacalhua-ruca,R8415XAL
chacay-huarruca,R8415XAL
chacras-de-allen,Buscar CPA
chaiful,R8418XAF
chasico,R8417XBG
chenqueniyeu,R8412XAF
chichihuao,R8422XAC
chichinales,Buscar CPA
chimpay,Buscar CPA
china-muerta,B8504XAB
chipauquil,R8536XAA
chocori,R8503XAI
choele-choel,R8360XAA
churquineo,R8412XAF
cinco-chanares,R8520XAB
cipolletti,Buscar CPA
clemente-onelli,R8416XAB
colan-conhue,R8418XAF
coli-toro,R8418XAF
colonia-alte-guerrico,R8307XAA
colonia-el-manzano,Q8312XAA
colonia-general-frias,Buscar CPA
colonia-josefa,R8363XAA
colonia-julia-y-echarren,L8138XAD
colonia-la-luisa,R8503XAI
colonia-regina,R8336XAB
colonia-rusa,R8332XAB
colonia-san-juan,R8503XAI
comallo,R8416XAB
comallo-abajo,R8416XAB
comi-co,R8424XAD
cona-niyeu,R8521XAC
contralmirante-cordero,R8301XAC
contralmirante-m-guerrico,Buscar CPA
