Localidad,CPA
20-de-febrero,A4425XBN
ablome,A4421XAV
abra-de-araguyoc,A4633XBH
abra-del-gallo,A4411XAB
abra-grande,A4530XBH
acambuco,A4568XAA
acazoque,A4411XAB
acharas,A4434XBP
acosta,A4425XBN
acoyte,A4651XAA
agua-negra,A4415XAS
agua-sucia,A4449XAA
agua-verde,A4561XAB
aguaray,Buscar CPA
aguas-muertas,A4535XAK
alejo-de-alberro,A4407XAA
alem,A4126XAB
alfarcito,A4409XAA
algarrobal-viejo,A4535XAL
almirante-brown,A4193XBI
almona,A4421XAV
alto-alegre,A4449XAA
alto-de-la-sierra,A4561XAB
alto-del-mistol,A4535XAL
alto-verde,A4535XAK
altos-hornos-guemes,A4432XAU
amaicha,A4419XBE
amberes,A4561XAB
amblayo,A4425XBN
ampascachi,A4421XAV
ampata,A4415XAS
angastaco,Buscar CPA
angel-peredo,A4533XAE
angelica,A4533XAE
angosto-pescado,A4651XAA
animana,Buscar CPA
antilla,A4193XBI
antonio-alice,A4401XAR
antonio-quijarro,A4552XAE
apolinario-saravia,A4449XAA
arbol-solo,A4535XAL
arenales,A4535XAK
arita,A4449XAA
arjuntas,A4190XAJ
arrocero-italiano,A4444XAA
astillero,A4633XBH
atocha,A4401XAR
atudillo,A4415XAS
bacoya,A4644XAF
bajada,A4190XAJ
bajada-blanca,A4193XBI
bajada-de-gavi,A4560XAK
bajada-grande,A4560XAK
bajo-grande,A4535XAL
bajo-grande-desvio-fcgb,A4444XAA
balboa,A4193XBI
balbuena,A4561XAB
balderrama,A4440XAA
ballenal,A4405XAA
banda-grande,A4419XBE
banos-termales,A4190XAJ
baradero,A4126XAB
barbayasco,A4190XAJ
baritu,A4651XAA
barrealito,A4449XAA
barrial,Buscar CPA
barrio-la-loma,A4560XAU
barrio-parabolica,A4417XAJ
barrio-san-antonio,A4560XBE
barrio-san-cayetano,A4560XAU
barro-negro,A4415XAS
belgrano,A4560XAU
belgrano-fortin-2,A4535XAK
betania,A4432XAU
bodeguita,A4425XBN
brealito,A4419XBE
buen-lugar,A4550XAE
buena-fe,A4561XAB
burro-yaco,A4419XBE
cabeza-de-buey,A4434XBP
cabra-corral-dique,A4421XAV
