Localidad,CPA
28-de-noviembre,Buscar CPA
aguada-a-pique,Z9051XAR
aguada-alegre,Z9310XAA
aguada-escondida,Z9019XAA
aguada-grande,Z9053XAA
aguada-la-oveja,Z9051XAR
alma-grande,Z9015XAA
an-aike,Z9400XAA
bahia-langara,Z9011XAA
bahia-laura,Z9310XAA
bahia-tranquila,Z9405XAD
bajo-caracoles,Z9315XAB
bajo-fuego,Z9310XAA
bella-vista,Z9400XAA
cabo-blanco,Z9051XAR
cabo-de-las-virgenes,Z9400XAA
cabo-tres-puntas,Z9051XAR
caleta-olivia,Z9011XAA
cameron,Z9017XAK
campamento-dorotea,Buscar CPA
camuzu-aike,Z9400XAA
canadon-11-de-setiembre,Z9310XAA
canadon-botello,Z9040XAF
canadon-de-las-vacas,Z9300XAC
canadon-del-rancho,Z9300XAC
canadon-del-toro,Z9303XAD
canadon-fabre,Z9400XAA
canadon-leon,Z9311XAC
canadon-molinari,Z9311XAC
canadon-pluma,Z9017XAK
cancha-carrera,Z9400XAA
cap,Z9400XAA
cara-mala,Z9313XAB
cerro-alto,Z9053XAA
cerro-la-setenta,Z9017XAK
cerro-mangrullo,Z9011XAA
cerro-moro,Z9019XAA
cerro-negro,Z9053XAA
cerro-palique,Z9400XAA
cerro-puntudo,Z9051XAR
cerro-renzel,Z9017XAK
cerro-silva,Z9017XAK
chall-aike,Z9400XAA
charles-fuhr,Z9405XAD
chonque,Z9303XAD
colonia-carlos-pellegrini,Z9017XAK
colonia-leandro-n-alem,Z9040XAF
comandante-luis-piedrabuena,Z9303XAD
condor,Z9400XAA
condor-clif,Z9405XAD
coronel-guarumba,Z9400XAA
coronel-martin-irigoyen,Buscar CPA
cueva-de-las-manos,Z9017XAK
desamparados,Z9053XAA
el-baile,Z9303XAD
el-barbucho,Z9053XAA
el-calafate,Z9405XAD
el-cerrito,Z9405XAD
el-chalten,Buscar CPA
el-chara,Z9051XAR
el-hueco,Z9051XAR
el-loro,Z9051XAR
el-pan-de-azucar,Z9303XAD
el-paso,Z9303XAD
el-pluma,Z9017XAK
el-polvorin,Z9051XAR
el-portezuelo,Z9040XAF
el-salado,Z9313XAB
el-turbio,Buscar CPA
el-zurdo,Z9401XAC
estacion-ing-atilio-cappa,Z9400XAA
faro-cabo-guardian,Z9313XAB
faro-campana,Z9313XAB
fitz-roy,Z9019XAA
floradora,Z9053XAA
fortaleza,Z9401XAC
fuentes-de-coyle,Z9401XAC
garminue,Z9303XAD
gaypon,Buscar CPA
glencross,Buscar CPA
gobernador-gregores,Z9311XAC
gobernador-mayer,Z9401XAC
gobernador-moyano,Z9050XAA
guardaparque-fitz-roy,Buscar CPA
h-yrigoyen-lago-posadas,Z9315XAB
hotel-las-horquetas,Z9315XAB
india-muerta,Z9017XAK
ingeniero-atilio-cappa,Z9400XAA
ingeniero-pallavicini,Z9040XAF
jaramillo,Z9053XAA
jelaina,Z9015XAA
julia-dufour,Buscar CPA
kilometro-8,Z9050XAA
koluel-kaike,Z9019XAA
la-aguada,Z9051XAR
la-antonia,Z9015XAA
la-argentina,Z9017XAK
la-asturiana,Z9040XAF
la-barreta,Z9303XAD
la-central,Z9051XAR
la-esperanza,Z9401XAC
la-estela,Z9051XAR
la-esther,Z9011XAA
la-fecundidad,Z9051XAR
la-federica,Buscar CPA
la-florida,Buscar CPA
la-guardia,Z9015XAA
la-julia,Z9303XAD
la-leona,Z9303XAD
la-madrugada,Z9051XAR
la-manchuria,Z9311XAC
la-margarita,Z9051XAR
la-maria,Z9017XAK
la-peninsula,Z9311XAC
la-pigmea,Z9303XAD
la-portena,Z9303XAD
la-protegida,Z9051XAR
la-rosa,Z9015XAA
la-rosada,Z9051XAR
la-victoria,Z9051XAR
la-violeta,Z9051XAR
lago-argentino,Z9405XAD
lago-cardiel,Buscar CPA
lago-pueyrredon,Z9310XAA
lago-roca,Z9405XAD
lago-san-martin,Buscar CPA
lago-strobel,Z9311XAC
lago-tar,Buscar CPA
laguna-colorada,Z9400XAA
laguna-grande,Z9303XAD
las-heras,Z9017XAK
las-horquetas,Z9400XAA
las-masitas,Z9017XAK
las-mercedes,Z9303XAD
las-piramides,Z9017XAK
leandro-niceforo-alem,Z9017XAK
los-manantiales,Z9313XAB
los-perales,Z9017XAK
mata-magallanes,Z9017XAK
mazaredo,Z9051XAR
meseta-guengue,Z9017XAK
mina-3,Buscar CPA
minerales,Z9015XAA
monte-aymond,Z9400XAA
monte-ceballos,Z9040XAF
monte-verde,Z9019XAA
morro-chico,Buscar CPA
nacimientos-del-pluma,Z9040XAF
palermo-aike,Z9400XAA
pali-aike,Z9400XAA
pampa-verdum,Z9017XAK
paso-charles-fhur,Z9405XAD
paso-de-los-indios,Z9303XAD
paso-del-aguila,Z9311XAC
paso-del-medio,Z9400XAA
paso-del-rio-santa-cruz,Z9303XAD
paso-gregores,Z9050XAA
paso-ibanez,Z9303XAD
paso-rio-la-leona,Buscar CPA
paso-roballo,Z9315XAB
pellegrini,Z9017XAK
peninsula-maipu,Buscar CPA
