Localidad,CPA
22-de-mayo,S2124XAD
4-de-febrero,S2732XAA
aaron-castellanos,S6106XAE
abipones,S3042XAA
acebal,Buscar CPA
achaval-rodriguez,S2344XAA
adolfo-alsina,S2311XAC
aero-club-rosario,S2132XAC
aguara-grande,S3071XAA
albarellos,Buscar CPA
alcorta,Buscar CPA
aldao,Buscar CPA
alejandra,Buscar CPA
allende,S3550XAE
alto-verde,S3001XAM
alvarez,Buscar CPA
alvear,Buscar CPA
ambrosetti,Buscar CPA
amenabar,Buscar CPA
andino,Buscar CPA
angel-gallardo,Buscar CPA
angelica,Buscar CPA
angeloni,S3048XAC
antonio-pini,S3061XAI
arequito,S2183XAB
arijon,S2242XAA
arminda,Buscar CPA
armstrong,Buscar CPA
arocena,S2242XAA
aromos,S3036XAB
arrascaeta,S3046XAK
arroyo-aguiar,Buscar CPA
arroyo-ceibal,Buscar CPA
arroyo-del-rey,S3565XAA
arroyo-leyes,S3001XAM
arrufo,S2344XAA
arsenal-de-guerra-san-lorenzo,S2156XAB
arteaga,Buscar CPA
ascochingas,Buscar CPA
asuncion-maria,S3040XAG
ataliva,Buscar CPA
aurelia,Buscar CPA
aurelia-norte,Buscar CPA
aurelia-sud,Buscar CPA
avellaneda,Buscar CPA
avena,S2449XAA
avichuncho,S3040XAG
bajo-las-tunas,S3017XAA
barlett,S2175XAA
barrancas,Buscar CPA
barranquitas,S3000XAD
barrio-belgrano-ortiz,S2440XAA
barrio-caima,S2242XAA
barros-pazos,S3569XAC
bauer-y-sigel,S2403XAA
bealistock,S2326XAE
bella-italia,Buscar CPA
berabevu,Buscar CPA
berna,S3569XAC
bernard,Buscar CPA
bernardo-de-irigoyen,Buscar CPA
berretta,S2501XAC
boca-p-25,S2600XAB
borghi,S2156XAB
bossi,S2326XAE
bustinza,S2501XAC
cabal,S3036XAB
cabana-el-cisne,S2322XAA
cabeza-de-chancho,S3061XAI
cacique-ariacaiquin,S3041XAB
cafferata,Buscar CPA
calchaqui,Buscar CPA
calchines,S3001XAM
caminera-general-lopez,S2720XAA
