Localidad,CPA
25-de-mayo-de-barnegas,G4205XAC
25-de-mayo-sud,G4352XAA
3-de-marzo,G3763XAB
7-de-abril,G4197XCQ
abra-de-la-cruz,G4225XAC
abra-de-quimil,G5255XBJ
abra-grande,G4336XAF
abras-del-martirizado,G4225XAC
abras-del-medio,G4233XAV
abrita,G4206XBI
abrita-chica,G4201XBW
abrita-grande,G4201XBW
acos,G4176XAD
acosta,G4302XAB
aerolito,G3741XAJ
agua-amarga,G4197XCQ
agua-azul,G4189XAA
agua-caliente,G5251XAH
agua-dulce,G3763XAB
agua-salada,G3736XAG
agua-turbia,G5251XAH
aguada,G4220XAA
aguadita,G5251XAH
aguas-coloradas,G4301XAC
agujereado,G5255XBJ
agustina-libarona,G3741XAJ
alarcon,G2356XAX
albardon,G5253XBQ
albardon-chuna,G4208XAB
alberdi,G4238XAR
alejito,G4350XAA
algarrobal-viejo,G4197XCQ
algarrobales,G4304XAA
algarrobo,G5251XAH
alhuampa,G3741XAJ
alpa-puca,G4225XAC
alpapuca,G5251XAH
alto-alegre,G4233XAV
alto-bello,G4220XAN
alza-nueva,G4352XAA
amama,G4352XAA
amapola,G4223XAA
ambargasta,G5251XAH
amicha,G4225XAC
amiman,G5251XAH
amoladeras,G5255XBJ
ampa,G4350XAA
anatuya,Buscar CPA
anca,G4321XAX
ancajan,G4233XAV
anchanga,G4201XBW
anchilo,G3740XBA
anchoriga,G4313XBI
ancocha,G4201XBW
ancoche,G5251XAH
anga,G4321XAX
anil,G4184XAT
animas,G4184XAT
anjuli,G4220XAA
antaje,G4302XAB
antilo,G4225XAC
antuco,G5250XBY
aragones,G4201XBW
arbol-blanco,G3731XAB
arbol-negro,G2356XAX
ardiles,G4302XAB
ardiles-de-la-costa,G4302XAB
areas,G4301XAC
arenales,T4187XBI
argentina,G3749XAX
armonia,G4352XAA
arraga,G4206XBI
arroyo-tala,G4220XAN
atahualpa,H3714XBE
atoj-pozo,G4313XBI
ave-maria,G4326XAA
averias,G3763XAB
ayuncha,G4208XAB
azogasta,G4350XAA
azucena,G2356XAX
babilonia,G4301XAC
baez,G5255XBJ
bagual-muerto,G4197XCQ
bahia-blanca,G5250XBY
bahoma,G4220XAA
bajo-verde,G4223XAA
balbuena,G5250XBY
balde-pozo,G4237XAC
bandera,Buscar CPA
banegas,G4302XAB
barranca-colorada,G4313XBI
barrial-alto,G4313XBI
barrio-este,G4197XAT
barrio-jardin,G4356XAC
barrio-la-lenera,Buscar CPA
barrio-obrero,G3740XBA
barrio-villa-cohesa,G4200XAD
barrio-villa-fernandez,Buscar CPA
bauman,G4225XAC
bayo-muerto,G4197XCK
bebidas,G4225XAC
bejan,G4225XAC
belgica,G3712XAG
beltran,G4308XAC
binal-esquina,Buscar CPA
blanca-pozo,G4332XAA
blanco-pozo,G4184XAT
bobadal,T4187XBI
boqueron,G4313XBI
bordo-pampa,G4321XAX
botija,G4197XAT
bracho,G4332XAA
brandan,G4197XCQ
brea-pozo,G4313XBI
brea-pozo-viejo,G4313XBI
brea-pununa,G4201XBW
brealoj,G4328XAB
buena-esperanza,G5255XBJ
buenos-aires,G4356XAC
buey-muerto,G4308XAC
buey-rodeo,G4206XBI
burra-huanuna,G4208XAB
burro-pozo,G4317XBG
cabra,G4220XAN
cachico,G4306XAD
calderon,G3736XAG
caleras,G5250XBY
callejon-bajada,G4301XAC
caloj,G4326XAA
campo-amarillo,G4189XAA
campo-belgrano,G3062XAK
campo-del-aguila,G5250XBY
campo-del-cielo,G3736XAG
campo-del-cisne,G5255XBJ
campo-del-infierno,G3736XAG
campo-el-rosario,G3736XAG
campo-gallo,G4238XAR
campo-la-angelita,G3712XAG
campo-nuevo,G4206XBI
campo-ramon-laplace,G2356XAX
canada,G4220XAN
canada-de-la-costa,G4220XAA
canada-de-la-cruz,G5250XBY
canada-del-medio,G4201XBW
canada-escobar,G4301XAC
canada-honda,G4220XAA
canada-rica,G4208XAB
canada-san-ramon,G4208XCF
canada-tala-pozo,G4223XAA
canario,G4233XAV
canas-paso,G4313XBK
cancinos,G4201XBW
caneinos,G4201XBW
canitas,G5253XBQ
cantamampa,G5250XBY
canteros,G4301XAC
capilla,G2356XAX
caranchi-yaco,G5250XBY
cardon-esquina,G4301XAC
cardozos,G4201XBW
carrera-vieja,G5250XBY
carretero,G4350XAA
casa-alta,G4356XAC
casa-de-dios,G5253XBQ
casa-verde,G4301XAC
casares,G3749XAX
cashico,G4306XAD
caspi-corral,G4301XAC
catorce-quebrachos,G4201XBW
cazadores,G4324XAJ
ceja-pozo,G4184XAT
cejas,G4301XAC
cejolao,G3741XAJ
celestina,G4352XAA
central-dolores,G3745XAA
cerrillo,G4336XAF
cerrillos-de-san-isidro,G4356XAC
cerrito,G5258XAF
cerro-rico,G4352XAA
chaguar-puncu,G4322XCN
chainima,G5250XBY
chanar-aguada,G4197XAT
chanar-bajada,G4301XAC
chanar-esquina,G4301XAC
chanar-laguna,G4356XAC
chanar-pocito,G4225XAC
chanar-pozo-de-abajo,G4220XAA
chanar-sunichaj,G3749XAX
chanar-yaco,G5250XBY
chanaritos,G5251XAH
chanchillos,G4201XBW
charquina,G4313XBI
chauchillas,G4201XBW
chaupi-pozo,G4302XAB
chaves,G4205XAC
cheej,G4324XAJ
chilca-albardon,G4317XBG
chilca-juliana,G4313XBK
chilcas-la-loma,G4201XBW
chile,G4301XAC
chileno,G4313XBK
chillimo,G4237XAC
chilpa-mayo,G4313XBI
chilquita,G4317XBG
chilquita-i,G4201XBW
chilquitas,G4317XBG
chimpa-macho,G4313XBI
chira,G4321XAX
choya,G4233XAV
chuchi,G5251XAH
chuna-albardon,G4208XAB
chuna-palma,G4326XAA
churqui,G4301XAC
churqui-esquina,G4301XAC
clavel-blanco,X2341XAA
cleveland,G2356XAX
clodomira,G4197XCK
codillo,G5255XBJ
codo-bajada,G4350XAA
codo-pozo,G4326XAA
codo-viejo,G4208XCF
collera-huircuna,G4208XCF
collera-huiri,G4317XBG
collera-hurcuna,G4208XAB
collujlioj,G4324XAJ
collun-lioj,G4324XAJ
colombia,H3714XBE
colonia-alpina,X2341XAA
colonia-alsina,Buscar CPA
colonia-dora,G4332XAA
colonia-el-peligro,G3712XAG
colonia-el-simbolar,G4322XBH
colonia-ermelinda,G2356XAX
colonia-espana,G3740XBA
colonia-geraldina,X2341XAA
colonia-isla,G4328XAB
colonia-la-victoria,G3749XAX
colonia-mackinlay,G3749XAX
colonia-maria-luisa,G4197XAT
colonia-mercedes,G5255XBJ
colonia-paula,G2356XAX
colonia-paz,G4356XAC
colonia-pinto,G4313XBI
colonia-san-juan,G4352XAA
colonia-santa-rosa-aguirre,G2357XAJ
colonia-siegel,G4356XAC
colonia-tinco,G4220XAA
concepcion,G4324XAJ
conchayos,G4326XAA
condor-huasi,G4197XCK
consulnoj,G4326XAA
contreras-establecimiento,G4200XAD
conzo,G4220XAN
copo-viejo,G4189XAA
coraspino,G4324XAJ
coro-abra,G4336XAF
coronel-barros,Buscar CPA
coronel-fernandez,G5255XBJ
coronel-manuel-leoncio-rico,G3712XAG
corral-grande,G4350XAA
corral-quemado,G4197XCQ
corralito,G5251XAH
cortadera,G4220XAN
cortaderas,G5250XBY
costa-rica,G4206XBI
costa-vieja,G5253XBQ
cruz-bajada,G4197XAT
cruz-chula,G4350XAA
cruz-grande,G4322XBH
cruz-loma,G4350XAA
cuatro-bocas,S3061XAI
cuichicana,G4220XAN
cuquenos,G4301XAC
cuquero,G5250XBY
cuyoj,G4197XAT
desvio-kilometro-1342,G3712XAG
desvio-pozo-dulce,G3062XAK
diaspa,G4324XAJ
diente-del-arado,G4208XAB
dique-chico,G4301XAC
dique-figueroa,G4301XAC
dique-los-quiroga,G4201XBW
divisadero,G4233XAV
doble-tero,G3741XAJ
dolores-central,G4352XAA
don-bartolo,G4184XAT
don-pietro,Buscar CPA
dona-lorenza,G2356XAX
dona-luisa,G4225XAC
donadeu,G3741XAJ
dormida,G4208XAB
dos-arboles,G4197XAT
dos-eulacias,G3740XBA
dos-eulalias,G3741XAJ
dos-hermanos,G4350XAA
dos-represas,G3736XAG
dos-varones,G5250XBY
ea-la-verde,G4184XAT
el-21,G3745XAA
el-aerolito,G3712XAG
el-agricultor,Buscar CPA
el-aibe,G4302XAB
el-algarrobo,G5255XBJ
el-anil,G4306XAD
el-arenal,T4187XBI
el-aspirante,G3749XAX
el-bagual,T4178XFA
el-balde,G4197XCQ
el-baldecito,G4197XCQ
el-banadero,G4301XAC
el-bobadal,T4187XBI
el-bordito,G5255XBJ
el-bosque,G4197XAT
el-bragado,G4352XAA
el-bravo,H3734XAD
el-cabure,G3712XAG
el-cachi,G5251XAH
el-cadillo,G5255XBJ
el-canal,G4356XAC
el-candelero,Buscar CPA
el-canon,G3062XAK
el-cercado,G4302XAB
el-cerrito,G4301XAC
el-cerrito-monte-quemado,H3714XBE
el-cerro,G5251XAH
el-charabon,G3749XAX
el-charco,G4306XAD
el-chinchillar,G4356XAC
el-cincuenta,G4321XAX
el-colmenar,G5250XBY
el-colorado,G3741XAJ
el-corrido,G5250XBY
el-crece,G4308XAC
el-cruce-kilometro-659,G4197XAT
el-cuadrado,G3765XAH
el-cuarenta-y-nueve,G5250XBY
el-destino,G2356XAX
el-diablo,G4197XCQ
el-divisadero,G5250XBY
el-dorado,G4313XBI
el-durazno,T4187XBI
el-empachado,G4324XAJ
el-escondido,G4356XAC
el-favorito,G4197XCK
el-fisco-de-fatima,G3741XAJ
el-florido,G4197XCQ
el-fraile,G4201XBW
el-galpon,G2356XAX
el-guayacan,G4306XAD
el-hoyo,G3745XAA
el-huaico,G2357XAJ
el-jardin,G3062XAK
el-jume,G5250XBY
el-juncal,G4324XAJ
el-malacara,G3761XAA
el-manantial,G4220XAA
el-marne,G4206XBI
el-mataco,Buscar CPA
el-molar,G4184XAT
el-molle,G5253XBQ
el-mulato,G4208XAB
el-naranjo,G5251XAH
el-negrito,G4352XAA
el-nerio,G4205XAC
el-olivar,G4301XAC
el-once,G3062XAK
el-oscuro,G5250XBY
el-oso,G3749XAX
el-pacara,T4178XFA
el-palmar,H3714XBE
el-parana,G4184XAT
el-peral,G4201XBW
el-perseguido,G3712XAG
el-pertigo,G4322XCJ
el-peru,G4317XBG
el-pinto,G4208XAB
el-pirucho,G4301XAC
el-potrero,G4197XCQ
el-prado,G3743XAD
el-quebrachal,G4225XAC
el-quillin,K4235XAV
el-rajo,G4233XAV
el-real,G4197XCQ
el-recreo,G4356XAC
el-remanso,G4208XAB
el-remate,Buscar CPA
el-salvador,G4352XAA
el-segundo,G5250XBY
el-senuelo,G4205XAC
el-setenta,G3062XAK
el-silencio,G3712XAG
el-solitario,G2356XAX
el-tacial,G4233XAV
el-tala,G4220XAN
el-tanque,G3741XAJ
el-tobiano,Buscar CPA
el-traslado,G5250XBY
el-trece,G4328XAB
el-ucle,G3749XAX
el-urunday,G3736XAG
el-valle,G5250XBY
el-valle-de-oriente,G5250XBY
el-veinte,G3736XAG
el-veinticinco,G4233XAV
el-veinticinco-de-mayo,G4233XAV
el-veintisiete,G3743XAD
el-vinalar,G4200XAD
el-vinalito,G5255XBJ
escalera,G4317XBG
escuela-1050,G4220XAN
escuela-1080,G4220XAA
escuela-109,G4220XAA
escuela-20,G4220XAN
escuela-57,G4220XAA
escuela-665,G4220XAN
escuela-708,G4220XAN
escuela-879,G4356XAC
espinal,G4220XAA
espinillo,G5250XBY
establecimiento-14-de-setiembr,G4206XBI
estacion-atamisqui,G4208XCF
estados-unidos,G3712XAG
estancia-el-carmen,G2357XAJ
estancia-la-agustina,G4238XAR
estancia-la-elsita,G3740XBA
estancia-la-invernada,G4352XAA
estancia-nueva-esperanza,G3736XAG
estancia-vieja,G4220XAA
esteco,G4301XAC
esteros,G4301XAC
ezcurra,G4206XBI
famatina,G4220XAN
farol,G4220XAN
favorina,G4220XAN
favorita,G4197XCK
fernandez,G4322XCN
fierro,H3714XBE
fivialtos,G5250XBY
floresta,G4322XCJ
fortin-inca,G3062XAK
fortin-la-viuda,G3749XAX
fortuna,G4301XAC
frias,G4356XAC
galeano,G4220XAA
gallegos,G4313XBI
garceano,G4313XBI
garza,G4324XAJ
gaspar-suarez,G4184XAT
genoveva,G3741XAJ
gibialto,G5251XAH
girardet,G3736XAG
gramilla,G4304XAA
gramillal,G5251XAH
granadero-gatica,G3741XAJ
guaipi,G4324XAJ
gualamba,G3763XAB
guampacha,G4220XAN
guanaco-sombriana,G4212XAB
guanacuyoj,G4189XAA
guanagasta,G4328XAB
guarcan,G4301XAC
guardia,G4326XAA
guardia-de-la-esquina,G5251XAH
guardia-del-norte,G4220XAN
guardia-escolta,G3062XAK
guardia-vieja,G2356XAX
guatana,G4356XAC
guayacan,G4197XAT
guaycuru,G4302XAB
guaype,G4350XAA
guerra,G4313XBK
guinao,G4326XAA
haase,G3741XAJ
hahuancuyos,G4197XCQ
hernan-mejia-miraval,G3741XAJ
herrera,G4328XAB
higuera-chaqui,G4308XAC
higuerillas,G4317XBG
