Localidad,CPA
aserradero-arroyo,V9420XAA
bahia-lapataia,V9410XAA
base-aerea-teniente-matienzo,V9411XAJ
base-aerea-vicecomod-marambio,V9411XAJ
base-belgrano,V9411XAJ
base-belgrano-2,V9411XAJ
base-belgrano-3,V9411XAJ
base-cientifica-tte-jubany,V9411XAJ
base-ejercito-esperanza,V9411XAJ
base-ejercito-gral-san-martin,V9411XAJ
base-ejercito-primavera,V9411XAJ
base-ejercito-sobral,V9411XAJ
base-orcadas,V9411XAJ
cabana-ruby,V9420XAA
cabo-san-pablo,V9420XAA
campamento-central-ypf,V9420XAA
campamento-los-chorrillos,V9420XAA
comisaria-radman,V9420XAA
destacamento-melchior,V9411XAJ
el-paramo,V9420XAA
estacion-aeronaval,V9411XAJ
estacion-cientifica-alte-brown,V9411XAJ
estacion-osn,V9420XAA
estancia-aurelia,V9420XAA
estancia-buenos-aires,V9420XAA
estancia-carmen,V9420XAA
estancia-cauchico,V9420XAA
estancia-costancia,V9420XAA
estancia-cullen,V9420XAA
estancia-despedida,V9420XAA
estancia-dos-hemanas,V9420XAA
estancia-el-roble,V9420XAA
estancia-el-rodeo,V9420XAA
estancia-el-salvador,V9420XAA
estancia-guazu-cue,V9420XAA
estancia-harberton,V9410XAA
estancia-herminita,V9420XAA
estancia-ines,V9420XAA
estancia-jose-menendez,V9420XAA
estancia-la-criolla,V9420XAA
estancia-la-fueguina,V9420XAA
estancia-la-indiana,V9420XAA
estancia-la-portena,V9420XAA
estancia-las-hijas,V9420XAA
estancia-las-violetas,V9420XAA
estancia-laura,V9420XAA
estancia-libertad,V9420XAA
estancia-los-cerros,V9420XAA
estancia-los-flamencos,V9420XAA
estancia-maria-behety,V9420XAA
estancia-maria-cristina,V9420XAA
estancia-maria-luisa,V9420XAA
estancia-marina,V9420XAA
estancia-miramonte,V9420XAA
estancia-pirinaica,V9420XAA
estancia-policarpo,V9420XAA
estancia-rio-claro,V9420XAA
estancia-rio-ewan,V9420XAA
estancia-rio-irigoyen,V9420XAA
estancia-rivadavia,V9420XAA
estancia-rolito,V9420XAA
estancia-rosita,V9420XAA
estancia-ruby,V9420XAA
estancia-san-jose,V9420XAA
estancia-san-julio,V9420XAA
estancia-san-justo,V9420XAA
estancia-san-martin,V9420XAA
estancia-san-pablo,V9420XAA
estancia-santa-ana,V9420XAA
estancia-sara,V9420XAA
estancia-tepi,V9420XAA
estancia-viamonte,V9420XAA
hosteria-kaiken,V9410XAA
isla-de-los-estados,V9410XAA
isla-gran-malvina,V9409XAA
isla-joinville,V9411XAJ
isla-shetland-del-sur,V9411XAJ
isla-soledad,V9409XAA
islas-georgias-del-sur,V9411XAJ
islas-orcadas-del-sur,V9411XAJ
islas-sandwich-del-sur,V9411XAJ
lago-khami,V9420XAA
mision-salesiana-mnor-fagnano,V9420XAA
punta-maria,V9420XAA
rio-grande,V9420XAA
san-sebastian,V9420XAA
santa-ines,V9420XAA
tolhuin,V9420XAA
ushuaia,V9410XAA
