Localidad,CPA
25-de-mayo,T4242XAO
7-de-abril,Buscar CPA
9-de-julio,T4242XAO
abra-baya,T4137XBL
abra-de-la-picaza,T4137XBL
abra-de-yareta,T4137XBL
abra-del-infiernillo,T4137XBL
abra-del-tafi,T4105XBK
abra-el-candado,T4124XDC
abra-rica,T4178XFA
acequiones,T4124XDC
acheral,Buscar CPA
aconquija,T4107XAE
acostilla,T4113XAR
agua-colorada,T4119XBM
agua-el-simbo,T4124XDC
agua-negra,T4101XBW
agua-rosada,T4124XDC
aguada-de-jorge,T4124XDC
aguas-blancas,T4119XBM
aguilares,Buscar CPA
ahi-veremos,T4115XBH
alabama,T4117XAT
alabama-nueva,T4178XFA
alderetes,T4178XFA
alisos,T4137XBL
alizal,T4122XBE
alongo,T4161XAA
alpachiri,T4149XAI
alta-gracia-de-villa-burruyacu,T4101XBW
alto-cazadera,T4137XBL
alto-de-anfama,T4107XAE
alto-de-la-angostura,T4124XDC
alto-de-leiva,T4142XAD
alto-de-los-gimenez,T4124XDC
alto-de-los-reales,T4137XBL
alto-de-medina,T4117XAT
alto-del-huascho,T4137XBL
alto-del-lampazo,T4137XBL
alto-del-puesto,G4176XAD
alto-el-puesto,T4159XAK
alto-la-totora,T4124XDC
alto-las-flores,Buscar CPA
alto-los-cardones,T4137XBL
alto-nuestra-senora-del-valle,T4109XAB
alurralde,T4122XBE
amaicha-del-llano,T4168XCM
amaicha-del-valle,T4137XBL
amberes,T4144XAD
amimpa,G4176XAD
ampata,T4174XAW
ampatilla,T4174XAW
ampimpa,T4137XBL
amunpa,G4176XAD
anca-juli,T4105XBK
anchillos,T4124XCI
andres-ferreyra,T4178XFA
anegados,T4168XCM
anfana,T4105XBK
animas,G4176XAD
anjuana,T4124XCI
anta,A4434XBP
anta-chica,T4187XBI
antama,T4107XAE
antiguo-quilmes,T4137XBL
antillas,T4119XBM
antu-mapu,T4119XBM
aparadero-militar-gral-munoz,T4142XAD
aragon,T4122XBE
aragones,T4142XAD
aran,T4142XAD
aranilla,Buscar CPA
araoz,T4178XFA
arbol-solo,T4178XFA
arboles-grandes,G4176XAD
arboles-verdes,G4176XAD
arcadia,T4178XEN
arenilla,Buscar CPA
arocas,T4174XAW
arroyo-atahona,T4174XAW
arroyo-barriento,Buscar CPA
arroyo-de-la-cruz,T4115XBH
arroyo-mal-paso,T4157XAK
aserradero,T4101XBW
asna-yaco,T4119XBM
atahona,T4174XAW
avestilla,T4113XAR
b-zorrilla,T4142XAD
bajastine,T4164XAC
bajo-de-los-sueldos,T4151XAL
bajo-de-raco,T4103XAU
balderrama,T4172XCH
balderrama-sur,T4174XAW
banado-del-valle,T4137XBP
banda,T4137XBL
banda-del-rio-sali,T4109XAB
barborin,T4124XDC
barrancas,G4176XAD
barrancas-coloradas,T4115XBH
barranqueras,G4176XAD
barrealito,T4115XBH
barrio-casino,T4107XAE
barrio-diagonal,T4101XBW
barrio-rivadavia,T4101XBW
barrio-textil,T4109XAC
barrosa,G4176XAD
batiruana,T4162XCC
belicha-huaico,T4149XAI
bella-vista,T4168XCM
bello-horizonte,T4178XFA
beltran,T4242XAO
benjamin-araoz,T4119XBM
bilca-pozo,T4137XBP
blanco-pozo,T4178XFA
boba-yacu,T4124XDC
boca-de-la-quebrada,T4162XCC
boca-del-tigre,T4178XFA
bracho-viejo,T4178XFA
buen-retiro,T4115XBH
buena-vista-oeste,T4168XCM
buena-yerba,T4174XAW
burruyacu,T4119XBM
bustamante,G4184XAT
cachi-yaco-apeadero-fcgb,T4113XAR
cachiyaco,T4168XCM
cajas-viejas,T4162XCC
calera-de-chirimayo,T4109XAC
california,T4119XBM
calimayo,T4105XBK
calimonte,T4124XCI
camino-del-peru,T4105XBK
campo-alegre,G4176XAD
campo-bello,T4159XAK
campo-blanco,T4137XBL
campo-de-las-gallinas,T4137XBL
campo-de-los-cardones,T4137XBL
campo-de-los-chanares,T4137XBL
campo-de-talamayo,T4158XBO
campo-el-luisito,T4178XFA
campo-el-mollar,T4178XFA
campo-grande,T4159XAK
campo-herrera,T4105XBK
campo-la-cruz,T4161XAA
campo-la-flor,T4178XFA
campo-la-flor-los-ralos,T4182XAE
campo-solco-los-cochamolles,T4109XAC
campo-volante,T4172XCI
campo-zauzal,T4137XBL
canada,T4129XAE
canada-alegre,T4119XBM
canada-angosta,T4119XBM
canada-de-alzogaray,T4117XAT
canada-de-la-cruz,T4119XBM
canada-de-los-negros,T4119XBM
canada-de-viclos,T4178XFA
canada-del-arenal,T4124XDC
canada-el-arenal,T4168XCM
canada-honda,T4101XBW
canada-larga,T4101XBW
canada-yerba-buena,T4129XAE
canadas,G4176XAD
canete,T4186XAD
capilla,T4124XDC
capitan-caceres,T4142XAD
carancho-pozo,T4168XCM
carapunco,T4137XBL
carbon-pozo,T4137XBP
carolinas-bajas,T4117XAT
carreta-quemada,T4109XAC
carrichango,T4115XBH
casa-de-campo,T4137XBL
casa-de-piedra,T4142XAD
casa-de-piedras,T4158XBO
casa-de-zinc,T4137XBL
casa-rosada,T4178XFA
casa-santa,G4176XAD
casa-vieja,T4162XCC
casales,T4119XBM
caspichango-viejo,T4142XAD
caspinchango,T4135XAC
castillas,T4172XCI
ceja-pozo,T4187XBI
cejas-de-aroca,T4174XAW
cejas-de-benachillos,T4178XFA
cerco-cuatro,T4178XFA
cervalito,T4124XDC
cevil-grande,T4155XAH
cevil-pozo,T4178XFA
cevil-redondo,T4105XBK
cevil-solo,T4157XAK
chabela,T4117XAT
chalchacito,T4242XAO
chamico,T4119XBM
chanar,G4176XAD
chanar-muya,T4168XCM
chanar-pago,T4137XBP
chanar-pozo,T4168XCM
chanar-taqueno,T4117XAT
chanar-via,T4117XAT
chanar-viejo,T4117XAT
chanarito,T4168XCM
chanaritos,T4242XAO
chasquivil,T4105XBK
chavarria,T4155XAH
chigligasta,T4174XAW
chilcal,T4137XBP
chilcas,T4119XBM
choromoro,T4122XBE
chulca,T4124XDC
churqui,T4119XBM
chuscha,T4122XBE
cienaguita,T4137XBL
ciudacita,T4174XAW
cochamolle,T4109XAC
cochuna,T4149XAI
coco,T4242XAO
cohigac,T4178XFA
colalao-del-valle,T4124XCI
colmena-lolita,T4182XAE
colombres,T4137XBP
colonia-4,T4178XFA
colonia-4-de-colombres,T4178XFA
colonia-6,T4142XAD
colonia-acevedo,T4115XBH
colonia-agricola,T4137XBP
colonia-argentina,T4137XBP
colonia-bascary,T4115XBH
colonia-el-puesto,T4178XFA
colonia-el-sunchal,T4168XCM
colonia-el-tarco,T4178XFA
colonia-fara,T4178XEN
colonia-felipe,T4105XBK
colonia-humaita-primera,T4151XAL
colonia-juan-jose-iramain,T4178XEN
colonia-la-bonaria,T4178XFA
colonia-la-ortiz,T4178XFA
colonia-la-roca,T4178XFA
colonia-lolita-norte,T4182XAE
colonia-los-chasales,T4105XBK
colonia-los-hills,T4101XBW
colonia-maria-elena,T4129XAE
