CP,Provincia,Localidad
1001,Capital Federal,CABA - Retiro
1002,Capital Federal,CABA - Monserrat
1003,Capital Federal,CABA - San Nicolas
1004,Capital Federal,CABA - San Nicolas
1005,Capital Federal,CABA - San Nicolas
1006,Capital Federal,CABA - Retiro
1007,Capital Federal,CABA - Retiro
1008,Capital Federal,CABA - Monserrat
1009,Capital Federal,CABA - San Nicolas
1010,Capital Federal,CABA - San Nicolas
1011,Capital Federal,CABA - Retiro
1012,Capital Federal,CABA - Monserrat
1013,Capital Federal,CABA - San Nicolas
1014,Capital Federal,CABA - Recoleta
1015,Capital Federal,CABA - San Nicolas
1016,Capital Federal,CABA - Recoleta
1017,Capital Federal,CABA - San Nicolas
1018,Capital Federal,CABA - Recoleta
1019,Capital Federal,CABA - Recoleta
1020,Capital Federal,CABA - Recoleta
1021,Capital Federal,CABA - Recoleta
1022,Capital Federal,CABA - Recoleta
1023,Capital Federal,CABA - Balvanera
1024,Capital Federal,CABA - Balvanera
1025,Capital Federal,CABA - Recoleta
1026,Capital Federal,CABA - Balvanera
1027,Capital Federal,CABA - Balvanera
1028,Capital Federal,CABA - Balvanera
1029,Capital Federal,CABA - Balvanera
1030,Capital Federal,CABA - Balvanera
1031,Capital Federal,CABA - Balvanera
1032,Capital Federal,CABA - Balvanera
1033,Capital Federal,CABA - Monserrat
1034,Capital Federal,CABA - Balvanera
1035,Capital Federal,CABA - Monserrat
1036,Capital Federal,CABA - San Nicolas
1037,Capital Federal,CABA - San Nicolas
1038,Capital Federal,CABA - San Nicolas
1039,Capital Federal,CABA - Balvanera
1040,Capital Federal,CABA - Balvanera
1041,Capital Federal,CABA - San Nicolas
1042,Capital Federal,CABA - San Nicolas
1043,Capital Federal,CABA - San Nicolas
1044,Capital Federal,CABA - Balvanera
1045,Capital Federal,CABA - Balvanera
1046,Capital Federal,CABA - Balvanera
1047,Capital Federal,CABA - San Nicolas
1048,Capital Federal,CABA - San Nicolas
1049,Capital Federal,CABA - San Nicolas
1050,Capital Federal,CABA - Balvanera
1051,Capital Federal,CABA - Balvanera
1052,Capital Federal,CABA - Balvanera
1053,Capital Federal,CABA - San Nicolas
1054,Capital Federal,CABA - Retiro
1055,Capital Federal,CABA - San Nicolas
1056,Capital Federal,CABA - Recoleta
1057,Capital Federal,CABA - Retiro
1058,Capital Federal,CABA - Retiro
1059,Capital Federal,CABA - Retiro
1060,Capital Federal,CABA - Recoleta
1061,Capital Federal,CABA - Recoleta
1062,Capital Federal,CABA - San Nicolas
1063,Capital Federal,CABA - San Telmo
1064,Capital Federal,CABA - San Telmo
1065,Capital Federal,CABA - San Telmo
1066,Capital Federal,CABA - San Telmo
1067,Capital Federal,CABA - Monserrat
1068,Capital Federal,CABA - Constitucion
1069,Capital Federal,CABA - San Telmo
1070,Capital Federal,CABA - San Telmo
1071,Capital Federal,CABA - Constitucion
1072,Capital Federal,CABA - Constitucion
1073,Capital Federal,CABA - Constitucion
1074,Capital Federal,CABA - Constitucion
1075,Capital Federal,CABA - Constitucion
1076,Capital Federal,CABA - Constitucion
1077,Capital Federal,CABA - Constitucion
1078,Capital Federal,CABA - Constitucion
1079,Capital Federal,CABA - Monserrat
1080,Capital Federal,CABA - Balvanera
1081,Capital Federal,CABA - Balvanera
1082,Capital Federal,CABA - Balvanera
1083,Capital Federal,CABA - Balvanera
1084,Capital Federal,CABA - Monserrat
1085,Capital Federal,CABA - Monserrat
1086,Capital Federal,CABA - Monserrat
1087,Capital Federal,CABA - Monserrat
1088,Capital Federal,CABA - Monserrat
1089,Capital Federal,CABA - Monserrat
1090,Capital Federal,CABA - Balvanera
1091,Capital Federal,CABA - Monserrat
1092,Capital Federal,CABA - Monserrat
1093,Capital Federal,CABA - Monserrat
1094,Capital Federal,CABA - Balvanera
1095,Capital Federal,CABA - Monserrat
1096,Capital Federal,CABA - Monserrat
1097,Capital Federal,CABA - Monserrat
1098,Capital Federal,CABA - San Telmo
1099,Capital Federal,CABA - San Telmo
1100,Capital Federal,CABA - Constitucion
1101,Capital Federal,CABA - San Telmo
1102,Capital Federal,CABA - San Telmo
1103,Capital Federal,CABA - San Telmo
1104,Capital Federal,CABA - Zona Puerto
1105,Capital Federal,CABA - Comunicaciones
1106,Capital Federal,CABA - Zona Puerto
1107,Capital Federal,CABA - Zona Puerto
1108,Capital Federal,CABA - Monserrat
1109,Capital Federal,CABA - Monserrat
1110,Capital Federal,CABA - Monserrat
1111,Capital Federal,CABA - Recoleta
1112,Capital Federal,CABA - Recoleta
1113,Capital Federal,CABA - Recoleta
1114,Capital Federal,CABA - Recoleta
1115,Capital Federal,CABA - Recoleta
1116,Capital Federal,CABA - Recoleta
1117,Capital Federal,CABA - Recoleta
1118,Capital Federal,CABA - Recoleta
1119,Capital Federal,CABA - Recoleta
1120,Capital Federal,CABA - Recoleta
1121,Capital Federal,CABA - Recoleta
1122,Capital Federal,CABA - Recoleta
1123,Capital Federal,CABA - Recoleta
1124,Capital Federal,CABA - Recoleta
1125,Capital Federal,CABA - Recoleta
1126,Capital Federal,CABA - Recoleta
1127,Capital Federal,CABA - Recoleta
1128,Capital Federal,CABA - Recoleta
1129,Capital Federal,CABA - Recoleta
1130,Capital Federal,CABA - Constitucion
1131,Capital Federal,Ciudad Autonoma Buenos Aires
1132,Capital Federal,Ciudad Autonoma Buenos Aires
1133,Capital Federal,CABA - Constitucion
1134,Capital Federal,CABA - Constitucion
1135,Capital Federal,CABA - Constitucion
1136,Capital Federal,CABA - Constitucion
1137,Capital Federal,CABA - Constitucion
1138,Capital Federal,CABA - Constitucion
1139,Capital Federal,CABA - Constitucion
1140,Capital Federal,CABA - Constitucion
1141,Capital Federal,CABA - Constitucion
1142,Capital Federal,Ciudad Autonoma Buenos Aires
1143,Capital Federal,CABA - Constitucion
1144,Capital Federal,Ciudad Autonoma Buenos Aires
1145,Capital Federal,Ciudad Autonoma Buenos Aires
1146,Capital Federal,Ciudad Autonoma Buenos Aires
1147,Capital Federal,CABA - San Telmo
1148,Capital Federal,CABA - Constitucion
1149,Capital Federal,Ciudad Autonoma Buenos Aires
