Locality,CPA,URL,City,State
Buchanan,B1903XAA,https://codigo-postal.co/argentina/cpa/B1903XAA/,Abasto,Buenos Aires
Abel,B6450XAA,https://codigo-postal.co/argentina/cpa/B6450XAA/,Abel,Buenos Aires
Barrio Obrero,B6450XAB,https://codigo-postal.co/argentina/cpa/B6450XAB/,Abel,Buenos Aires
Pueblo San Esteban,B6450XAD,https://codigo-postal.co/argentina/cpa/B6450XAD/,Abel,Buenos Aires
Rovira,B6450XAC,https://codigo-postal.co/argentina/cpa/B6450XAC/,Abel,Buenos Aires
Santa Cecilia Sud,B6450XAF,https://codigo-postal.co/argentina/cpa/B6450XAF/,Abel,Buenos Aires
Abra de Hinojo,B8170XAA,https://codigo-postal.co/argentina/cpa/B8170XAA/,Abra de Hinojo,Buenos Aires
Alta Vista,B8170XAB,https://codigo-postal.co/argentina/cpa/B8170XAB/,Abra de Hinojo,Buenos Aires
Ducos,B8170XAC,https://codigo-postal.co/argentina/cpa/B8170XAC/,Abra de Hinojo,Buenos Aires
Aceilan,B7003XAB,https://codigo-postal.co/argentina/cpa/B7003XAB/,Aceilan,Buenos Aires
Maria Ignacia,B7003XAA,https://codigo-postal.co/argentina/cpa/B7003XAA/,Aceilan,Buenos Aires
Aeropuerto Ezeiza,código postal es 1802,https://codigo-postal.co/argentina/buenos-aires/aeropuerto-ezeiza/,Aeropuerto Ezeiza,Buenos Aires
San Jose,B7203XAE,https://codigo-postal.co/argentina/cpa/B7203XAE/,Adrogue,Buenos Aires
Alamos,B6437XAE,https://codigo-postal.co/argentina/cpa/B6437XAE/,Alamos,Buenos Aires
Alfa,B6437XAF,https://codigo-postal.co/argentina/cpa/B6437XAF/,Alamos,Buenos Aires
Arroyo el Chingolo,B6437XAG,https://codigo-postal.co/argentina/cpa/B6437XAG/,Alamos,Buenos Aires
Arroyo Venado,B6437XAH,https://codigo-postal.co/argentina/cpa/B6437XAH/,Alamos,Buenos Aires
Colonia San Ramon,B6437XAA,https://codigo-postal.co/argentina/cpa/B6437XAA/,Alamos,Buenos Aires
El Nilo,B6435XAA,https://codigo-postal.co/argentina/cpa/B6435XAA/,Alamos,Buenos Aires
El Trebañon,B6437XAB,https://codigo-postal.co/argentina/cpa/B6437XAB/,Alamos,Buenos Aires
La Gregoria,B6437XAC,https://codigo-postal.co/argentina/cpa/B6437XAC/,Alamos,Buenos Aires
La Herminia,B6437XAD,https://codigo-postal.co/argentina/cpa/B6437XAD/,Alamos,Buenos Aires
Las Cuatro Hermanas,B6437XAI,https://codigo-postal.co/argentina/cpa/B6437XAI/,Alamos,Buenos Aires
Las Mercedes,B6437XAJ,https://codigo-postal.co/argentina/cpa/B6437XAJ/,Alamos,Buenos Aires
Las Tres Flores,B6437XAK,https://codigo-postal.co/argentina/cpa/B6437XAK/,Alamos,Buenos Aires
Santa Rita Pdo Guamini,B6437XAL,https://codigo-postal.co/argentina/cpa/B6437XAL/,Alamos,Buenos Aires
Albariño,B6405XAA,https://codigo-postal.co/argentina/cpa/B6405XAA/,Albariño,Buenos Aires
Corazzi,B6405XAB,https://codigo-postal.co/argentina/cpa/B6405XAB/,Albariño,Buenos Aires
Duhau,B6405XAC,https://codigo-postal.co/argentina/cpa/B6405XAC/,Albariño,Buenos Aires
Adela Saenz,B8129XAA,https://codigo-postal.co/argentina/cpa/B8129XAA/,Adela Saenz,Buenos Aires
Glorialdo,B8129XAB,https://codigo-postal.co/argentina/cpa/B8129XAB/,Adela Saenz,Buenos Aires
Aguara,B8105XAE,https://codigo-postal.co/argentina/cpa/B8105XAE/,Aguara,Buenos Aires
Colonia la Merced,B8105XAF,https://codigo-postal.co/argentina/cpa/B8105XAF/,Aguara,Buenos Aires
Kilometro 666,B8105XAB,https://codigo-postal.co/argentina/cpa/B8105XAB/,Aguara,Buenos Aires
Sauce Chico,B8105XAD,https://codigo-postal.co/argentina/cpa/B8105XAD/,Aguara,Buenos Aires
Colonia Inchausti,B6667XAA,https://codigo-postal.co/argentina/cpa/B6667XAA/,Agustin Mosconi,Buenos Aires
Islas,B6667XAB,https://codigo-postal.co/argentina/cpa/B6667XAB/,Agustin Mosconi,Buenos Aires
La Rabia,B6667XAC,https://codigo-postal.co/argentina/cpa/B6667XAC/,Agustin Mosconi,Buenos Aires
Martin Berraondo,B6667XAE,https://codigo-postal.co/argentina/cpa/B6667XAE/,Agustin Mosconi,Buenos Aires
Aguirrezabala,B2915XAB,https://codigo-postal.co/argentina/cpa/B2915XAB/,Aguirrezabala,Buenos Aires
La Esperanza,B2915XAC,https://codigo-postal.co/argentina/cpa/B2915XAC/,Aguirrezabala,Buenos Aires
Alastuey,B6703XAB,https://codigo-postal.co/argentina/cpa/B6703XAB/,Alastuey,Buenos Aires
Etchegoyen,B6703XAA,https://codigo-postal.co/argentina/cpa/B6703XAA/,Alastuey,Buenos Aires
Ruta 8 Kilometro 77,B6703XAC,https://codigo-postal.co/argentina/cpa/B6703XAC/,Alastuey,Buenos Aires
Villa Preceptor Manuel Cruz,B6703XAD,https://codigo-postal.co/argentina/cpa/B6703XAD/,Alastuey,Buenos Aires
Andres Vaccarezza,B6634XAB,https://codigo-postal.co/argentina/cpa/B6634XAB/,Alberti,Buenos Aires
Emita,B6634XAA,https://codigo-postal.co/argentina/cpa/B6634XAA/,Alberti,Buenos Aires
Larrea,B6634XAC,https://codigo-postal.co/argentina/cpa/B6634XAC/,Alberti,Buenos Aires
Alagon,B6463XAA,https://codigo-postal.co/argentina/cpa/B6463XAA/,Alagon,Buenos Aires
El Santiago,B6463XAB,https://codigo-postal.co/argentina/cpa/B6463XAB/,Alagon,Buenos Aires
Santa Cecilia Centro,B6463XAC,https://codigo-postal.co/argentina/cpa/B6463XAC/,Alagon,Buenos Aires
Adela,B7136XAA,https://codigo-postal.co/argentina/cpa/B7136XAA/,Adela,Buenos Aires
Colonia Escuela Argentina,B7136XAB,https://codigo-postal.co/argentina/cpa/B7136XAB/,Adela,Buenos Aires
Cuartel 6,B7136XAC,https://codigo-postal.co/argentina/cpa/B7136XAC/,Adela,Buenos Aires
Gandara,B7136XAE,https://codigo-postal.co/argentina/cpa/B7136XAE/,Adela,Buenos Aires
Haras San Ignacio,B7136XAF,https://codigo-postal.co/argentina/cpa/B7136XAF/,Adela,Buenos Aires
Monasterio,B7136XAD,https://codigo-postal.co/argentina/cpa/B7136XAD/,Adela,Buenos Aires
Laguna de Gomez,B6001XAA,https://codigo-postal.co/argentina/cpa/B6001XAA/,Agustin Roca,Buenos Aires
Abbott,código postal es 7228,https://codigo-postal.co/argentina/buenos-aires/abbott/,Abbott,Buenos Aires
Agote,B6600XAA,https://codigo-postal.co/argentina/cpa/B6600XAA/,Agote,Buenos Aires
Gowland,B6608XAA,https://codigo-postal.co/argentina/cpa/B6608XAA/,Agote,Buenos Aires
Manuel Jose Garcia,B6608XAB,https://codigo-postal.co/argentina/cpa/B6608XAB/,Agote,Buenos Aires
Adolfo Alsina,B6430XAA,https://codigo-postal.co/argentina/cpa/B6430XAA/,Adolfo Alsina,Buenos Aires
Fatralo,B6430XAE,https://codigo-postal.co/argentina/cpa/B6430XAE/,Adolfo Alsina,Buenos Aires
Juan V Cilley,B6430XAF,https://codigo-postal.co/argentina/cpa/B6430XAF/,Adolfo Alsina,Buenos Aires
Pocito,B6430XAD,https://codigo-postal.co/argentina/cpa/B6430XAD/,Adolfo Alsina,Buenos Aires
Rolito Estacion Fcgb,B6430XAI,https://codigo-postal.co/argentina/cpa/B6430XAI/,Adolfo Alsina,Buenos Aires
Villa Castelar Est Erize,B6430XAG,https://codigo-postal.co/argentina/cpa/B6430XAG/,Adolfo Alsina,Buenos Aires
Villa Sauri,B6430XAH,https://codigo-postal.co/argentina/cpa/B6430XAH/,Adolfo Alsina,Buenos Aires
Gornatti,B2717XAA,https://codigo-postal.co/argentina/cpa/B2717XAA/,Acevedo,Buenos Aires
Manantiales,B2717XAB,https://codigo-postal.co/argentina/cpa/B2717XAB/,Acevedo,Buenos Aires
Laguna de Gomez,B6001XAA,https://codigo-postal.co/argentina/cpa/B6001XAA/,Agustina,Buenos Aires
El Lucero,B7513XAA,https://codigo-postal.co/argentina/cpa/B7513XAA/,Adolfo Gonzales Chaves,Buenos Aires
12 de Agosto,B2701XAA,https://codigo-postal.co/argentina/cpa/B2701XAA/,Aguas Corrientes,Buenos Aires
Aguas Corrientes,B2701XAB,https://codigo-postal.co/argentina/cpa/B2701XAB/,Aguas Corrientes,Buenos Aires
Haras el Centinela,B2701XAD,https://codigo-postal.co/argentina/cpa/B2701XAD/,Aguas Corrientes,Buenos Aires
Mariano Benitez,B2701XAE,https://codigo-postal.co/argentina/cpa/B2701XAE/,Aguas Corrientes,Buenos Aires
Santa Teresita Pergamino,B2701XAF,https://codigo-postal.co/argentina/cpa/B2701XAF/,Aguas Corrientes,Buenos Aires
Achupallas,B6627XAD,https://codigo-postal.co/argentina/cpa/B6627XAD/,Achupallas,Buenos Aires
Grisolia,B6627XAA,https://codigo-postal.co/argentina/cpa/B6627XAA/,Achupallas,Buenos Aires
Haras el Carmen,B6627XAC,https://codigo-postal.co/argentina/cpa/B6627XAC/,Achupallas,Buenos Aires
La Victoria Desvio,B6627XAE,https://codigo-postal.co/argentina/cpa/B6627XAE/,Achupallas,Buenos Aires
Ramon Biaus,B6627XAB,https://codigo-postal.co/argentina/cpa/B6627XAB/,Achupallas,Buenos Aires
Aguas Verdes,B7112XAC,https://codigo-postal.co/argentina/cpa/B7112XAC/,Aguas Verdes,Buenos Aires
Costa Azul,B7112XAD,https://codigo-postal.co/argentina/cpa/B7112XAD/,Aguas Verdes,Buenos Aires
La Isabel,B7212XAD,https://codigo-postal.co/argentina/cpa/B7212XAD/,Aguas Verdes,Buenos Aires
La Posta,B7112XAA,https://codigo-postal.co/argentina/cpa/B7112XAA/,Aguas Verdes,Buenos Aires
La Proteccion,B7112XAB,https://codigo-postal.co/argentina/cpa/B7112XAB/,Aguas Verdes,Buenos Aires
Adela Corti,B8000XBC,https://codigo-postal.co/argentina/cpa/B8000XBC/,Adela Corti,Buenos Aires
Choique,B8000XAS,https://codigo-postal.co/argentina/cpa/B8000XAS/,Adela Corti,Buenos Aires
Colonia Bella Vista,B8000XAI,https://codigo-postal.co/argentina/cpa/B8000XAI/,Adela Corti,Buenos Aires
Puerto Galvan,B8000XAU,https://codigo-postal.co/argentina/cpa/B8000XAU/,Adela Corti,Buenos Aires
Villa Buenos Aires,B8000XAV,https://codigo-postal.co/argentina/cpa/B8000XAV/,Adela Corti,Buenos Aires
Villa Cerrito,B8000XAW,https://codigo-postal.co/argentina/cpa/B8000XAW/,Adela Corti,Buenos Aires
Villa Delfina,B8000XBM,https://codigo-postal.co/argentina/cpa/B8000XBM/,Adela Corti,Buenos Aires
Villa Domingo Pronsato,B8000XAX,https://codigo-postal.co/argentina/cpa/B8000XAX/,Adela Corti,Buenos Aires
Villa Floresta,B8000XAY,https://codigo-postal.co/argentina/cpa/B8000XAY/,Adela Corti,Buenos Aires
Villa Italia,B7000XAR,https://codigo-postal.co/argentina/cpa/B7000XAR/,Adela Corti,Buenos Aires
Villa Libre,B8000XAC,https://codigo-postal.co/argentina/cpa/B8000XAC/,Adela Corti,Buenos Aires
Villa Loreto,B8000XAD,https://codigo-postal.co/argentina/cpa/B8000XAD/,Adela Corti,Buenos Aires
Villa Mitre,B8000XAE,https://codigo-postal.co/argentina/cpa/B8000XAE/,Adela Corti,Buenos Aires
Villa Nocito,B8000XAF,https://codigo-postal.co/argentina/cpa/B8000XAF/,Adela Corti,Buenos Aires
Villa Obrera,B8000XAG,https://codigo-postal.co/argentina/cpa/B8000XAG/,Adela Corti,Buenos Aires
Villa Olga Grumbein,B8000XAH,https://codigo-postal.co/argentina/cpa/B8000XAH/,Adela Corti,Buenos Aires
Villa Sanchez Elia,B8000XAZ,https://codigo-postal.co/argentina/cpa/B8000XAZ/,Adela Corti,Buenos Aires
Aldea San Andres,B8126XAA,https://codigo-postal.co/argentina/cpa/B8126XAA/,Aldea San Andres,Buenos Aires
La Colorada Chica,B8126XAB,https://codigo-postal.co/argentina/cpa/B8126XAB/,Aldea San Andres,Buenos Aires
Alfalad,B6555XAA,https://codigo-postal.co/argentina/cpa/B6555XAA/,Alfalad,Buenos Aires
Andant,B6555XAB,https://codigo-postal.co/argentina/cpa/B6555XAB/,Alfalad,Buenos Aires
Coronel Marcelino Freyre,B6555XAC,https://codigo-postal.co/argentina/cpa/B6555XAC/,Alfalad,Buenos Aires
La Armonia,B6555XAE,https://codigo-postal.co/argentina/cpa/B6555XAE/,Alfalad,Buenos Aires
La Larga,B6555XAF,https://codigo-postal.co/argentina/cpa/B6555XAF/,Alfalad,Buenos Aires
Los Coloniales,B6555XAG,https://codigo-postal.co/argentina/cpa/B6555XAG/,Alfalad,Buenos Aires
Mauras,B6555XAH,https://codigo-postal.co/argentina/cpa/B6555XAH/,Alfalad,Buenos Aires
Villa Carola,B6555XAD,https://codigo-postal.co/argentina/cpa/B6555XAD/,Alfalad,Buenos Aires
Alfredo Demarchi,B6533XAA,https://codigo-postal.co/argentina/cpa/B6533XAA/,Alfredo Demarchi,Buenos Aires
Kilometro 322,B6533XAG,https://codigo-postal.co/argentina/cpa/B6533XAG/,Alfredo Demarchi,Buenos Aires
