locality_id,name,zip_code,state
8zjAR1bR0L,Achalco,K4235XAV,Catamarca
gKbMsFMJnr,Ayapaso,K4235XAW,Catamarca
ntM6WWw5Bg,Chañar Laguna,K4235XBA,Catamarca
NyOu3xiPjG,El Quillin,G4234XAG,Santiago del Estero
6SOa2kwZcn,El Simbol,K4235XAD,Catamarca
V1JycZvbVM,Ichipuca,K4235XAG,Catamarca
xO9PhVNKzN,Kilometro 1093,K4235XBB,Catamarca
Fzel_GrTq-,Kilometro 1098,G4234XAA,Santiago del Estero
nTLzhE8FrP,Kilometro 1121,G4234XAH,Santiago del Estero
IuqEVVeI06,La Calera,K4723XAM,Catamarca
78JIS6Hoti,La Quebrada,K4139XAY,Catamarca
OGbsMFtUXe,Las Flores,G3766XAI,Santiago del Estero
x9BFcuh5LH,Las Lomitas,K4723XAQ,Catamarca
Gnb8QTSLqM,Lavalle,G4234XAD,Santiago del Estero
X8SSCis1Wt,Los Morteros,K5340XDZ,Catamarca
f2LXVnUt3x,Mangrullo,G4234XAF,Santiago del Estero
dzoexxyPlB,Pozo Grande,K4235XBL,Catamarca
DRRspm563v,Rumi Esquina,G4234XAB,Santiago del Estero
3WPI95ny65,San Antonio,G4201XBC,Santiago del Estero
V76veui9NK,San Martin,K4728XAK,Catamarca
QIERxNFZyN,Tapso,K4235XBX,Catamarca
Tejonl4hDw,Tonzu,G4234XAC,Santiago del Estero
uZB4_SPs6H,Agua Grande,K5340XAO,Catamarca
gQ37ejLYuW,Aguada,K5340XAP,Catamarca
V2RXfF3n6G,Anchoca,K5340XAQ,Catamarca
3Obc3aUuTK,Apocango,K5340XAR,Catamarca
On5t-5wcow,Balungasta,K5340XAS,Catamarca
aiPLlyqTq9,Cantera Rota,K5340XAT,Catamarca
FSSDyJOFxQ,Casa de Alto,K5340XAU,Catamarca
mWRRsrHPMY,Casa Grande,K5340XAV,Catamarca
I0BpLdWpcO,Castañar,K5340XAW,Catamarca
mhij2Tkxb0,Cerdas,K5340XAX,Catamarca
AnXCQSwaSo,Chanero,K5340XAY,Catamarca
T2sbPRzg1b,Chavero,K5340XCG,Catamarca
4hqq5-Xp95,Cortadera,K5340XDA,Catamarca
_j7FcFSwzu,Agua Salada,K4740XAC,Catamarca
NuJRqQUwYa,Agua Verde,K4740XAE,Catamarca
EeVthvYr3Y,Algarrobal,K4740XAB,Catamarca
ey5-bTZlh6,Arima,K4740XAD,Catamarca
ZklyqHD15H,Acheral,K5260XAL,Catamarca
eAopv7jBxz,Agua Escondida,K5260XAM,Catamarca
frFxDDSCwM,Balde,K5260XBA,Catamarca
UR1YAH9rHP,Estancito,K5340XCH,Catamarca
FHcBEKwYxG,Guanchicito,K5340XCI,Catamarca
w18jY3MrY4,Guanchin,K5340XCJ,Catamarca
w_wKLJvaTk,Guincho,K5340XCK,Catamarca
_SbPAGaAy2,Junta,K5340XCL,Catamarca
8v9z3Gph_F,La Chilca,K5340XCM,Catamarca
Hbvdqr4Ff0,Aserradero el Pilcio,K4740XAY,Catamarca
9LNEcdh7xx,Chilca,K4740XAH,Catamarca
R1Bkkb6ule,Distrito Espinillo,K4740XAJ,Catamarca
sRJgQvRTbB,El Colegio,K4740XAL,Catamarca
IUXibxPzvw,El Lindero,K5260XDY,Catamarca
_42wAaJTfi,El Molle,K4740XBD,Catamarca
cAkAr0htoY,Buen Retiro,K5260XAN,Catamarca
iJcmTqnra4,Buey Muerto,K4139XAF,Catamarca
vH9c3mH-NV,Campo Bello,K5260XAO,Catamarca
MRi8H-Za8e,Campo Blanco,K5260XAP,Catamarca
bVyrWhzDAl,Catita,K5260XAQ,Catamarca
hB5nIAdmav,Cerro Colorado,K4139XAG,Catamarca
obADEc8HNW,Las Higueritas,K5340XDR,Catamarca
xpMJWurPve,Las Losas,K5340XCN,Catamarca
YlObA-skP9,Las Peladas,K5340XCO,Catamarca
aGwUUnu6op,Loma Grande,K5340XCP,Catamarca
mZ0-i8UTE4,Loro Huasi,K5340XDV,Catamarca
pMHFUM8vKc,Los Chanampa,K5340XAC,Catamarca
kV37xx5sBj,Huasan,K4740XBJ,Catamarca
LLt-Cn5UAq,Huaschaschi,K4740XBI,Catamarca
JpPIhFhtOp,Julumao,K4740XBR,Catamarca
NvOGPFuDWn,La Aguada,K4723XAK,Catamarca
KNzo-W97kD,La Banda,K4718XBA,Catamarca
0j7aUXGqo_,Las Minas,K4235XAU,Catamarca
N4hoa3bfct,Cienaga,K4139XAH,Catamarca
Crkfg13hae,Divisadero,K5260XDT,Catamarca
69sggGmSS_,El Barreal,K5260XBK,Catamarca
q6OfRK0UtW,El Bello,K5260XBM,Catamarca
t9lPKzy9ue,El Cercado,K5260XBG,Catamarca
pcL8RRxN9h,El Chañar,G4301XCW,Santiago del Estero
qQlaiqAYk8,Los Guaytimas,K5340XDY,Catamarca
yRNc1f2NSU,Los Palacios,K5340XEA,Catamarca
-e7vOk9lEr,Los Robledos,K5340XEE,Catamarca
mDggQjhD4N,Los Valdez,K5340XEF,Catamarca
MEBeqSWG8I,Los Valveros,K5340XAD,Catamarca
SK8smjt70e,Matambre,K5340XAE,Catamarca
FjOOoQ_rof,Malli 1,K4740XAR,Catamarca
0BaE6TIm0P,Malli 2,K4740XAS,Catamarca
iUomjwywed,Minas Capillitas,K4740XBS,Catamarca
5YS28tMVMr,Pilciao,K4740XAU,Catamarca
ZP7l0OJiWh,Rodeo Grande,K4740XBO,Catamarca
cG41KE8IRz,El Recreo,K4139XAJ,Catamarca
5bFM8EaLws,El Salto,K5260XAH,Catamarca
SpehzEDVdP,Empalme San Carlos,K5260XEO,Catamarca
ugStZXGHur,Jumeal,K5260XAR,Catamarca
dgOEM29iZs,Kilometro 955,K5260XBS,Catamarca
oiBj_v_m7o,Aguadita,K4705XAI,Catamarca
HAO0GNtiCa,Antapoca,K4707XAV,Catamarca
BsiK1ytP5q,Balsa,K4705XAA,Catamarca
WgB1cCFfjk,Cumbre del Laudo,K4705XAB,Catamarca
fslzev5fyP,Gentile,K4705XAC,Catamarca
Lva-Fp6JKh,Medano,K5340XAF,Catamarca
fr1CQLF33I,Negro Muerto,K5340XAG,Catamarca
0LHs5JI6BX,Ojo de Agua,K5340XAH,Catamarca
sKI-pLmEnt,Palacios,K5340XAI,Catamarca
hb-EA3wYb4,Pan de Azucar,K5340XAJ,Catamarca
1zINp3NUJt,Pantanos,K5340XAK,Catamarca
1bqaUBbkSD,Kilometro 969,K5260XBT,Catamarca
mY6fdZT9tO,Kilometro 997,K5260XBU,Catamarca
POi1r6zxQn,La Brea,K5260XBO,Catamarca
41sKRDaRSH,La Buena Estrella,K5260XBP,Catamarca
UoGwyb8aDc,La Campana,K4139XAK,Catamarca
M4yHC8G5wL,La Hoyada,K4139XAL,Catamarca
bye1o44OGT,La Loma,K4139XAB,Catamarca
8b8Knm8iVS,Huaycama,K4705XAK,Catamarca
8oqsLcRCuA,Mina Inca Huasi,K4705XAJ,Catamarca
gmI0Z9SEnh,Mota Botello,K4707XAJ,Catamarca
NdCEE-yued,Rosario del Sumalao,K4707XAL,Catamarca
1U5YB3gTHc,Santa Cruz,K4707XAM,Catamarca
BzlV3dTJUc,Tacahuasi,K4705XAE,Catamarca
JOPED4zYCT,Toro Muerto,K4705XAF,Catamarca
Lj81UPiqZb,Agua de Dionisio,K4750XCM,Catamarca
c3wSjDOqwT,Aguas Calientes,K4750XCN,Catamarca
rhHF5-guLT,Alto el Bolson,K4751XAF,Catamarca
vt6zWCFmy8,Asampay,K4750XBR,Catamarca
gCN6VBYleA,Barranca Larga,K4750XBS,Catamarca
_jBiwJmVJY,Pastos Amarillos,K5340XAL,Catamarca
qR14F-bIAI,Pillahuasi,K5340XAM,Catamarca
U38NhvePev,Planchada,K5340XAN,Catamarca
