street_id,from_number,until_number,zip_code
w23FRiUDzG,1,99,K4740BSA
w23FRiUDzG,2,100,K4740BSN
w23FRiUDzG,101,199,K4740BSB
w23FRiUDzG,102,200,K4740BSO
w23FRiUDzG,201,299,K4740BSC
w23FRiUDzG,202,300,K4740BSP
w23FRiUDzG,301,399,K4740BSD
w23FRiUDzG,302,400,K4740BSQ
w23FRiUDzG,401,499,K4740BSE
w23FRiUDzG,402,500,K4740BSR
w23FRiUDzG,501,599,K4740BSF
w23FRiUDzG,502,600,K4740BSS
w23FRiUDzG,601,699,K4740BSG
w23FRiUDzG,602,700,K4740BST
w23FRiUDzG,701,799,K4740BSH
w23FRiUDzG,702,800,K4740BSU
w23FRiUDzG,801,899,K4740BSI
w23FRiUDzG,802,900,K4740BSV
w23FRiUDzG,901,999,K4740BSJ
w23FRiUDzG,902,1000,K4740BSW
_SSSkW9v7C,1,99,K4740BQA
_SSSkW9v7C,2,100,K4740BQB
_SSSkW9v7C,101,199,K4740BQC
_SSSkW9v7C,102,200,K4740BQD
_SSSkW9v7C,201,299,K4740BQE
_SSSkW9v7C,202,300,K4740BQF
E_xTDKMF1E,1,99,K4740AXA
E_xTDKMF1E,2,100,K4740AXB
E_xTDKMF1E,101,199,K4740AXC
E_xTDKMF1E,102,200,K4740AXD
E2NqZNPAnm,-,-,K4740CCA
NsNPWfV2L8,-,-,K4740CDA
sUSv5m1eWY,1,99,K4740BLA
sUSv5m1eWY,2,100,K4740BLN
sUSv5m1eWY,101,199,K4740BLB
sUSv5m1eWY,102,200,K4740BLO
sUSv5m1eWY,201,299,K4740BLC
sUSv5m1eWY,202,300,K4740BLP
sUSv5m1eWY,301,399,K4740BLD
sUSv5m1eWY,302,400,K4740BLQ
HhYtYYMfcx,0,0,K4740BYA
HhYtYYMfcx,0,0,K4740BZA
HhYtYYMfcx,0,0,K4740CAA
HhYtYYMfcx,0,0,K4740CBA
sUSv5m1eWY,401,499,K4740BLE
sUSv5m1eWY,402,500,K4740BLR
sUSv5m1eWY,501,599,K4740BLF
sUSv5m1eWY,502,600,K4740BLS
QWBvVX59Ep,1,99,K4740AQA
QWBvVX59Ep,2,100,K4740AQB
QWBvVX59Ep,101,199,K4740AQC
QWBvVX59Ep,102,200,K4740AQD
QWBvVX59Ep,201,299,K4740AQE
QWBvVX59Ep,202,300,K4740AQF
QWBvVX59Ep,301,399,K4740AQG
QWBvVX59Ep,302,400,K4740AQH
qp8EdwQQhd,1,99,K4740ACA
qp8EdwQQhd,2,100,K4740ACN
qp8EdwQQhd,101,199,K4740ACB
