Localidad,CPAs
9-de-julio,['X5272XAB']
abburra,['X5220XAT']
achiras,[]
acollarado,['X5216XAE']
acostilla,['X5871XAD']
adelia-maria,[]
agua-de-crespin,['X5285XAD']
agua-de-las-piedras,['X5221XAT']
agua-de-oro,[]
agua-de-tala,['X5155XAL']
agua-del-tala,[]
agua-hedionda,['X5216XAE']
agua-pintada,['X5212XAO']
aguada-del-monte,['X5209XAY']
aguadita,['X5209XAY']
aguas-de-ramon,['X5284XBB']
aguasacha,['X5221XAT']
alcira-estacion-gigena,['Buscar CPA']
alejandro-roca,[]
alejo-ledesma,['Buscar CPA']
algarrobal,['X5885XAB']
algarrobo,['X5221XAT']
alicia,['Buscar CPA']
almafuerte,['Buscar CPA']
alpa-corral,['X5801XAJ']
alpapuca,['Buscar CPA']
alta-gracia,['Buscar CPA']
altautina,['X5871XAD']
alto-alegre,[]
alto-castro,['X5182XAD']
alto-de-castillo,['X5145XAK']
alto-de-fierro,['X5119XAG']
alto-de-flores,['X5203XAB']
alto-de-las-mulas,['X5875XAC']
alto-de-los-quebrachos,['X5281XAY']
alto-de-san-pedro,['X5174XAB']
alto-del-durazno,['X5119XAG']
alto-del-tala,['X5295XAA']
alto-grande,['X5893XAC']
alto-resbaloso,['X5885XAB']
alto-verde,['X5205XAA']
altos-de-chipion,['Buscar CPA']
amboy,['X5199XAK']
ambul,['X5299XAN']
ana-zumaran,[]
angostura,['X5155XAL']
animi,['X5248XAB']
anisacate,['Buscar CPA']
antonio-catalano,['X6271XAC']
arbol-blanco,['X5216XAE']
arbol-chato,['X2432XAE']
arboles-blancos,['X5873XAC']
arcoyo,['X5297XAO']
arias,[]
aromito,['X2341XAA']
arroyito,['Buscar CPA']
arroyo,['X5297XAO']
arroyo-algodon,['Buscar CPA']
arroyo-cabral,['Buscar CPA']
arroyo-de-alvarez,['Buscar CPA']
arroyo-del-pino,['X5901XAD']
arroyo-la-higuera,['X5889XAG']
arroyo-los-patos,['X5889XAG']
arroyo-san-antonio,['X5859XAG']
arroyo-santa-catalina,['X5825XAA']
arroyo-santana,['X5819XAG']
arroyo-seco,['X5196XAE']
arroyo-toledo,['X5819XAG']
arsenal-jose-maria-rojas,['X5825XAA']
ascochinga,['X5117XAA']
assunta,['X2671XAC']
atahona,['X5225XAB']
athos-pampa,['X5194XAD']
atumi-pampa,['X5196XAE']
augusto-vandersande,['X5145XAK']
ausonia,['X5901XAD']
avellaneda,['X5212XAO']
bajada-nueva,['Buscar CPA']
bajo-chico,['Buscar CPA']
bajo-chico-bajo-grande,['X5101XAB']
bajo-de-fernandez,['X5101XAB']
bajo-de-gomez,['X5961XAB']
bajo-de-olmos,['X5221XAT']
bajo-del-burro,['Buscar CPA']
bajo-del-carmen,['Buscar CPA']
bajo-el-molino,['X5887XAA']
bajo-galindez,['X5961XAB']
bajo-grande,['X5101XAB']
bajo-hondo,['X5231XAA']
bajo-lindo,['X5270XAI']
balbuena,['X5248XAB']
balde-de-la-mora,['X5871XAD']
balde-de-la-orilla,['X5871XAD']
balde-lindo,['X5871XAD']
ballesteros,[]
ballesteros-sud,['Buscar CPA']
balnearia,['Buscar CPA']
balneario-guglieri,['X5137XAV']
banda-de-varela,['X5875XAC']
barranca-yaco,['X5212XAO']
barreto,[]
barrial,['X5281XAY']
barrialitos,['X5284XBB']
barrio-belgrano,['X2550XAB']
barrio-dean-funes,['X5123XAL']
barrio-del-libertador,['X5850XAA']
barrio-la-feria,['X5870XAB']
barrio-la-fortuna,['X2594XAC']
barrio-loza,['Buscar CPA']
barrio-muller,['X5143XAC']
batan,['X5155XAL']
belen,['X5220XAT']
bell-ville,['X2550XAB']
bella-vista,['X5284XBB']
bengolea,['Buscar CPA']
benjamin-gould,['Buscar CPA']
berrotaran,['Buscar CPA']
beuce,['X5244XAN']
bialet-masse,['Buscar CPA']
blas-de-rosales,['X5125XAA']
boca-del-rio,['X5885XAB']
bordo-de-los-espinosa,['X5209XAY']
bosque-alegre,['X5186XAA']
bouwer,['X5119XAG']
brinkmann,['Buscar CPA']
