calleId,desde,hasta,cpa
d9d99591-cc26-4f78-b2a9-d2e5afafbb4d,1701,1799,B1690AOA
d9d99591-cc26-4f78-b2a9-d2e5afafbb4d,1801,1899,B1690AOC
d9d99591-cc26-4f78-b2a9-d2e5afafbb4d,1901,1999,B1690AOE
d9d99591-cc26-4f78-b2a9-d2e5afafbb4d,2001,2099,B1690AOG
567845d2-4b3f-47ca-8d7f-a9509506ba72,9702,9800,B1690AFN
567845d2-4b3f-47ca-8d7f-a9509506ba72,9802,9900,B1690AFO
567845d2-4b3f-47ca-8d7f-a9509506ba72,9902,10000,B1690AFP
567845d2-4b3f-47ca-8d7f-a9509506ba72,10002,10100,B1690AFQ
567845d2-4b3f-47ca-8d7f-a9509506ba72,10102,10200,B1690AFR
567845d2-4b3f-47ca-8d7f-a9509506ba72,10202,10300,B1690AFS
567845d2-4b3f-47ca-8d7f-a9509506ba72,10302,10400,B1690AFT
567845d2-4b3f-47ca-8d7f-a9509506ba72,10402,10500,B1690AFU
567845d2-4b3f-47ca-8d7f-a9509506ba72,10502,10600,B1690AFV
567845d2-4b3f-47ca-8d7f-a9509506ba72,10602,10700,B1690AFW
567845d2-4b3f-47ca-8d7f-a9509506ba72,10702,10800,B1690AFX
567845d2-4b3f-47ca-8d7f-a9509506ba72,10802,10900,B1690AFY
d7a4f5d9-5d1e-4435-9aa5-e0888cc391d0,1701,1799,B1690AYA
d7a4f5d9-5d1e-4435-9aa5-e0888cc391d0,1702,1800,B1690AYN
d7a4f5d9-5d1e-4435-9aa5-e0888cc391d0,1801,1899,B1690AYB
d7a4f5d9-5d1e-4435-9aa5-e0888cc391d0,1802,1900,B1690AYO
d7a4f5d9-5d1e-4435-9aa5-e0888cc391d0,1901,1999,B1690AYC
d7a4f5d9-5d1e-4435-9aa5-e0888cc391d0,1902,2000,B1690AYP
d7a4f5d9-5d1e-4435-9aa5-e0888cc391d0,2001,2099,B1690AYD
d7a4f5d9-5d1e-4435-9aa5-e0888cc391d0,2002,2100,B1690AYQ
90faa014-96d8-47d5-8a8d-db682393de98,1701,1799,B1690ABA
90faa014-96d8-47d5-8a8d-db682393de98,1702,1800,B1690ABB
90faa014-96d8-47d5-8a8d-db682393de98,1801,1899,B1690ABC
90faa014-96d8-47d5-8a8d-db682393de98,1802,1900,B1690ABD
90faa014-96d8-47d5-8a8d-db682393de98,1901,1999,B1690ABE
90faa014-96d8-47d5-8a8d-db682393de98,1902,2000,B1690ABF
90faa014-96d8-47d5-8a8d-db682393de98,2001,2099,B1690ABG
90faa014-96d8-47d5-8a8d-db682393de98,2002,2100,B1690ABH
c561c92a-5b2e-417f-8fb3-5084ac2cf81a,1701,1799,B1690AOA
c561c92a-5b2e-417f-8fb3-5084ac2cf81a,1801,1899,B1690AOC
c561c92a-5b2e-417f-8fb3-5084ac2cf81a,1901,1999,B1690AOE
c561c92a-5b2e-417f-8fb3-5084ac2cf81a,2001,2099,B1690AOG
db95db6b-a7ad-42a0-aab2-619d3a82a8c2,9701,9799,B1690AAA
db95db6b-a7ad-42a0-aab2-619d3a82a8c2,9702,9800,B1690AAB
db95db6b-a7ad-42a0-aab2-619d3a82a8c2,9801,9899,B1690AAC
db95db6b-a7ad-42a0-aab2-619d3a82a8c2,9802,9900,B1690AAD
db95db6b-a7ad-42a0-aab2-619d3a82a8c2,9901,9999,B1690AAE
db95db6b-a7ad-42a0-aab2-619d3a82a8c2,9902,10000,B1690AAF
db95db6b-a7ad-42a0-aab2-619d3a82a8c2,10001,10099,B1690AAG
db95db6b-a7ad-42a0-aab2-619d3a82a8c2,10002,10100,B1690AAH
db95db6b-a7ad-42a0-aab2-619d3a82a8c2,10101,10199,B1690AAI
db95db6b-a7ad-42a0-aab2-619d3a82a8c2,10102,10200,B1690AAJ
db95db6b-a7ad-42a0-aab2-619d3a82a8c2,10201,10299,B1690AAK
db95db6b-a7ad-42a0-aab2-619d3a82a8c2,10202,10300,B1690AAL
db95db6b-a7ad-42a0-aab2-619d3a82a8c2,10301,10399,B1690AAM
db95db6b-a7ad-42a0-aab2-619d3a82a8c2,10302,10400,B1690AAN
db95db6b-a7ad-42a0-aab2-619d3a82a8c2,10401,10499,B1690AAO
db95db6b-a7ad-42a0-aab2-619d3a82a8c2,10402,10500,B1690AAP
db95db6b-a7ad-42a0-aab2-619d3a82a8c2,10501,10599,B1690AAQ
db95db6b-a7ad-42a0-aab2-619d3a82a8c2,10502,10600,B1690AAR
db95db6b-a7ad-42a0-aab2-619d3a82a8c2,10601,10699,B1690AAS
db95db6b-a7ad-42a0-aab2-619d3a82a8c2,10602,10700,B1690AAT
db95db6b-a7ad-42a0-aab2-619d3a82a8c2,10701,10799,B1690AAU
db95db6b-a7ad-42a0-aab2-619d3a82a8c2,10702,10800,B1690AAV
d8c6bf7d-3d18-40e8-8835-c6537936878a,9701,9799,B1690AQA
d8c6bf7d-3d18-40e8-8835-c6537936878a,9702,9800,B1690AQB
d8c6bf7d-3d18-40e8-8835-c6537936878a,9801,9899,B1690AQC
d8c6bf7d-3d18-40e8-8835-c6537936878a,9802,9900,B1690AQD
d8c6bf7d-3d18-40e8-8835-c6537936878a,9901,9999,B1690AQE
d8c6bf7d-3d18-40e8-8835-c6537936878a,9902,10000,B1690AQF
d8c6bf7d-3d18-40e8-8835-c6537936878a,10001,10099,B1690AQG
d8c6bf7d-3d18-40e8-8835-c6537936878a,10002,10100,B1690AQH
d8c6bf7d-3d18-40e8-8835-c6537936878a,10101,10199,B1690AQI
d8c6bf7d-3d18-40e8-8835-c6537936878a,10102,10200,B1690AQJ
d8c6bf7d-3d18-40e8-8835-c6537936878a,10201,10299,B1690AQK
d8c6bf7d-3d18-40e8-8835-c6537936878a,10202,10300,B1690AQL
d8c6bf7d-3d18-40e8-8835-c6537936878a,10301,10399,B1690AQM
d8c6bf7d-3d18-40e8-8835-c6537936878a,10302,10400,B1690AQN
d8c6bf7d-3d18-40e8-8835-c6537936878a,10401,10499,B1690AQO
d8c6bf7d-3d18-40e8-8835-c6537936878a,10402,10500,B1690AQP
