Localidad,CPA
28-de-julio,U9107XAD
aguada-de-las-tejas,U9121XBM
aguada-del-pito,U9121XBM
aldea-apeleg,U9033XAA
aldea-beleiro,U9037XAA
aldea-escolar,U9203XAA
alto-de-las-plumas,U9101XAB
alto-rio-mayo,U9037XAA
alto-rio-pico,U9225XAF
alto-rio-senguer,U9033XAA
angostura,U9105XAH
angostura-segunda,U9105XAH
arenoso,U9225XAG
arroyo-chalia,U9035XAA
arroyo-el-mosquito,Buscar CPA
arroyo-gato,U9033XAA
arroyo-guilaia,U9207XAJ
arroyo-percy,U9203XAA
arroyo-pescado,U9200XAC
arroyo-quilla,U9020XAO
arroyo-verde,R8532XAA
bahia-bustamante,U9111XAB
bahia-cracher,U9120XAC
bahia-solano,U9003XAA
bajada-del-diablo,U9101XAB
bajada-moreno,U9121XBM
bajo-bartolo,U9121XBM
bajo-de-los-huesos,U9103XAC
bajo-del-gualicho,U9121XBM
bajo-la-cancha,U9031XAA
bajo-las-damajuanas,U9121XBM
barrio-astra,U9003XAA
base-aeronaval-almirante-iriza,U9101XAB
betesta,U9105XAH
blancuntre,U9121XBM
boca-de-la-zanja,U9107XAD
boca-zanja-sud,U9107XAD
boquete-bolson,Buscar CPA
bryn-brown,U9105XAH
bryn-gwyn,U9105XAH
buen-pasto,U9023XAC
buenos-aires-chico,Buscar CPA
cabana-del-valle,U9105XAH
cabeza-de-buey,U9101XAB
cabo-raso,U9111XAB
cachel,U9201XAB
cajon-de-ginebra-chico,U9201XAB
cajon-de-ginebra-grande,U9201XAB
caleta-cordova,U9003XAA
caleta-valdez,U9121XBM
camarones,U9111XAB
campamento-villegas,U9107XAD
canada-bagual,U9207XAJ
canadon-bagual,U9121XBM
canadon-blanco,U9121XBM
canadon-caliente,U9213XAF
canadon-carril,U9020XAO
canadon-chacay,U9225XAF
canadon-chileno,U9121XBM
canadon-ferrais,U9001XAA
canadon-grande,U9213XAF
canadon-la-madera,U9220XAF
canadon-lagarto,U9009XAA
canadon-lopez,U9009XAA
canadon-pedro-ex-valle-hermoso,U9009XAA
canadon-tacho,U9020XAO
carhue-niyeo,U9121XBM
carrenleufu,U9201XAB
catayco,U9120XAC
cerro-centinela,U9203XAA
cerro-condor,U9207XAJ
cerro-fofocahuel,U9213XAF
cerro-lonco-trapial,U9201XAB
cerro-mallaco,U9200XAC
cerro-negro,U9225XAF
cerro-pichalao,U9120XAC
cerro-radal,U8430XAA
cerro-santa-ana,U9100XAD
chacay-este,U9121XBM
chacay-oeste,U9121XBM
chacra-de-austin,U9200XAC
charque-chico,U9103XAC
chasico,U9121XBM
cholila,Buscar CPA
colan-conhue,U9201XAB
colelache,U9121XBM
