Localidad,CPA
23-de-agosto,Y4503XAC
abdon-castro-tolay,Buscar CPA
abra-de-penas,Y4650XAB
abra-de-pives,Y4618XAD
abra-del-trigo,Y4501XAH
abra-mayo,Y4622XAJ
abra-pampa,Buscar CPA
abralaite,Y4632XAA
achacamayoc,Y4618XAD
agua-bendita,Y4618XAD
agua-caliente-de-la-puna,Buscar CPA
agua-chica,Buscar CPA
agua-negra,Y4512XCK
agua-palomar,Y4618XAD
aguas-blancas,Y4501XAH
alegria,Y4506XAA
alfarcito,Y4622XAJ
algarrobal,Y4600XBH
alisos-de-arriba,Y4603XAJ
alto-calilegua,Y4512XCC
alto-comedero,Y4600XBH
alto-de-casa,Y4618XAD
alto-de-lozano,Y4618XAD
alto-de-mojon,Y4618XAD
alto-del-angosto,Y4618XAD
alto-huancar,Y4618XAD
alto-minero,Y4618XAD
alto-potrerillo,Y4618XAD
alto-quemado,Y4618XAD
alto-quirquincho,Y4618XAD
alto-verde,Y4606XAB
amancayoc,Y4512XCC
amarguras,Y4512XCC
angosto-del-perchel,Y4626XAG
animas,Y4512XCK
antiguo,Y4631XAS
antiguyos,Y4643XAG
antumpa,Y4632XAC
aparejo,Y4512XCK
aparzo,Y4630XAD
arbolito-nuevo,Y4643XAG
arenal-barroso,Y4506XAA
arrayanal,Y4503XAH
arroyo-colorado,Y4501XAH
arroyo-del-medio,Y4501XAH
atalaya,Y4600XBH
azul-pampa,Y4631XAS
bajada-alta,Y4506XAA
baliazo,Y4630XAD
balliazo,Y4630XAD
barcena,Y4616XAF
barrancas,Buscar CPA
barrio-9-de-julio,Y4600XBH
barrio-alberdi,Y4600XBH
barrio-alto-la-loma,Y4600XBH
barrio-alto-la-vina,Y4600XBH
barrio-bajo-la-vina,Y4600XBH
barrio-chijra,Y4600XBH
barrio-cuyaya,Y4600XBH
barrio-la-providencia,Y4522XAN
barrio-la-union,Y4648XAB
barrio-lujan,Y4600XBH
barrio-parque-19-de-abril,Y4600XBH
barrio-santa-rita,Y4600XBH
barrios,Y4650XAB
barro-negro,Y4522XAN
bateas,Y4512XCK
boleteria,Y4618XAD
bomba,Y4616XAF
bordo-la-isla,Y4606XAB
cabreria,Y4653XAF
cachi-punco,Y4501XAH
cachihuaico,Y4622XAG
cacho,Y4512XCC
cadilla,Y4606XAB
caimancito,Buscar CPA
cajas,A4651XAA
calahoyo,Y4653XAF
calete,Y4630XAD
calilegua,Buscar CPA
campo-bajo,Y4512XCK
campo-colorado,Y4512XCK
campo-la-tuna,Y4606XAB
campo-oculto,Y4618XAD
canas,Y4622XAJ
canchahuasi,Y4618XAD
canchuela,Y4653XAF
candelaria,Y4512XCK
cangrejillos,A4644XAF
cangrejos,A4644XAF
capachacra,Y4618XAD
capla,Y4626XAG
caracara,A4644XAF
carahuasi,Y4643XAG
carahunco,Y4612XAR
carayoc,A4651XAA
carcel,Y4618XAD
casa-colorada,Y4643XAG
casa-grande,Y4632XAA
casa-negra,Y4618XAD
casa-vieja,Y4618XAD
casabindo,Buscar CPA
casayock,Y4632XAC
casilla,Y4632XAC
casillas,Y4632XAC
casira,Y4653XAG
caspala,Y4631XAS
casti,A4651XAA
catamontana,Y4603XAA
catari,Buscar CPA
catua,A4413XAE
cauchari,Buscar CPA
ceibal,Y4603XAJ
centro-forestal,Y4612XAR
cerrillos,Y4653XAG
cerrito,Y4653XAG
cerro-agua-caliente,Buscar CPA
cerro-chico,Buscar CPA
cerro-negro,Y4603XAJ
cerro-redondo,Y4643XAG
cerros-zapla,Y4612XAR
cevilar,Y4512XCK
chalican,Y4503XAC
chamical,Y4606XAB
chanar-solo,Buscar CPA
chanaral,Buscar CPA
chanarcito,Y4618XAD
chani,Y4616XAF
chani-chico,Y4618XAD
chilcayoc,Y4616XAF
chocoite,A4644XAF
chorcan,Y4631XAS
chorojra,Buscar CPA
chorrillo,Y4618XAD
chorro,Y4512XCC
chucalezna,Y4626XAG
chucupal,Y4603XAA
chulin-o-inca-nueva,Buscar CPA
chuquina,Y4600XBH
cianzo,Y4630XAD
cienaga,Y4512XCK
cienaga-grande,Y4643XAG
cienego-grande,Y4643XAG
cieneguillas,Y4653XAG
cincel,Y4643XAG
cochagate,Buscar CPA
cochinoca,Buscar CPA
coctaca,Y4631XAS
coiruro,Y4618XAD
colonia-8-de-septiembre,Y4512XCK
colonia-los-lapachos,Y4606XAA
colorados,Y4618XAD
coranzuli,Y4643XAG
coraya,Y4630XAD
coronel-arias,Y4606XAB
corral-blanco,Y4653XAF
corral-de-piedras,Y4601XAA
corralito,Y4650XAB
costillar,Y4618XAD
coyaguaima,Y4643XAG
cruz-nido,Y4618XAD
cusi-cusi,Y4643XAG
doglonzo,Y4631XAS
don-jorge,Y4512XCK
doncellas,Buscar CPA
duraznal,Y4512XCK
el-acheral,Y4522XAN
el-aguilar,Y4632XAA
el-aibal,Y4512XCK
el-amancay,Y4600XBH
el-angosto,Y4653XAF
el-bananal,Y4512XCK
el-brete,Y4612XAR
el-cabral,Y4606XAB
el-cadillal,Y4606XAB
el-callejon,Y4622XAG
el-cardonal,Y4506XAA
el-carmen,Y4603XAA
el-caulario,Y4512XCK
el-chaguaral,Y4522XAN
el-colorado,Y4618XAD
el-condor,A4644XAF
el-durazno,Y4622XAJ
el-fuerte,Y4501XAH
el-manantial,Y4512XCK
el-mistol,Y4501XAH
el-molino,Y4618XAD
el-mollar,Y4606XAB
el-monumento,Y4650XAB
el-moreno,Y4618XAD
el-morro,Y4618XAD
el-naranjo,Y4512XCK
el-olvido,Y4501XAH
el-palmar,Y4501XAH
el-palmar-de-san-francisco,Y4522XAK
el-perchel,Y4622XAJ
el-piquete,Y4501XAH
el-pongo,Y4606XAB
el-porvenir,Buscar CPA
el-potrero-de-la-puna,Buscar CPA
el-quemado,Y4503XAC
el-rio-negro,Y4503XAC
el-saladillo,Y4522XAN
el-sauce,Y4512XCK
el-talar,Y4522XAK
el-tipal,Y4501XAH
el-toba,Y4606XAA
el-toro,Y4643XAG
encrucijada,Y4618XAD
ensenada,Y4522XAN
entre-rios,Y4606XAB
escaya,A4644XAF
esquina,Y4512XCK
esquina-de-huancar,Y4618XAD
esquina-de-quisto,Y4522XAN
esquina-grande,Y4618XAD
esquinas-blancas,Y4632XAA
estacion-perico,Y4606XAB
estacion-zootecnica,Buscar CPA
estancia-grande,Y4618XAD
falda-del-quebrachal,Y4512XCK
falda-mojon,Y4512XCK
falda-montosa,Y4512XCK
farillon,Y4643XAG
finca-agua-salada,Buscar CPA
finca-agua-tapada,Buscar CPA
finca-la-lucrecia,Buscar CPA
finca-la-realidad,Buscar CPA
finca-leach,Y4503XAC
finca-santa-cornelia,Buscar CPA
florencia,Y4512XCK
fraile-pintado,Y4506XAA
fundiciones,Y4512XCC
galeta,Y4630XAD
general-manuel-savio,Y4612XAR
gobernador-ovejero,Y4501XAH
gobernador-tello,Y4512XCC
granadas,Y4643XAG
guachan,Y4512XCK
guayacan,Y4506XAA
guemes,Buscar CPA
guerrero,Y4600XBH
hipolito-yrigoyen-est-iturbe,Y4632XAC
hornaditas,Y4630XAD
huacalera,Y4626XAG
huachichocana,Y4618XAD
huaico-chico,Y4601XAA
huallatayoc,Y4653XAG
huichaira,Y4622XAJ
humahuaca,Y4630XAD
inca-huasi,Y4618XAD
ingenio-ledesma,Y4512XCK
inticancho,A4651XAA
iriarte,Y4606XAB
isla-chica,Y4501XAH
isla-grande,Y4501XAH
ituaicochico,Y4601XAA
iturbe,Y4632XAC
jaramillo,Y4503XAC
juan-galan,Y4600XBH
juan-manuel-de-rosas,Y4612XAR
juella,Y4622XAJ
kilometro-1129,Y4606XAB
kilometro-1183,Y4616XAF
kilometro-1289,Y4630XAD
kilometro-1321,Y4632XAA
kilometro-1369,Buscar CPA
kilometro-1397,A4644XAF
la-aguadita,Y4618XAD
la-almona,Y4600XBH
la-bajada,Y4506XAA
la-cabana,Y4603XAJ
la-calera,Y4512XCK
la-chinaca,A4561XAB
la-cruz,Y4653XAF
la-cueva,Y4632XAC
la-esperanza,Y4503XAH
la-falda,Buscar CPA
la-intermedia,Y4650XAB
la-mendieta,Y4522XAN
la-ovejeria,Y4606XAA
la-quiaca,Y4650XAB
la-quinta,Y4501XAH
la-reduccion,Y4506XAA
la-ronda,Y4501XAH
la-toma,Y4603XAJ
la-union,Y4606XAB
la-vertiente,Y4501XAH
laguna-san-miguel,Y4501XAH
laguna-totorillas,Y4501XAH
lagunas,Y4618XAD
lagunas-de-yala,Y4616XAF
lagunilla-el-carmen,Y4606XAB
lagunilla-ledesma,Y4606XAB
lagunillas,Buscar CPA
lapachal-ledesma,Y4501XAH
lapachal-santa-barbara,Y4501XAH
las-canadas,Y4606XAA
las-chicapenas,Y4622XAG
las-higuerillas,Y4600XBH
las-higueritas,Y4512XCK
las-pampitas,Y4606XAB
las-pichanas,Y4606XAA
las-pircas,Y4603XAA
las-quintas,Y4512XCK
lavayen,Y4503XAH
leachs,Y4503XAC
lecheria,Buscar CPA
ledesma,Y4512XCK
leon,Y4616XAF
lib-gral-san-martin,Y4512XCK
lindero,Y4618XAD
lipan,Y4618XAD
llameria,A4644XAF
llulluchayoc,A4644XAF
loma-blanca,Y4643XAG
loma-del-medio,Y4512XCK
loma-pelada,Y4501XAH
los-banos-termales,Buscar CPA
los-bayos,Y4503XAH
los-catres,Y4512XCK
los-cedros,Y4603XAA
los-lapachos,Y4606XAA
los-manantiales,Y4606XAA
los-matos,Y4501XAH
lote-don-david,Y4522XAN
lote-don-emilio,Y4522XAN
lote-el-puesto,Y4503XAH
lote-la-cienaga,Y4503XAH
lote-la-posta,Y4503XAH
lote-maiz-negro,Y4506XAA
lote-miraflores,Y4503XAH
lote-palmera,Y4503XAH
lote-parapeti,Y4503XAH
lote-piedritas,Y4522XAN
lote-prediliana,Y4512XCK
lote-san-antonio,Y4512XCK
lote-san-juancito,Y4522XAN
lote-sauzal,Y4522XAN
lote-zora,Y4503XAC
lozano,Y4616XAF
lumara,Buscar CPA
maimara,Y4622XAG
mal-paso,Y4512XCK
maquinista-veron,Y4606XAA
marta,Y4512XCK
mayilte,A4644XAF
mayinte,A4644XAF
merco,Y4653XAF
milan,Y4501XAH
mina-9-de-octubre,Y4612XAR
mina-ajedrez,Y4643XAG
mina-belgica,A4644XAF
mina-pan-de-azucar,Y4643XAG
mina-pirquitas,Y4643XAG
mina-pulpera,A4644XAF
mina-san-francisco,A4644XAF
mina-sol-de-mayo,A4644XAF
minas-azules,Y4653XAF
minas-de-borato,Y4618XAD
miniaio,Y4643XAG
mira-flores,Buscar CPA
miraflores-de-la-candelaria,Buscar CPA
mires,Y4653XAF
miyuyoc,Y4632XAC
mocoraite,A4644XAF
mojon-azucena,Y4512XCK
molinos,Y4616XAF
molli-punco,Y4618XAD
molular,Y4512XCK
molulo,Y4622XAJ
monterrico,Y4606XAB
moralito,Y4522XAN
moreno-chico,Y4618XAD
